sku	product-id	product-id-type	price	minimum-seller-allowed-price	maximum-seller-allowed-price	item-condition	quantity	add-delete	will-ship-internationally	expedited-shipping	standard-plus	item-note	fulfillment-center-id	product-tax-code	leadtime-to-ship	merchant_shipping_group_name
SUP_O-155-9	601402112041	3	2.49	2.44	29.39	11	0	a							30	
SUP_O-30-9	601402110207	3	2.49	2.44	29.39	11	0	a							30	
ALA_O-641-9	601402265310	3	2.53	2.48	29.83	11	0	a							30	
SUP_O-39-9	601402111785	3	2.53	2.48	29.83	11	0	a							30	
ALA_O-64-9-10	601402263880	3	2.55	2.49	30.05	11	0	a							30	
ALA_O-327-9	601402110238	3	2.7	2.63	31.7	11	0	a							30	
ALA_O-125-9	601402112010	3	2.71	2.64	31.81	11	0	a							30	
ALA_O-664-9	601402114311	3	2.74	2.66	32.14	11	0	a							30	
ALA_O-24-9	601402110184	3	2.76	2.67	32.36	11	0	a							30	
SUP_O-128-9	601402112027	3	2.78	2.7	32.58	11	0	a							30	
SUP_O-49-9	601402110597	3	2.8	2.71	32.8	11	0	a							30	
SUP_O-455	601402121098	3	2.81	2.73	32.91	11	0	a							30	
SUP_O-249-9	601402115783	3	2.81	2.73	32.91	11	0	a							30	
SUP_O-247-9	601402113895	3	2.81	2.73	32.91	11	0	a							30	
ALA_O-243-9	601402112928	3	2.81	2.73	32.91	11	0	a							30	
SUP_O-186-9	601402112140	3	2.81	2.73	32.91	11	0	a							30	
ALA_O-130-9	601402112034	3	2.81	2.73	32.91	11	0	a							30	
ALA_O-27-9	601402111778	3	2.81	2.73	32.91	11	0	a							30	
SUP_O-25-9	601402111754	3	2.81	2.73	32.91	11	0	a							30	
SUP_O-188-9	601402110658	3	2.81	2.73	32.91	11	0	a							30	
SUP_O-441	601402119163	3	2.88	2.79	33.68	11	0	a							30	
SUP_O-220-9	601402118586	3	2.88	2.79	33.68	11	0	a							30	
SUP_O-32-9	601402116001	3	2.88	2.79	33.68	11	0	a							30	
SUP_O-641-9	601402114601	3	2.88	2.79	33.68	11	0	a							30	
SUP_O-165-9	601402114502	3	2.88	2.79	33.68	11	0	a							30	
ALA_O-391-9	601402113673	3	2.88	2.79	33.68	11	0	a							30	
SUP_O-47-9	601402111815	3	2.88	2.79	33.68	11	0	a							30	
SUP_O-5-9	601402110580	3	2.88	2.79	33.68	11	0	a							30	
SUP_O-158-9	601402110450	3	2.88	2.79	33.68	11	0	a							30	
SUP_O-326-9	601402110047	3	2.88	2.79	33.68	11	0	a							30	
SUP_O-71-9	601402110078	3	2.91	2.81	34.01	11	0	a							30	
SUP_O-409-9	601405112529	3	2.92	2.83	34.12	11	0	a							30	
ALA_O-301-9	601402112317	3	2.92	2.83	34.12	11	0	a							30	
SUP_O-440-9	601402111594	3	2.92	2.83	34.12	11	0	a							30	
ALA_O-43-9	601402110160	3	2.92	2.83	34.12	11	0	a							30	
SUP_O-122-9	601402112003	3	2.95	2.85	34.45	11	0	a							30	
SUP_O-26-9	601402111761	3	2.97	2.86	34.67	11	0	a							30	
ALA_O-244-9	601402110115	3	2.97	2.86	34.67	11	0	a							30	
SUP_O-363-9	601402116063	3	3.01	2.9	35.11	11	0	a							30	
SUP_O-282-9	601402115899	3	3.01	2.9	35.11	11	0	a							30	
SUP_O-180-9	601402112126	3	3.01	2.9	35.11	11	0	a							30	
SUP_O-398-9	601402112508	3	3.12	3	36.32	11	0	a							30	
SUP_O-319-9	601402112355	3	3.12	3	36.32	11	0	a							30	
SUP_O-276-9	601402112270	3	3.12	3	36.32	11	0	a							30	
SUP_G-447-9	601402193590	3	3.16	3.04	36.76	11	0	a							30	
SUP_O-360-9	601402116056	3	3.16	3.04	36.76	11	0	a							30	
SUP_O-362-9	601402114595	3	3.16	3.04	36.76	11	0	a							30	
SUP_O-189-9	601402114212	3	3.16	3.04	36.76	11	0	a							30	
SUP_O-303-9	601402114007	3	3.16	3.04	36.76	11	0	a							30	
SUP_O-273-9	601402113536	3	3.16	3.04	36.76	11	0	a							30	
SUP_O-390-9	601402112478	3	3.16	3.04	36.76	11	0	a							30	
SUP_O-370-9	601402112454	3	3.16	3.04	36.76	11	0	a							30	
ALA_O-113-9	601402111976	3	3.16	3.04	36.76	11	0	a							30	
SUP_G-363-9	601402110290	3	3.18	3.05	36.98	11	0	a							30	
ALA_O-444-9	601402115578	3	3.23	3.1	37.53	11	0	a							30	
SUP_O-40-9	601402111792	3	3.23	3.1	37.53	11	0	a							30	
SUP_O-50	601402111594	3	3.23	3.1	37.53	11	0	a							30	
SUP_O-83-9	601402111860	3	3.25	3.11	37.75	11	0	a							30	
ALA_O-320-9	601402112362	3	3.26	3.13	37.86	11	0	a							30	
SUP_O-227-9	601402115714	3	3.27	3.14	37.97	11	0	a							30	
SUP_O-226-9	601402115707	3	3.27	3.14	37.97	11	0	a							30	
ALA_O-37-9	601402114571	3	3.27	3.14	37.97	11	0	a							30	
SUP_O-286-9	601402112713	3	3.27	3.14	37.97	11	0	a							30	
SUP_O-252-9	601402112225	3	3.27	3.14	37.97	11	0	a							30	
SUP_O-40	601402111792	3	3.27	3.14	37.97	11	0	a							30	
SUP_O-424-9	601402116193	3	3.3	3.16	38.3	11	0	a							30	
SUP_O-321-9	601402116018	3	3.3	3.16	38.3	11	0	a							30	
SUP_O-159-9	601402114243	3	3.3	3.16	38.3	11	0	a							30	
SUP_O-64-9	601402111839	3	3.33	3.19	38.63	11	0	a							30	
SUP_O-41-9	601402110504	3	3.33	3.19	38.63	11	0	a							30	
ALA_O-39V-9	601402170478	3	3.37	3.23	39.07	11	0	a							30	
ALA_B-211	601402126154	3	3.43	3.27	39.73	11	0	a							30	
ALA_O-255-9	601402112232	3	3.44	3.29	39.84	11	0	a							30	
ALA_O-325-9	601402110085	3	3.44	3.29	39.84	11	0	a							30	
ALA_O-256-9	601402115806	3	3.48	3.33	40.28	11	0	a							30	
SUP_O-213-9	601402114069	3	3.48	3.33	40.28	11	0	a							30	
SUP_O-73-9	601402113543	3	3.48	3.33	40.28	11	0	a							30	
SUP_O-396-9	601402110948	3	3.48	3.33	40.28	11	0	a							30	
SUP_O-315-14	601402264481	3	3.51	3.35	40.61	11	0	a							30	
ALA_O-168-9	601402112072	3	3.51	3.35	40.61	11	0	a							30	
SUP_O-281-9	601402113512	3	3.54	3.38	40.94	11	0	a							30	
ALA_O-223-9	601402114526	3	3.55	3.39	41.05	11	0	a							30	
SUP_O-224-9	601402114410	3	3.55	3.39	41.05	11	0	a							30	
SUP_O-151-9	601402114397	3	3.55	3.39	41.05	11	0	a							30	
ALA_O-403-9	601402110887	3	3.58	3.41	41.38	11	0	a							30	
SUP_O-468-9	601402114441	3	3.62	3.45	41.82	11	0	a							30	
ALA_O-207-9	601402110900	3	3.62	3.45	41.82	11	0	a							30	
SUP_O-245-9	601402112218	3	3.65	3.47	42.15	11	0	a							30	
ALA_O-248-9	601402110443	3	3.68	3.5	42.48	11	0	a							30	
SUP_O-275-9	601402112263	3	3.69	3.51	42.59	11	0	a							30	
SUP_O-630	601402262692	3	3.71	3.52	42.81	11	0	a							30	
SUP_O-4-9	601402111693	3	3.72	3.54	42.92	11	0	a							30	
SUP_O-20-9	601402111747	3	3.75	3.56	43.25	11	0	a							30	
SUP_G-57-9	601402111204	3	3.75	3.56	43.25	11	0	a							30	
SUP_O-216-9	601402115684	3	3.76	3.58	43.36	11	0	a							30	
SUP_G-13-9	601402111150	3	3.79	3.6	43.69	11	0	a							30	
SUP_G-99P-9	601402111280	3	3.82	3.63	44.02	11	0	a							30	
SUP_O-318-9	601402112348	3	3.83	3.64	44.13	11	0	a							30	
SUP_G-182-9	601402111334	3	3.85	3.65	44.35	11	0	a							30	
ALA_G-343-9	601402111457	3	3.86	3.66	44.46	11	0	a							30	
SUP_0-636-9	601402193897	3	3.88	3.67	44.68	11	0	a							30	
SUP_O-417-9	601402114472	3	4.07	3.85	46.77	11	0	a							30	
SUP_O-209-9	601402113789	3	4.07	3.85	46.77	11	0	a							30	
ALA_G-52-9	601402111181	3	4.07	3.85	46.77	11	0	a							30	
ALA_O-117-9	601402212765	3	4.14	3.91	47.54	11	0	a							30	
ALA_G-45-9	601402113550	3	4.14	3.91	47.54	11	0	a							30	
SUP_G-40-9	601402115257	3	4.18	3.95	47.98	11	0	a							30	
ALA_G-363-9	601402110290	3	4.18	3.95	47.98	11	0	a							30	
SUP_O-422-9	601402116186	3	4.21	3.98	48.31	11	0	a							30	
SUP_G-102R-9	601402113710	3	4.25	4.01	48.75	11	0	a							30	
SUP_G-47-9	601402115288	3	4.27	4.03	48.97	11	0	a							30	
ALA_275-24	601402253621	3	4.3	4.05	49.3	11	0	a							30	
ALA_300	601402253416	3	4.44	4.17	50.84	11	0	a							30	
SUP_O-408-9	601402114465	3	4.46	4.2	51.06	11	0	a							30	
ALA_O-281-9	601402113512	3	4.49	4.22	51.39	11	0	a							30	
SUP_G-180-9	601402114281	3	4.56	4.29	52.16	11	0	a							30	
ALA_G-381-9	601402115202	3	4.63	4.35	52.93	11	0	a							30	
SUP_G-160-9	601402111310	3	4.65	4.36	53.15	11	0	a							30	
SUP_G-478-9	601402193903	3	4.76	4.46	54.36	11	0	a							30	
SUP_G-225-9	601402111389	3	4.8	4.5	54.8	11	0	a							30	
ALA_O-206-9	601402112164	3	4.81	4.51	54.91	11	0	a							30	
SUP_O-400-9	601402112515	3	4.84	4.54	55.24	11	0	a							30	
ALA_O-462-9	601402116223	3	4.91	4.6	56.01	11	0	a							30	
ALA_G-165-9	601402114199	3	5	4.68	57	11	0	a							30	
SUP_O-435-9	601402112546	3	5.05	4.72	57.55	11	0	a							30	
SUP_O-80-9	601402111853	3	5.05	4.72	57.55	11	0	a							30	
ALA_B-133	601402251603	3	5.07	4.74	57.77	11	0	a							30	
SUP_O-300-9	601402112300	3	5.08	4.75	57.88	11	0	a							30	
SUP_O-141-9	601402110351	3	5.09	4.76	57.99	11	0	a							30	
ALA_O-307-9	601402115950	3	5.15	4.81	58.65	11	0	a							30	
SUP_O-647	601402193729	3	5.19	4.85	59.09	11	0	a							30	
SUP_G-64P-9	601402264221	3	5.21	4.86	59.31	11	0	a							30	
SUP_O-242-9	601402115776	3	5.22	4.88	59.42	11	0	a							30	
ALA_B-202	601402252303	3	5.47	5.1	62.17	11	0	a							30	
SUP_O-34-9	601402116032	3	5.47	5.1	62.17	11	0	a							30	
SUP_O-48-14	601402263149	3	5.5	5.13	62.5	11	0	a							30	
SUP_O-77-9	601402112881	3	5.5	5.13	62.5	11	0	a							30	
ALA_G-44-14	601402264207	3	5.53	5.15	62.83	11	0	a							30	
ALA_G-221-9	601402111365	3	5.57	5.19	63.27	11	0	a							30	
SUP_O-258-9	601402112799	3	5.58	5.2	63.38	11	0	a							30	
SUP_G-59-9	601402115301	3	5.6	5.21	63.6	11	0	a							30	
SUP_O-45-9	601402116216	3	5.67	5.28	64.37	11	0	a							30	
ALA_G-99RS-9	601402113475	3	5.7	5.3	64.7	11	0	a							30	
ALA_B-214	601402262296	3	5.75	5.35	65.25	11	0	a							30	
SUP_G-95-9	601402264276	3	5.79	5.39	65.69	11	0	a							30	
SUP_O-161-9	601402112058	3	5.81	5.4	65.91	11	0	a							30	
SUP_O-341-9	601402113086	3	5.82	5.41	66.02	11	0	a							30	
SUP_O-251-9	601402114120	3	5.89	5.47	66.79	11	0	a							30	
SUP_O-345-9	601402112430	3	5.89	5.47	66.79	11	0	a							30	
ALA_B-34	601402250606	3	5.91	5.49	67.01	11	0	a							30	
SUP_O-230-9	601402115745	3	5.96	5.54	67.56	11	0	a							30	
SUP_O-171-9	601402115554	3	5.96	5.54	67.56	11	0	a							30	
