sku	product-id	product-id-type	price	minimum-seller-allowed-price	maximum-seller-allowed-price	item-condition	quantity	add-delete	will-ship-internationally	expedited-shipping	standard-plus	item-note	fulfillment-center-id	product-tax-code	leadtime-to-ship	merchant_shipping_group_name
CUS_21184-200-000	B007VEX21W	1	5.43	5.06	116.03	11	0	a							30	
CUS_27180-009-200	849640020616	3	14.99	12.15	282.77	11	0	a							30	
CUS_25650-130-300	849640074115	3	410.88	367.07	8630.48	11	0	a							30	
CUS_25650-150-300	849640074108	3	443.31	396.03	9311.51	11	0	a							30	
CUS_25802-420-000	849640073910	3	51.21	45.94	1077.41	11	0	a							30	
CUS_25802-415-000	849640073903	3	38.93	34.98	819.53	11	0	a							30	
CUS_25300-100-000	849640073056	3	27.03	24.35	569.63	11	0	a							30	
CUS_25563-820-000	849640072301	3	32.69	29.4	688.49	11	0	a							30	
CUS_25563-809-000	849640072271	3	57.48	51.54	1209.08	11	0	a							30	
CUS_25515-000-011	849640064210	3	3.32	3.17	71.72	11	0	a							30	
CUS_23300-240-000	849640030028	3	8.61	7.9	182.81	11	0	a							30	
CUS_25504-000-400	849640029664	3	16.78	15.2	354.38	11	0	a							30	
CUS_25677-900-000	849640028940	3	173.51	155.14	3645.71	11	0	a							30	
CUS_21063-284-000	849640028841	3	22.99	20.74	484.79	11	0	a							30	
CUS_25140-529-000	849640028803	3	135.34	121.05	2844.14	11	0	a							30	
CUS_25573-540-000	849640028124	3	14.5	13.16	306.5	11	0	a							30	
CUS_25573-520-000	849640028117	3	14.5	13.16	306.5	11	0	a							30	
CUS_25573-510-000	849640028100	3	14.5	13.16	306.5	11	0	a							30	
CUS_25573-410-000	849640028094	3	15.45	14.01	326.45	11	0	a							30	
CUS_25573-001-000	849640028087	3	15.1	13.7	319.1	11	0	a							30	
CUS_25549-259-000	849640028032	3	21.12	19.07	445.52	11	0	a							30	
CUS_25541-200-000	849640027899	3	116.31	104.06	2444.51	11	0	a							30	
CUS_25540-200-000	849640027882	3	102.94	92.13	2163.74	11	0	a							30	
CUS_25541-204-000	849640027875	3	116.31	104.06	2444.51	11	0	a							30	
CUS_25540-204-000	849640027868	3	101.26	90.63	2128.46	11	0	a							30	
CUS_25541-259-000	849640027837	3	132.61	118.61	2786.81	11	0	a							30	
CUS_25540-259-000	849640027820	3	111.35	99.64	2340.35	11	0	a							30	
CUS_25541-201-000	849640027813	3	119.15	106.6	2504.15	11	0	a							30	
CUS_25540-201-000	849640027806	3	102.94	92.13	2163.74	11	0	a							30	
CUS_25541-269-000	849640027790	3	132.61	118.61	2786.81	11	0	a							30	
CUS_25540-269-000	849640027783	3	111.35	99.64	2340.35	11	0	a							30	
CUS_25541-209-000	849640027776	3	119.15	106.6	2504.15	11	0	a							30	
CUS_25540-209-000	849640027769	3	102.94	92.13	2163.74	11	0	a							30	
CUS_25542-059-000	849640027295	3	5.25	4.9	112.25	11	0	a							30	
CUS_21063-204-000	849640027288	3	19.98	18.05	421.58	11	0	a							30	
CUS_25357-624-000	849640027271	3	39.83	35.77	838.43	11	0	a							30	
CUS_25577-535-600	849640026984	3	513.15	458.39	10778.15	11	0	a							30	
CUS_25577-435-600	849640026953	3	382.03	341.31	8024.63	11	0	a							30	
CUS_25577-335-600	849640026922	3	304.99	272.52	6406.79	11	0	a							30	
CUS_25577-235-600	849640026892	3	239.17	213.76	5024.57	11	0	a							30	
CUS_25577-185-600	849640026861	3	226.64	202.58	4761.44	11	0	a							30	
CUS_25577-135-600	849640026830	3	188.44	168.46	3959.24	11	0	a							30	
CUS_26100-357-100	849640026816	3	4.95	4.64	105.95	11	0	a							30	
CUS_25650-100-210	849640026687	3	41.03	36.85	863.63	11	0	a							30	
CUS_25357-300-000	849640026489	3	73.01	65.4	1535.21	11	0	a							30	
