sku	product-id	product-id-type	price	minimum-seller-allowed-price	maximum-seller-allowed-price	item-condition	quantity	add-delete	will-ship-internationally	expedited-shipping	standard-plus	item-note	fulfillment-center-id	product-tax-code	leadtime-to-ship	merchant_shipping_group_name
GAM_8000	712911000000	3	8.55	7.85	181.55	11	0	a							30	
GAM_3567-4MP	712910000000	3	29.97	26.98	631.37	11	0	a							30	
GAM_1800	712910000000	3	8.55	7.85	181.55	11	0	a							30	
GAM_1003	712910000000	3	10.93	9.97	231.53	11	0	a							30	
GAM_1002	712910000000	3	15.09	13.69	318.89	11	0	a							30	
GAM_156-M	712910000000	3	46.63	41.85	981.23	11	0	a							30	
GAM_4376	712910000000	3	228.76	204.46	4805.96	11	0	a							30	
GAM_4573	712910000000	3	26.4	23.79	556.4	11	0	a							30	
GAM_4312	712910000000	3	47.82	42.91	1006.22	11	0	a							30	
GAM_4B7001	712910000000	3	16.88	15.29	356.48	11	0	a							30	
GAM_3572-12IN	712910000000	3	4.83	4.53	103.43	11	0	a							30	
GAM_8002	712910000000	3	18.66	16.88	393.86	11	0	a							30	
GAM_3546	712910000000	3	17.47	15.81	368.87	11	0	a							30	
GAM_3574-24IN	712910000000	3	4.83	4.53	103.43	11	0	a							30	
GAM_2002	712910000000	3	18.76	16.96	395.96	11	0	a							30	
GAM_4714	712910000000	3	211.93	189.44	4452.53	11	0	a							30	
GAM_4562	712910000000	3	7.95	7.31	168.95	11	0	a							30	
GAM_4560	712910000000	3	8.68	7.96	184.28	11	0	a							30	
GAM_4710	712910000000	3	265.49	237.26	5577.29	11	0	a							30	
GAM_4711	712910000000	3	387.9	346.55	8147.9	11	0	a							30	
GAM_4565	712910000000	3	54.58	48.95	1148.18	11	0	a							30	
GAM_4564	712910000000	3	10.72	9.79	227.12	11	0	a							30	
GAM_4002	712910000000	3	15.09	13.69	318.89	11	0	a							30	
GAM_3588	712910000000	3	61.5	55.13	1293.5	11	0	a							30	
GAM_1102	712910000000	3	15.09	13.69	318.89	11	0	a							30	
GAM_1100	712910000000	3	8.55	7.85	181.55	11	0	a							30	
GAM_4821	712910000000	3	221.79	198.24	4659.59	11	0	a							30	
GAM_4310	712910000000	3	25.21	22.72	531.41	11	0	a							30	
GAM_4706	712910000000	3	258.38	230.91	5427.98	11	0	a							30	
GAM_4554	712910000000	3	6.76	6.25	143.96	11	0	a							30	
GAM_4800-6PDQ	712910000000	3	33.54	30.16	706.34	11	0	a							30	
GAM_4552	712910000000	3	12.12	11.04	256.52	11	0	a							30	
GAM_4553	712910000000	3	10.01	9.15	212.21	11	0	a							30	
GAM_4550	712910000000	3	8.55	7.85	181.55	11	0	a							30	
GAM_4551	712910000000	3	16.88	15.29	356.48	11	0	a							30	
GAM_4559	712910000000	3	10.93	9.97	231.53	11	0	a							30	
GAM_4K8009	712910000000	3	22.83	20.6	481.43	11	0	a							30	
GAM_4K8008	712910000000	3	10.93	9.97	231.53	11	0	a							30	
GAM_4557	712910000000	3	9.14	8.38	193.94	11	0	a							30	
GAM_4K8001	712910000000	3	8.55	7.85	181.55	11	0	a							30	
GAM_4K8000	712910000000	3	10.92	9.96	231.32	11	0	a							30	
GAM_4K8003	712910000000	3	11.52	10.5	243.92	11	0	a							30	
GAM_4K8002	712910000000	3	22.83	20.6	481.43	11	0	a							30	
GAM_4K8005	712910000000	3	135.88	121.54	2855.48	11	0	a							30	
GAM_4K8004	712910000000	3	31.75	28.56	668.75	11	0	a							30	
GAM_4K8007	712910000000	3	82.33	73.73	1730.93	11	0	a							30	
GAM_4K8006	712910000000	3	156.7	140.13	3292.7	11	0	a							30	
GAM_9002	712910000000	3	18.66	16.88	393.86	11	0	a							30	
GAM_7000	712910000000	3	8.55	7.85	181.55	11	0	a							30	
GAM_4302	712910000000	3	29.37	26.44	618.77	11	0	a							30	
GAM_4307	712910000000	3	16.88	15.29	356.48	11	0	a							30	
GAM_4P6020	712910000000	3	3.79	3.6	81.59	11	0	a							30	
GAM_3559	712910000000	3	24.02	21.66	506.42	11	0	a							30	
GAM_4P6029	712910000000	3	5.57	5.19	118.97	11	0	a							30	
GAM_4384	712910000000	3	18.76	16.96	395.96	11	0	a							30	
GAM_1200	712910000000	3	8.55	7.85	181.55	11	0	a							30	
GAM_5001	712910000000	3	7.95	7.31	168.95	11	0	a							30	
GAM_5000	712910000000	3	38.89	34.94	818.69	11	0	a							30	
GAM_4563	712910000000	3	18.07	16.35	381.47	11	0	a							30	
GAM_2700	712910000000	3	10.36	9.46	219.56	11	0	a							30	
GAM_1700	712910000000	3	8.55	7.85	181.55	11	0	a							30	
GAM_4P6001	712910000000	3	9.14	8.38	193.94	11	0	a							30	
GAM_4P6002	712910000000	3	8.55	7.85	181.55	11	0	a							30	
GAM_3521-12PDQ	712910000000	3	4.83	4.53	103.43	11	0	a							30	
GAM_4T2005	712910000000	3	15.69	14.22	331.49	11	0	a							30	
GAM_4T2006	712910000000	3	6.76	6.25	143.96	11	0	a							30	
GAM_4T2007	712910000000	3	13.9	12.63	293.9	11	0	a							30	
GAM_4T2008	712910000000	3	16.28	14.75	343.88	11	0	a							30	
GAM_4T2009	712910000000	3	17.47	15.81	368.87	11	0	a							30	
