sku	product-id	product-id-type	price	minimum-seller-allowed-price	maximum-seller-allowed-price	item-condition	quantity	add-delete	will-ship-internationally	expedited-shipping	standard-plus	item-note	fulfillment-center-id	product-tax-code	leadtime-to-ship	merchant_shipping_group_name
HAY_SPX3207C	610377912099	3	26.55	23.81	35.67	11	0	a							30	
HAY_BFA1005TFS	610377089456	3	23.12	20.75	31.02	11	0	a							30	
HAY_896584000-235	896584000235	3	10.37	9.36	13.71	11	0	a							30	
HAY_SPX3205Z1BER	610377006217	3	258.47	230.89	350.43	11	0	a							30	
HAY_SPX3215X20Z1PE	610377013451	3	392.83	350.85	532.77	11	0	a							30	
HAY_SPX0710R	610377034838	3	1.53	1.48	1.72	11	0	a							30	
HAY_ONCOM-ACT	761418013500	3	543.14	485.05	736.76	11	0	a							30	
HAY_PVCHK1900WH	610377270717	3	148.97	133.11	201.81	11	0	a							30	
HAY_SPX0710D	610377034753	3	12.24	11.04	16.26	11	0	a							30	
HAY_LRBUY11M13	610377177177	3	95.85	85.69	129.72	11	0	a							30	
HAY_CSPAXI11	610377003957	3	596.29	532.51	808.9	11	0	a							30	
HAY_LPCUN11030	610377143837	3	726.98	649.2	986.26	11	0	a							30	
HAY_LRBUY11P65	610377144124	3	60.81	54.4	82.17	11	0	a							30	
HAY_ECX1004A	610377809924	3	20.87	18.74	27.96	11	0	a							30	
HAY_CZXTSK2003	610377016544	3	9.9	8.95	13.08	11	0	a							30	
HAY_SP1418DDGR	610377142380	3	5.09	4.65	6.55	11	0	a							30	
HAY_SPX0715BA3	610377035187	3	82.83	74.06	112.06	11	0	a							30	
HAY_SPX3215Z1BER	610377005982	3	222.58	198.84	301.71	11	0	a							30	
HAY_RCX70101PAK2	610377268332	3	35.79	32.06	48.22	11	0	a							30	
HAY_SPX0722F	610377035415	3	7.06	6.41	9.23	11	0	a							30	
HAY_SX200EB	610377054690	3	12.83	11.56	17.05	11	0	a							30	
HAY_SPX1485BPAK	610377039048	3	39.92	35.75	53.82	11	0	a							30	
HAY_SB1100STE1-32	610377134187	3	409.53	365.76	555.44	11	0	a							30	
HAY_SPX1580C	610377039925	3	19.97	17.94	26.75	11	0	a							30	
HAY_SPX1607Z1MNS	610377551564	3	241.88	216.07	327.91	11	0	a							30	
HAY_TBB1025TPEG	610377091725	3	152.65	136.4	206.81	11	0	a							30	
HAY_AXV458	610377333757	3	19.16	17.21	25.64	11	0	a							30	
HAY_AXV414P	610377230742	3	10.39	9.39	13.75	11	0	a							30	
HAY_CAT5500075-WIFI	610377302005	3	3656.69	3265.01	4962.3	11	0	a							30	
