sku	product-id	product-id-type	price	minimum-seller-allowed-price	maximum-seller-allowed-price	item-condition	quantity	add-delete	will-ship-internationally	expedited-shipping	standard-plus	item-note	fulfillment-center-id	product-tax-code	leadtime-to-ship	merchant_shipping_group_name
PEN_20157802	788379823290	3	721.88	644.75	15161.48	11	0	a							30	
PEN_P0014100	788379844448	3	4.84	4.54	103.64	11	0	a							30	
PEN_55025800	788379678029	3	6.09	5.65	129.89	11	0	a							30	
PEN_R172661CA	788379708351	3	11.55	10.53	244.55	11	0	a							30	
PEN_20157806	788379823337	3	840.42	750.59	17650.82	11	0	a							30	
PEN_154714	788379669430	3	80.85	72.4	1699.85	11	0	a							30	
PEN_154715	B004VTH05Y	1	7.0	4.6	105.11	11		a					AMAZON_NA			
PEN_154716	788379722425	3	2.38	2.34	51.98	11	0	a							30	
PEN_154711	788379703912	3	10.6	9.68	224.6	11	0	a							30	
PEN_154712	B004VTH01S	1	25.0	15.53	362.15	11		a					AMAZON_NA			
PEN_154713	788379692094	3	2.8	2.71	60.8	11	0	a							30	
PEN_78243200	788379648909	3	55.37	49.65	1164.77	11	0	a							30	
PEN_744000230	788379795672	3	198.62	177.55	4173.02	11	0	a							30	
PEN_98209803	78879693978	3	14.61	13.26	308.81	11	0	a							30	
PEN_10533909	788379809317	3	231.07	206.53	4854.47	11	0	a							30	
PEN_10533908	788379809300	3	225.87	201.89	4745.27	11	0	a							30	
PEN_357160	788379701376	3	11.88	10.82	251.48	11	0	a							30	
PEN_357161	788379699659	3	4.06	3.84	87.26	11	0	a							30	
PEN_10533903	788379809256	3	115.62	103.45	2430.02	11	0	a							30	
PEN_10533902	788379809249	3	99.76	89.29	2096.96	11	0	a							30	
PEN_10533901	788379776107	3	73.34	65.7	1542.14	11	0	a							30	
PEN_16831-0320	22315368828	3	1029.64	919.54	21624.44	11	0	a							30	
PEN_10533907	788379809294	3	169.13	151.22	3553.73	11	0	a							30	
PEN_10533906	788379809287	3	167.82	150.05	3526.22	11	0	a							30	
PEN_10533905	788379809270	3	147.43	131.85	3098.03	11	0	a							30	
PEN_10533904	788379809263	3	129.22	115.59	2715.62	11	0	a							30	
PEN_460799Z	788379724825	3	78.86	70.63	1658.06	11	0	a							30	
PEN_R18655	788379009977	3	2.74	2.66	59.54	11	0	a							30	
PEN_143461	788379723637	3	8601.04	7679.71	180623.84	11	0	a							30	
PEN_10416100	788379856861	3	490.94	438.55	10311.74	11	0	a							30	
PEN_L76-49	22315374461	3	207.28	185.29	4354.88	11	0	a							30	
PEN_V2013900	788379851286	3	282.24	252.21	5929.04	11	0	a							30	
PEN_R172542SS	788379707910	3	17.58	15.91	371.18	11	0	a							30	
PEN_071366S	788379804862	3	1952.47	1743.49	41003.87	11	0	a							30	
PEN_261058	788379852993	3	20.87	18.85	440.27	11	0	a							30	
PEN_W0034600	788379766634	3	58.53	52.48	1231.13	11	0	a							30	
PEN_261050	788379674359	3	145.15	129.81	3050.15	11	0	a							30	
PEN_85000300	788379625351	3	27.49	24.76	579.29	11	0	a							30	
PEN_261055	788379674366	3	166.46	148.84	3497.66	11	0	a							30	
PEN_LG26L	807318007338	3	38.27	34.39	805.67	11	0	a							30	
PEN_581202ASWEX	788379857653	3	347.74	310.7	7304.54	11	0	a							30	
PEN_581202ASW	788379750916	3	347.74	310.7	7304.54	11	0	a							30	
PEN_75842	788379700928	3	2.8	2.71	60.8	11	0	a							30	
PEN_581202ASP	788379751319	3	493.44	440.79	10364.24	11	0	a							30	
PEN_581202ASS	788379751418	3	493.44	440.79	10364.24	11	0	a							30	
