sku	product-id	product-id-type	price	minimum-seller-allowed-price	maximum-seller-allowed-price	item-condition	quantity	add-delete	will-ship-internationally	expedited-shipping	standard-plus	item-note	fulfillment-center-id	product-tax-code	leadtime-to-ship	merchant_shipping_group_name
RAY_011598F	840891024149	3	648.33	578.98	879.52	11	0	a							30	
RAY_015121	840891034179	3	4595.8	4103.5	6236.8	11	0	a							30	
RAY_H000031	840891025887	3	46.86	41.95	63.24	11	0	a							30	
RAY_010209	840891015918	3	2732.4	2439.75	3707.9	11	0	a							30	
RAY_H000035	840891025573	3	96.0	85.83	129.93	11	0	a							30	
RAY_010203	840891015857	3	2483.7	2217.7	3370.38	11	0	a							30	
RAY_010200	840891015826	3	2456.6	2193.5	3333.6	11	0	a							30	
RAY_010201	840891015833	3	3008.2	2686.0	4082.2	11	0	a							30	
RAY_010207	840891015895	3	2593.06	2315.34	3518.79	11	0	a							30	
RAY_010204	840891015864	3	2757.91	2462.53	3742.52	11	0	a							30	
RAY_010205	840891015871	3	2732.4	2439.75	3707.9	11	0	a							30	
RAY_010007	840891014690	3	1919.0	1713.5	2604.0	11	0	a							30	
RAY_001345	840891022824	3	14092.28	12582.5	19124.88	11	0	a							30	
RAY_005234F	840891005278	3	1377.79	1230.27	1869.5	11	0	a							30	
RAY_013897	840891030744	3	68.2	61.0	92.2	11	0	a							30	
RAY_001346	840891006374	3	7958.99	7106.35	10801.13	11	0	a							30	
RAY_006727F	840891007432	3	2026.0	1809.04	2749.22	11	0	a							30	
RAY_010090F	840891019640	3	104.74	93.63	141.79	11	0	a							30	
RAY_010357F	840891023067	3	2295.95	2050.06	3115.57	11	0	a							30	
RAY_010347F	840891020165	3	137.28	122.68	185.95	11	0	a							30	
RAY_007157F	840891006824	3	154.97	138.47	209.96	11	0	a							30	
RAY_800080B	840891001430	3	5.91	5.39	7.67	11	0	a							30	
RAY_011591F	840891021896	3	135.32	120.92	183.29	11	0	a							30	
RAY_400013	840891001751	3	1.87	1.77	2.18	11	0	a							30	
RAY_004675F	840891002345	3	82.9	74.13	112.15	11	0	a							30	
RAY_005303F	840891009306	3	152.24	136.04	206.26	11	0	a							30	
RAY_011604F	840891025337	3	324.78	290.09	440.41	11	0	a							30	
RAY_007158F	840891020806	3	126.8	113.33	171.73	11	0	a							30	
RAY_010388F	840891022725	3	63.02	56.38	85.17	11	0	a							30	
RAY_600692	840891003021	3	426.45	380.86	578.39	11	0	a							30	
RAY_014804	840891032144	3	1472.4	1314.75	1997.9	11	0	a							30	
RAY_014805	840891032151	3	1496.2	1336.0	2030.2	11	0	a							30	
RAY_014806	840891032168	3	1496.2	1336.0	2030.2	11	0	a							30	
RAY_014800	840891032106	3	1160.2	1036.0	1574.2	11	0	a							30	
RAY_014801	840891032113	3	1142.04	1019.79	1549.56	11	0	a							30	
RAY_014803	840891032137	3	1471.28	1313.75	1996.38	11	0	a							30	
RAY_301210	840891004516	3	9.74	8.8	12.86	11	0	a							30	
RAY_300203	840891002314	3	1.55	1.49	1.74	11	0	a							30	
RAY_001457	840891005025	3	269.8	241.0	365.8	11	0	a							30	
RAY_010365F	840891019626	3	789.97	705.44	1071.74	11	0	a							30	
RAY_013794F	840891029922	3	2.64	2.46	3.22	11	0	a							30	
RAY_005681F	840891001522	3	343.45	306.76	465.76	11	0	a							30	
