sku	product-id	product-id-type	price	minimum-seller-allowed-price	maximum-seller-allowed-price	item-condition	quantity	add-delete	will-ship-internationally	expedited-shipping	standard-plus	item-note	fulfillment-center-id	product-tax-code	leadtime-to-ship	merchant_shipping_group_name
UNI_C-5371	678285150095	3	48.56	43.46	65.54	11	0	a							30	
UNI_C-5374	678285150378	3	26.23	23.52	35.24	11	0	a							30	
UNI_5CH-402	678285250030	3	21.62	19.41	28.99	11	0	a							30	
UNI_C-7626	678285170802	3	19.58	17.59	26.21	11	0	a							30	
UNI_C-7625	678285170796	3	24.48	21.96	32.86	11	0	a							30	
UNI_C-8420	678285180351	3	125.89	112.51	170.5	11	0	a							30	
UNI_C-8425	678285180382	3	105.15	93.99	142.34	11	0	a							30	
UNI_T-380R	678285120012	3	4.23	3.89	5.39	11	0	a							30	
UNI_C-6300	678285160018	3	26.38	23.66	35.45	11	0	a							30	
UNI_S-7112	678285600163	3	13.46	12.13	17.91	11	0	a							30	
UNI_C-5302	678285150033	3	34.05	30.51	45.86	11	0	a							30	
UNI_C-5300	678285150019	3	33.82	30.3	45.54	11	0	a							30	
UNI_C-7656	678285170888	3	31.42	28.16	42.29	11	0	a							30	
UNI_C-7652	678285170871	3	33.73	30.22	45.42	11	0	a							30	
UNI_C-7651	678285170864	3	50.84	45.5	68.64	11	0	a							30	
UNI_C-6650	678285160230	3	52.66	47.13	71.11	11	0	a							30	
UNI_C-4975	678285140553	3	27.71	24.85	37.25	11	0	a							30	
UNI_C-6659	678285160247	3	51.6	46.17	69.67	11	0	a							30	
UNI_6CH-75	678285260084	3	51.15	45.77	69.06	11	0	a							30	
UNI_FG-3020	678285300292	3	32.79	29.39	44.15	11	0	a							30	
UNI_FG-3022	678285300308	3	25.74	23.09	34.57	11	0	a							30	
UNI_7CH-552	678285270076	3	40.41	36.19	54.48	11	0	a							30	
UNI_FG-2413	678285300186	3	12.27	11.06	16.3	11	0	a							30	
UNI_FG-2412	678285300179	3	16.13	14.51	21.54	11	0	a							30	
UNI_C-2610	678285120135	3	13.95	12.56	18.58	11	0	a							30	
UNI_C-2612	678285120142	3	11.75	10.6	15.59	11	0	a							30	
UNI_C-2613	678285120159	3	13.14	11.84	17.47	11	0	a							30	
UNI_C-2618	678285120166	3	16.32	14.67	21.79	11	0	a							30	
UNI_4CH-35	678285240062	3	32.36	29.0	43.56	11	0	a							30	
UNI_8CH-202AM	678285780037	3	64.62	57.8	87.34	11	0	a							30	
UNI_4CH-30	678285240055	3	18.3	16.45	24.48	11	0	a							30	
UNI_C-7494-4	678285171427	3	224.86	200.88	304.81	11	0	a							30	
UNI_C-4618	678285140492	3	14.27	12.85	19.01	11	0	a							30	
UNI_C-8399	678285180283	3	42.65	38.19	57.53	11	0	a							30	
UNI_C-4611	678285140478	3	8.08	7.32	10.61	11	0	a							30	
UNI_6CH-959	678285260206	3	37.5	33.59	50.53	11	0	a							30	
UNI_5CH-45	678285250023	3	24.0	21.54	32.22	11	0	a							30	
UNI_C-7442	678285170291	3	38.7	34.66	52.17	11	0	a							30	
UNI_C-7440	678285170284	3	30.01	26.9	40.37	11	0	a							30	
UNI_C-7447	678285170307	3	45.72	40.93	61.69	11	0	a							30	
UNI_4CH-935	678285240178	3	20.78	18.66	27.85	11	0	a							30	
UNI_C-7449	678285170321	3	29.21	26.19	39.28	11	0	a							30	
UNI_C-5624	678285150286	3	21.64	19.43	29.01	11	0	a							30	
UNI_C-5625	678285150293	3	17.98	16.16	24.05	11	0	a							30	
UNI_C-5626	678285150309	3	20.78	18.66	27.85	11	0	a							30	
UNI_C-5627	678285150316	3	33.12	29.68	44.59	11	0	a							30	
UNI_FG-1236	678285300124	3	11.82	10.66	15.69	11	0	a							30	
UNI_C-5621	678285150255	3	25.32	22.71	34.0	11	0	a							30	
UNI_C-5622	678285150262	3	26.87	24.1	36.11	11	0	a							30	
UNI_C-7437	678285170260	3	31.65	28.36	42.59	11	0	a							30	
UNI_C-7433	678285170246	3	32.36	29.0	43.56	11	0	a							30	
UNI_C-7430	678285171229	3	79.18	70.8	107.1	11	0	a							30	
UNI_C-6430	678285160056	3	18.95	17.02	25.36	11	0	a							30	
UNI_C-6433	678285160063	3	34.08	30.54	45.9	11	0	a							30	
UNI_C-7439	678285170277	3	26.31	23.6	35.35	11	0	a							30	
UNI_C-4608	678285140447	3	7.75	7.03	10.16	11	0	a							30	
UNI_C-7660	678285170895	3	34.25	30.69	46.13	11	0	a							30	
UNI_C-8465	678285180153	3	37.04	33.17	49.91	11	0	a							30	
UNI_S-7151	678285600231	3	17.76	15.96	23.74	11	0	a							30	
UNI_C-4607	678285140430	3	6.03	5.49	7.82	11	0	a							30	
UNI_C-7698	678285171212	3	52.2	46.71	70.48	11	0	a							30	
UNI_C-7697	678285171205	3	72.2	64.58	97.63	11	0	a							30	
UNI_C-8340	678285180047	3	27.56	24.71	37.04	11	0	a							30	
UNI_C-8341	678285180344	3	27.07	24.28	36.38	11	0	a							30	
UNI_6CH-502	678285260138	3	27.46	24.63	36.91	11	0	a							30	
UNI_5CH-203	678285250047	3	18.4	16.54	24.62	11	0	a							30	
UNI_C-9970	678285190244	3	69.96	62.57	94.59	11	0	a							30	
UNI_FS-3037	678285400060	3	158.11	141.28	214.22	11	0	a							30	
UNI_C-5330	678285150392	3	15.62	14.05	20.84	11	0	a							30	
UNI_C-9485	678285190169	3	68.35	61.14	92.41	11	0	a							30	
UNI_C-9480	678285190121	3	60.22	53.88	81.37	11	0	a							30	
UNI_C-9481	678285190138	3	101.24	90.5	137.04	11	0	a							30	
UNI_C-9482	678285190145	3	83.99	75.1	113.63	11	0	a							30	
UNI_C-9483	678285190152	3	105.89	94.65	143.35	11	0	a							30	
UNI_6CH-25	678285260015	3	22.94	20.59	30.77	11	0	a							30	
UNI_6CH-26	678285260022	3	25.42	22.8	34.14	11	0	a							30	
UNI_PG-1906	678285500050	3	22.42	20.13	30.07	11	0	a							30	
UNI_PG-1904	678285500036	3	16.3	14.66	21.77	11	0	a							30	
UNI_PG-1905	678285500043	3	19.35	17.39	25.91	11	0	a							30	
UNI_PG-1902	678285500012	3	13.46	12.13	17.91	11	0	a							30	
UNI_PG-1903	678285500029	3	13.15	11.85	17.49	11	0	a							30	
UNI_C-6616	678285160162	3	15.91	14.31	21.23	11	0	a							30	
UNI_C-6617	678285160179	3	27.52	24.68	36.99	11	0	a							30	
UNI_FG-1272	678285300155	3	20.56	18.46	27.54	11	0	a							30	
UNI_C-9650	678285190213	3	34.77	31.15	46.83	11	0	a							30	
UNI_C-4316	678285140751	3	18.65	16.76	24.96	11	0	a							30	
UNI_FG-1072	678285300100	3	23.95	21.49	32.14	11	0	a							30	
UNI_C-4311	678285140102	3	32.05	28.73	43.14	11	0	a							30	
UNI_C-4310	678285140096	3	13.32	12.0	17.72	11	0	a							30	
UNI_6CH-961	678285260145	3	28.45	25.51	38.26	11	0	a							30	
UNI_6CH-960	678285260121	3	28.45	25.51	38.26	11	0	a							30	
UNI_C-9999	678285190251	3	69.78	62.41	94.35	11	0	a							30	
UNI_C-6645	678285160223	3	44.51	39.85	60.05	11	0	a							30	
UNI_C-7459-4	678285171298	3	166.34	148.63	225.39	11	0	a							30	
UNI_SC3-SR50	678285190336	3	33.86	30.34	45.59	11	0	a							30	
UNI_7CH-402	678285270045	3	26.31	23.6	35.35	11	0	a							30	
UNI_S-0140	678285600040	3	12.3	11.09	16.33	11	0	a							30	
UNI_C-7495	678285170611	3	80.98	72.41	109.55	11	0	a							30	
UNI_C-7494	678285171168	3	59.91	53.6	80.95	11	0	a							30	
UNI_C-7496	678285170628	3	58.09	51.98	78.48	11	0	a							30	
UNI_C-7491	678285170581	3	42.08	37.67	56.75	11	0	a							30	
UNI_C-7490	678285171151	3	82.4	73.67	111.47	11	0	a							30	
UNI_C-7493	678285170604	3	67.22	60.13	90.87	11	0	a							30	
UNI_C-7499	678285170659	3	57.49	51.44	77.67	11	0	a							30	
UNI_C-7498	678285170642	3	86.79	77.6	117.43	11	0	a							30	
UNI_C-6610	678285160155	3	13.73	12.36	18.27	11	0	a							30	
UNI_C-6960	678285160278	3	45.44	40.67	61.31	11	0	a							30	
UNI_C-7367	678285171038	3	38.38	34.38	51.73	11	0	a							30	
UNI_C-7408	678285170123	3	83.4	74.58	112.83	11	0	a							30	
UNI_C-7409	678285170130	3	70.54	63.09	95.37	11	0	a							30	
UNI_C-7406	678285170109	3	44.34	39.7	59.82	11	0	a							30	
UNI_C-7407	678285170116	3	54.65	48.9	73.81	11	0	a							30	
UNI_C-7405	678285170093	3	33.91	30.39	45.67	11	0	a							30	
UNI_C-7402	678285170062	3	39.25	35.15	52.91	11	0	a							30	
UNI_S-0175	678285600095	3	11.18	10.09	14.81	11	0	a							30	
UNI_S-0174	678285600088	3	15.57	14.01	20.78	11	0	a							30	
UNI_C-7630	678285170819	3	37.78	33.84	50.91	11	0	a							30	
UNI_C-7633	678285170833	3	27.71	24.85	37.25	11	0	a							30	
UNI_C-8414	678285180320	3	68.54	61.3	92.66	11	0	a							30	
UNI_C-8416	678285180290	3	70.64	63.18	95.51	11	0	a							30	
UNI_C-8417	678285180139	3	87.3	78.05	118.12	11	0	a							30	
UNI_C-8410	678285180368	3	73.8	66.0	99.8	11	0	a							30	
UNI_C-8411	678285180191	3	45.34	40.59	61.17	11	0	a							30	
UNI_C-8412	678285180122	3	58.61	52.44	79.19	11	0	a							30	
UNI_C-8413	678285180238	3	64.57	57.76	87.28	11	0	a							30	
UNI_C-6310	678285160308	3	61.2	54.75	82.7	11	0	a							30	
