sku	product-id	product-id-type	price	minimum-seller-allowed-price	maximum-seller-allowed-price	item-condition	quantity	add-delete	will-ship-internationally	expedited-shipping	standard-plus	item-note	fulfillment-center-id	product-tax-code	leadtime-to-ship	merchant_shipping_group_name
USS_PS-4280	852661157346	3	11.22	10.13	14.87	11	0	a							30	
USS_PS-851	852661157414	3	5.69	5.19	7.37	11	0	a							30	
USS_PS-3986	852661157261	3	12.48	11.25	16.58	11	0	a							30	
USS_PS-601	852661157384	3	8.21	7.44	10.79	11	0	a							30	
USS_PSK-HA2	852661157735	3	41.88	37.5	56.48	11	0	a							30	
USS_PSK-HA1	852661157797	3	44.68	40.0	60.28	11	0	a							30	
USS_PSK-ST3	852661157780	3	43.42	38.88	58.57	11	0	a							30	
USS_PSK-ST2	852661157810	3	46.92	42.0	63.32	11	0	a							30	
USS_PSK-ST1	852661157759	3	46.08	41.25	62.18	11	0	a							30	
USS_PS1000	852661157032	3	6.32	5.75	8.22	11	0	a							30	
USS_PS-360	852661157148	3	13.18	11.88	17.53	11	0	a							30	
USS_PS-3868	852661157193	3	7.79	7.06	10.21	11	0	a							30	
USS_PSK-ST4	852661157827	3	46.92	42.0	63.32	11	0	a							30	
USS_PS-3866	852661157179	3	6.95	6.31	9.07	11	0	a							30	
USS_PS-3867	852661157186	3	6.95	6.31	9.07	11	0	a							30	
USS_PS-201V-CMS	852661157100	3	8.84	8.0	11.64	11	0	a							30	
USS_PSK-PF2	852661157803	3	43.7	39.13	58.95	11	0	a							30	
USS_PSK-PF3	852661157834	3	43.0	38.5	58.0	11	0	a							30	
USS_PSK-PF1	852661157742	3	19.9	17.88	26.65	11	0	a							30	
USS_PSK-JC1	852661157773	3	45.66	40.88	61.61	11	0	a							30	
USS_PS-3865R	852661157162	3	6.95	6.31	9.07	11	0	a							30	
USS_PS100	852661157025	3	6.32	5.75	8.22	11	0	a							30	
USS_PS200	852661157087	3	6.32	5.75	8.22	11	0	a							30	
USS_PS201	852661157094	3	7.44	6.75	9.74	11	0	a							30	
USS_PSK-PU1	852661157766	3	36.7	32.88	49.45	11	0	a							30	
USS_RBL-6204-LL	623647340744	3	5.34	4.88	6.89	11	0	a							30	
USS_PS-2131	852661157117	3	4.43	4.06	5.66	11	0	a							30	
USS_PS-3890	852661157230	3	8.77	7.94	11.54	11	0	a							30	
