sku,product-id,product-id-type,price,minimum-seller-allowed-price,maximum-seller-allowed-price,item-condition,quantity,add-delete,will-ship-internationally,expedited-shipping,standard-plus,item-note,fulfillment-center-id,product-tax-code,leadtime-to-ship,merchant_shipping_group_name
VAL_V20-400,811636024731,3,3.16,2.92,,11,0,a,,,,,,,30,
VAL_V20-406,811636024656,3,None,None,,11,0,a,,,,,,,30,
VAL_V20-407,811636020801,3,None,None,,11,0,a,,,,,,,30,
VAL_V34-172,811636022232,3,None,None,,11,0,a,,,,,,,30,
VAL_V20-089,811636027251,3,None,None,,11,0,a,,,,,,,30,
VAL_V32-606,811636021655,3,23.0,14.15,,11,0,a,,,,,AMAZON_NA,,30,
VAL_V32-605,811636021648,3,20.85,18.73,,11,0,a,,,,,,,30,
VAL_V32-604,811636021631,3,19.94,17.91,,11,0,a,,,,,,,30,
VAL_V20-105,811636024953,3,None,None,,11,0,a,,,,,,,30,
VAL_V20-107,811636027183,3,None,None,,11,0,a,,,,,,,30,
VAL_V40-465,811636023383,3,None,None,,11,0,a,,,,,,,30,
VAL_V40-468,811636023390,3,17.38,15.63,,11,0,a,,,,,,,30,
VAL_V40-469,811636023406,3,35.17,31.51,,11,0,a,,,,,,,30,
VAL_V40-301,811636026872,3,None,None,,11,0,a,,,,,,,30,
VAL_V40-300,811636023123,3,None,None,,11,0,a,,,,,,,30,
VAL_V38-222,811636023062,3,18.61,16.73,,11,0,a,,,,,,,30,
VAL_V38-221,811636023055,3,82.0,52.2,,11,0,a,,,,,AMAZON_NA,,30,
VAL_V38-220,811636023048,3,80.0,50.7,,11,0,a,,,,,AMAZON_NA,,30,
VAL_V50-105,811636022546,3,24.0,14.93,,11,0,a,,,,,AMAZON_NA,,30,
VAL_V22-100,811636021037,3,None,None,,11,0,a,,,,,,,30,
VAL_V20-624,811636027473,3,16.3,14.66,,11,0,a,,,,,,,30,
VAL_V26-378,811636021419,3,None,None,,11,0,a,,,,,,,30,
VAL_V26-379,811636021426,3,35.22,31.55,,11,0,a,,,,,,,30,
VAL_V26-375,811636021389,3,None,None,,11,0,a,,,,,,,30,
VAL_V26-376,811636021396,3,28.54,25.59,,11,0,a,,,,,,,30,
VAL_V26-377,811636021402,3,None,None,,11,0,a,,,,,,,30,
