sku	product-id	product-id-type	price	minimum-seller-allowed-price	maximum-seller-allowed-price	item-condition	quantity	add-delete	will-ship-internationally	expedited-shipping	standard-plus	item-note	fulfillment-center-id	product-tax-code	leadtime-to-ship	merchant_shipping_group_name
VAL_V20-068	B0118DFGGA	1	47	29.69		11		a					AMAZON_NA			
VAL_V36-192	B00KUP844O	1	19	11.88		11		a					AMAZON_NA			
VAL_V32-606	B00KUTGYDI	1	23	14.15		11		a					AMAZON_NA			
VAL_V40-401	B00M2ALSKW	1	5.99	1.65		11		a					AMAZON_NA			
VAL_V38-119	B00M29XSEM	1	12	7.32		11		a					AMAZON_NA			
VAL_V38-221	B00M2AGLE0	1	82	52.2		11		a					AMAZON_NA			
VAL_V38-220	B00M2A91XI	1	80	50.7		11		a					AMAZON_NA			
VAL_V50-105	B00KUSDVCQ	1	24	14.93		11		a					AMAZON_NA			
VAL_V26-370	B00KURL0N4	1	14	8.71		11		a					AMAZON_NA			
VAL_V60-566	B00M2ADS1Y	1	23	14.44		11		a					AMAZON_NA			
VAL_V34-115	B00M2A6MT4	1	5.99	3.11		11		a					AMAZON_NA			
VAL_V38-137	B00M2AGYD8	1	38	23.95		11		a					AMAZON_NA			
VAL_V38-136	B00KUSDVRQ	1	16	9.76		11		a					AMAZON_NA			
VAL_V38-135	B00KUSDWBQ	1	22	13.8		11		a					AMAZON_NA			
VAL_V38-134	B00M2AH2LG	1	13	8.29		11		a					AMAZON_NA			
VAL_V38-133	B004YLK5R4	1	28	17.91		11		a					AMAZON_NA			
VAL_V38-131	B004LDWJGU	1	98	61.98		11		a					AMAZON_NA			
VAL_V38-130	B00HEAP8XS	1	118	75.24		11		a					AMAZON_NA			
VAL_V20-064	B019G2ORRO	1	14	8.95		11		a					AMAZON_NA			
VAL_V20-065	B019G1MR36	1	18	11.19		11		a					AMAZON_NA			
VAL_V20-069	B0118E3YAE	1	47	29.69		11		a					AMAZON_NA			
VAL_V20-666	B00M29Z6O2	1	5.99	1.63		11		a					AMAZON_NA			
VAL_V34-150	B00M2A26LM	1	28	17.44		11		a					AMAZON_NA			
VAL_V60-400	B00HEAUAE0	1	13	7.96		11		a					AMAZON_NA			
VAL_V20-207-1	B00M2A8ZS0	1	53	33.38		11		a					AMAZON_NA			
VAL_V20-322	B019G0ENXO	1	65	41.51		11		a					AMAZON_NA			
VAL_V38-099	B00M2A3NSC	1	121	76.89		11		a					AMAZON_NA			
VAL_V36-120	B00YFT3HE8	1	5.99	1.81		11		a					AMAZON_NA			
VAL_V38-160	B004LDYH8S	1	43	27.31		11		a					AMAZON_NA			
VAL_V38-161	B00M2A6230	1	5.99	3.15		11		a					AMAZON_NA			
VAL_V38-162	B004LE5NPS	1	41	26.07		11		a					AMAZON_NA			
VAL_V34-136	B00FXY7N6M	1	15	9.06		11		a					AMAZON_NA			
VAL_V65-120	B004J1B7XK	1	5.99	2.92		11		a					AMAZON_NA			
VAL_V40-430	B00M2AGWSU	1	40	25.56		11		a					AMAZON_NA			
VAL_V20-207	B00M2A33LE	1	43	27.46		11		a					AMAZON_NA			
VAL_V20-204	B00M2A6PHI	1	60	37.78		11		a					AMAZON_NA			
VAL_V20-205	B00M2A8KQW	1	60	37.78		11		a					AMAZON_NA			
VAL_V20-202	B00M2A88KA	1	60	37.78		11		a					AMAZON_NA			
VAL_V20-203	B00M2A82FQ	1	60	37.78		11		a					AMAZON_NA			
VAL_V20-200	B00HEATHXK	1	17	10.32		11		a					AMAZON_NA			
VAL_V50-005	B019G944SY	1	31	19.69		11		a					AMAZON_NA			
VAL_V20-208	B00LBK2F7O	1	67	42.76		11		a					AMAZON_NA			
VAL_V55-201	B00LAGMMMW	1	42	26.31		11		a					AMAZON_NA			
VAL_V38-125	B00KUSDURM	1	23	14.25		11		a					AMAZON_NA			
VAL_V38-127	B00M2ACWY8	1	73	46.45		11		a					AMAZON_NA			
VAL_V20-377	B00M2AHEKA	1	5.99	3.27		11		a					AMAZON_NA			
VAL_V20-342	B00LAGMWKE	1	25	15.52		11		a					AMAZON_NA			
VAL_V36-115	B00M2AGCZS	1	31	19.64		11		a					AMAZON_NA			
VAL_V20-072	B0118DOSJ6	1	12	7.72		11		a					AMAZON_NA			
VAL_V60-300	B00KUP84L2	1	13	8.28		11		a					AMAZON_NA			
VAL_V20-371	B00M29XIY2	1	30	18.95		11		a					AMAZON_NA			
VAL_V34-141	B00M29Z1N8	1	6	3.5		11		a					AMAZON_NA			
VAL_V20-335	B00LAGMUS8	1	13	7.81		11		a					AMAZON_NA			
VAL_V20-332	B00M2A6E4C	1	5.99	2.59		11		a					AMAZON_NA			
VAL_V20-330	B00LAGN0P0	1	20	12.55		11		a					AMAZON_NA			
VAL_V20-331	B00M2A3ZBM	1	5.99	2.59		11		a					AMAZON_NA			
VAL_V20-339	B004I4R480	1	25	15.52		11		a					AMAZON_NA			
VAL_V60-500	B010GMHA4A	1	15	9.14		11		a					AMAZON_NA			
VAL_V34-138	B00M29ZBBK	1	12	7.19		11		a					AMAZON_NA			
VAL_V20-341	B00LAGNAQO	1	25	15.52		11		a					AMAZON_NA			
VAL_V20-340	B00LAGN6F4	1	25	15.52		11		a					AMAZON_NA			
VAL_V40-116	B00M29ZLXS	1	22	13.96		11		a					AMAZON_NA			
VAL_V22-121	B00M2ADYNG	1	6	3.48		11		a					AMAZON_NA			
VAL_V26-358	B00M29Y2HY	1	10	6.3		11		a					AMAZON_NA			
VAL_V26-359	B00M29ZP0W	1	5.99	2.63		11		a					AMAZON_NA			
VAL_V50-300	B004SR0WZE	1	22	14.13		11		a					AMAZON_NA			
VAL_V36-190	B00M2A2MQG	1	36	22.48		11		a					AMAZON_NA			
VAL_V38-115	B00M2AFWZE	1	11	7		11		a					AMAZON_NA			
VAL_V20-860	B00M2A6B4U	1	299	190.79		11		a					AMAZON_NA			
