sku	product-id	product-id-type	price	minimum-seller-allowed-price	maximum-seller-allowed-price	item-condition	quantity	add-delete	will-ship-internationally	expedited-shipping	standard-plus	item-note	fulfillment-center-id	product-tax-code	leadtime-to-ship	merchant_shipping_group_name
WAT_519-2900	B002CTNE0K	1	10	6.55	151.1	11		a					AMAZON_NA			
WAT_711-4030	B004VTFY2U	1	5.99	2.29	50.72	11		a					AMAZON_NA			
WAT_672-7150	B004VTGV72	1	18.99	6.01	138.29	11		a					AMAZON_NA			
WAT_550-1030	B003UW5U8C	1	15.99	7.42	171.68	11		a					AMAZON_NA			
WAT_640-3580V	B00C7UFAEC	1	21.99	14.14	329.39	11		a					AMAZON_NA			
WAT_212-7000	B003WH9GCG	1	89.99	43.15	1011.89	11		a					AMAZON_NA			
WAT_212-3340B	B004VU89PI	1	13	7.99	184.91	11		a					AMAZON_NA			
WAT_519-3000	B00HEAVMF6	1	17.99	8.78	203.39	11		a					AMAZON_NA			
WAT_WV001H	B00564G2Z2	1	34.99	12.39	288.23	11		a					AMAZON_NA			
WAT_519-3060	B00UNBHNGA	1	14.99	3.95	89.78	11		a					AMAZON_NA			
WAT_672-7120	B00HDE1TH4	1	15.99	6.01	138.29	11		a					AMAZON_NA			
WAT_212-1507S	806105198938	3	6.3	5.84	134.3	11	0	a							30	
WAT_520-1700	806105097866	3	413.52	369.43	8685.92	11	0	a							30	
WAT_3410413-2014	806105068026	3	243.19	217.35	5108.99	11	0	a							30	
WAT_212-8010B	806105319746	3	9.46	8.66	200.66	11	0	a							30	
WAT_212-8010G	806105259844	3	13.68	12.43	289.28	11	0	a							30	
WAT_560-C3C67L	806105101051	3	38.96	35	820.16	11	0	a							30	
WAT_560-COA67S	806105100948	3	33.78	30.38	711.38	11	0	a							30	
WAT_224-1001G	806105265487	3	6.55	6.06	139.55	11	0	a							30	
WAT_215-9171B	806105045867	3	4.44	4.17	95.24	11	0	a							30	
WAT_3420610-2041	806105072108	3	253.36	226.42	5322.56	11	0	a							30	
WAT_640-2130V	806105396501	3	48.86	43.84	1028.06	11	0	a							30	
WAT_210-4390	806105376732	3	32.39	29.14	682.19	11	0	a							30	
WAT_660-3567B	806105219060	3	22.9	20.66	482.9	11	0	a							30	
WAT_425-5071	806105489562	3	4.7	4.41	100.7	11	0	a							30	
WAT_3721621-13	806105077387	3	312.97	279.65	6574.37	11	0	a							30	
WAT_640-2320	806105108371	3	37.56	33.75	790.76	11	0	a							30	
WAT_212-7907B	806105319753	3	6.65	6.15	141.65	11	0	a							30	
WAT_532-2019B-DK	806105098283	3	33.05	29.73	696.05	11	0	a							30	
WAT_SG5205037-6S	806105427878	3	599.69	535.65	12595.49	11	0	a							30	
WAT_224-1041	806105060822	3	8.08	7.42	171.68	11	0	a							30	
WAT_224-1040	806105060808	3	8.08	7.42	171.68	11	0	a							30	
WAT_540-6479WW-D	806105098849	3	12.44	11.32	263.24	11	0	a							30	
WAT_540-6479WW-B	806105098832	3	12.44	11.32	263.24	11	0	a							30	
WAT_224-1047	806105060860	3	8.08	7.42	171.68	11	0	a							30	
WAT_540-6010	806105098436	3	9.41	8.61	199.61	11	0	a							30	
WAT_228-6710	806105480118	3	5.6	5.21	119.6	11	0	a							30	
