sku	product-id	product-id-type	price	minimum-seller-allowed-price	maximum-seller-allowed-price	item-condition	quantity	add-delete	will-ship-internationally	expedited-shipping	standard-plus	item-note	fulfillment-center-id	product-tax-code	leadtime-to-ship	merchant_shipping_group_name
ZOD_JLUW10-100	052337062657	3	299.48	267.5	406.08	11	0	a							30	
ZOD_R0487600	052337051637	3	15.63	14.06	20.85	11	0	a							30	
ZOD_R0591302	052337068420	3	30.76	27.58	41.39	11	0	a							30	
ZOD_R0591303	052337068437	3	31.51	28.24	42.4	11	0	a							30	
ZOD_39-300	738919066946	3	21.64	19.43	29.01	11	0	a							30	
ZOD_R0591304	052337068444	3	30.76	27.58	41.39	11	0	a							30	
ZOD_R0591305	052337068451	3	31.51	28.24	42.4	11	0	a							30	
ZOD_R0317001	052337014311	3	113.91	101.81	154.24	11	0	a							30	
ZOD_6-302-00	738919001497	3	1.41	1.36	1.55	11	0	a							30	
ZOD_G52-B	738919015807	3	908.58	811.34	1232.71	11	0	a							30	
ZOD_1602CBF	052337056915	3	307.5	274.66	416.97	11	0	a							30	
ZOD_W46055	746823460552	3	18.26	16.41	24.43	11	0	a							30	
ZOD_P84	738919020481	3	19.98	17.95	26.76	11	0	a							30	
ZOD_W13061	706175130619	3	11.93	10.76	15.84	11	0	a							30	
ZOD_R3001500	052337028356	3	70.01	62.61	94.65	11	0	a							30	
ZOD_W13064	706175130640	3	13.98	12.59	18.61	11	0	a							30	
ZOD_W13068	706175130688	3	15.22	13.7	20.3	11	0	a							30	
ZOD_R0516300	738919070332	3	59.04	52.83	79.77	11	0	a							30	
ZOD_7443	052337003087	3	240.93	215.22	326.62	11	0	a							30	
ZOD_7442	052337003070	3	214.78	191.88	291.13	11	0	a							30	
ZOD_7441	052337003063	3	214.78	191.88	291.13	11	0	a							30	
ZOD_7446	052337003117	3	268.2	239.58	363.63	11	0	a							30	
ZOD_7445	052337003100	3	268.2	239.58	363.63	11	0	a							30	
ZOD_7444	052337003094	3	240.93	215.22	326.62	11	0	a							30	
ZOD_R0040400	052337012065	3	30.72	27.54	41.34	11	0	a							30	
ZOD_P35	738919002210	3	1.78	1.7	2.06	11	0	a							30	
ZOD_6-207-00	738919003125	3	25.25	22.65	33.91	11	0	a							30	
ZOD_5-13-1	738919017009	3	35.72	32.0	48.12	11	0	a							30	
ZOD_6796	052337002684	3	39.75	35.6	53.59	11	0	a							30	
ZOD_S3040K18	052337026444	3	218.98	195.63	296.83	11	0	a							30	
ZOD_R0592000	052337067522	3	20.5	18.41	27.47	11	0	a							30	
ZOD_BWVL-SLD	052337057905	3	96.2	86.0	130.2	11	0	a							30	
ZOD_WPHV300WS30	052337027182	3	179.85	160.69	243.73	11	0	a							30	
ZOD_G16	738919002111	3	3.23	2.99	4.02	11	0	a							30	
ZOD_R0529400	052337057745	3	19.69	17.69	26.37	11	0	a							30	
ZOD_9-100-3002B	738919015920	3	171.62	153.34	232.55	11	0	a							30	
ZOD_WSHV100WP100	052337027410	3	239.84	214.25	325.14	11	0	a							30	
ZOD_48-232	738919014473	3	15.48	13.93	20.65	11	0	a							30	
ZOD_48-233	738919014480	3	2.85	2.65	3.51	11	0	a							30	
ZOD_R0479800	052337034579	3	150.18	134.2	203.46	11	0	a							30	
ZOD_R0573300	052337063494	3	69.56	62.21	94.04	11	0	a							30	
ZOD_R0327100	052337014991	3	39.53	35.4	53.29	11	0	a							30	
ZOD_W69541	746823695411	3	29.66	26.59	39.89	11	0	a							30	
ZOD_W69542	746823695428	3	23.26	20.88	31.21	11	0	a							30	
ZOD_W69545	746823695459	3	11.33	10.22	15.02	11	0	a							30	
ZOD_R0560400	052337025430	3	76.85	68.72	103.94	11	0	a							30	
ZOD_7200	052337058124	3	607.27	542.31	823.8	11	0	a							30	
ZOD_R0458100	052337023436	3	68.76	61.5	92.96	11	0	a							30	
ZOD_R0462400	052337058186	3	156.93	140.22	212.62	11	0	a							30	
ZOD_R0386100	052337019590	3	11.43	10.31	15.16	11	0	a							30	
ZOD_R0524900	052337054423	3	20.63	18.52	27.64	11	0	a							30	
ZOD_7-400-00	738919000070	3	150.94	134.88	204.49	11	0	a							30	
ZOD_5-9-536A	738919017689	3	94.16	84.18	127.43	11	0	a							30	
ZOD_R0448600	052337022262	3	7.69	6.98	10.08	11	0	a							30	
ZOD_R0378900	052337019170	3	11.99	10.81	15.91	11	0	a							30	
ZOD_9-100-3104	738919003354	3	31.11	27.89	41.87	11	0	a							30	
