item_sku,external_product_id,external_product_id_type,item_name,product_description,feed_product_type,brand_name,manufacturer,part_number,item_type,update_delete,model,standard_price,condition_type,condition_note,quantity,list_price,map_price,product_site_launch_date,merchant_release_date,restock_date,fulfillment_latency,product_tax_code,sale_price,sale_from_date,sale_end_date,item_package_quantity,max_aggregate_ship_quantity,offering_can_be_gift_messaged,offering_can_be_giftwrapped,is_discontinued_by_manufacturer,missing_keyset_reason,max_order_quantity,number_of_items,offering_start_date,merchant_shipping_group_name,website_shipping_weight,website_shipping_weight_unit_of_measure,item_display_length,item_display_width,item_display_height,display_dimensions_unit_of_measure,item_display_weight,item_display_weight_unit_of_measure,volume_capacity_name,volume_capacity_name_unit_of_measure,item_height,item_length,item_length_unit_of_measure,item_weight,item_weight_unit_of_measure,item_width,bullet_point1,bullet_point2,bullet_point3,bullet_point4,bullet_point5,target_audience_base,catalog_number,specific_uses_keywords1,specific_uses_keywords2,specific_uses_keywords3,specific_uses_keywords4,specific_uses_keywords5,target_audience_keywords1,target_audience_keywords2,target_audience_keywords3,thesaurus_subject_keywords1,thesaurus_subject_keywords2,thesaurus_subject_keywords3,generic_keywords,main_image_url,swatch_image_url,other_image_url1,other_image_url2,other_image_url3,fulfillment_center_id,package_height,package_width,package_length,package_dimensions_unit_of_measure,package_length_unit_of_measure,package_weight,package_weight_unit_of_measure,parent_child,parent_sku,relationship_type,variation_theme,prop_65,cpsia_cautionary_statement,cpsia_cautionary_description,country_string,country_of_origin,legal_disclaimer_description,safety_warning,energy_efficiency_image_url,lighting_facts_image_url,breed_recommendation,thesaurus_attribute_keywords,special_features,directions,ingredients,material_type,closure_type,compatible_devices,age_range_description,included_features,specific_uses_for_product,color_name,color_map,size_name,size_map,flavor_name,maximum_weight_recommendation,weight_recommendation_unit_of_measure,external_testing_certification,battery_type,number_of_batteries,lithium_battery_weight,wattage,pattern_name,warranty_description,fabric_type,import_designation,country_as_labeled,fur_description,paint_type,number_of_sets,occasion,thread_count,number_of_pieces,item_shape,scent_name,included_components,style_name,usda_hardiness_zone1,usda_hardiness_zone2,specification_met,mfg_minimum,mfg_maximum,material_composition,fill_material_type,light_source_type,blade_edge_type,blade_material_type,theme,power_source_type,voltage,engine_type,hose_length,hose_length_unit_of_measure
AOS_H617,None,UPC,Motor,Motor,OutdoorLiving,A.O. Smith,A.O. Smith,H617,,Update,H617,370.08,New,,0,,,,,,30,,,,,1,,,,False,,,,,,,,None,None,None,,None,,,,,,IN,,LB,,,,,,,,,Pumps,None,None,,,,,,,,,Pumps,https://s3-us-west-1.amazonaws.com/oppics/full/AOS/AOS_H617.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOS_K3202,None,UPC,Motor,Motor,OutdoorLiving,A.O. Smith,A.O. Smith,K3202,,Update,K3202,397.74,New,,0,,,,,,30,,,,,1,,,,False,,,,,,,,None,None,None,,None,,,,,,IN,,LB,,,,,,,,,Pumps,None,None,,,,,,,,,Pumps,https://s3-us-west-1.amazonaws.com/oppics/full/AOS/AOS_K3202.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOS_BG2844A,None,UPC,Motor,Motor,OutdoorLiving,A.O. Smith,A.O. Smith,BG2844A,,Update,BG2844A,528.67,New,,0,,,,,,30,,,,,1,,,,False,,,,,,,,None,None,None,,None,,,,,,IN,,LB,,,,,,,,,Pumps,None,None,,,,,,,,,Pumps,https://s3-us-west-1.amazonaws.com/oppics/full/AOS/AOS_BG2844A.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOS_E118E,None,UPC,Motor,Motor,OutdoorLiving,A.O. Smith,A.O. Smith,E118E,,Update,E118E,427.74,New,,0,,,,,,30,,,,,1,,,,False,,,,,,,,None,None,None,,None,,,,,,IN,,LB,,,,,,,,,Pumps,None,None,,,,,,,,,Pumps,https://s3-us-west-1.amazonaws.com/oppics/full/AOS/AOS_E118E.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOS_Q3072,None,UPC,Motor,Motor,OutdoorLiving,A.O. Smith,A.O. Smith,Q3072,,Update,Q3072,254.63,New,,0,,,,,,30,,,,,1,,,,False,,,,,,,,None,None,None,,None,,,,,,IN,,LB,,,,,,,,,Pumps,None,None,,,,,,,,,Pumps,https://s3-us-west-1.amazonaws.com/oppics/full/AOS/AOS_Q3072.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOS_BN25V1,None,UPC,Motor,Motor,OutdoorLiving,A.O. Smith,A.O. Smith,BN25V1,,Update,BN25V1,161.44,New,,0,,,,,,30,,,,,1,,,,False,,,,,,,,None,None,None,,None,,,,,,IN,,LB,,,,,,,,,Pumps,None,None,,,,,,,,,Pumps,https://s3-us-west-1.amazonaws.com/oppics/full/AOS/AOS_BN25V1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOS_E378M2,None,UPC,Motor,Motor,OutdoorLiving,A.O. Smith,A.O. Smith,E378M2,,Update,E378M2,1029.81,New,,0,,,,,,30,,,,,1,,,,False,,,,,,,,None,None,None,,None,,,,,,IN,,LB,,,,,,,,,Pumps,None,None,,,,,,,,,Pumps,https://s3-us-west-1.amazonaws.com/oppics/full/AOS/AOS_E378M2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOS_B973T,None,UPC,Motor,Motor,OutdoorLiving,A.O. Smith,A.O. Smith,B973T,,Update,B973T,427.88,New,,0,,,,,,30,,,,,1,,,,False,,,,,,,,None,None,None,,None,,,,,,IN,,LB,,,,,,,,,Pumps,None,None,,,,,,,,,Pumps,https://s3-us-west-1.amazonaws.com/oppics/full/AOS/AOS_B973T.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOS_UCT1102,None,UPC,Motor,Motor,OutdoorLiving,A.O. Smith,A.O. Smith,UCT1102,,Update,UCT1102,259.19,New,,0,,,,,,30,,,,,1,,,,False,,,,,,,,None,None,None,,None,,,,,,IN,,LB,,,,,,,,,Pumps,None,None,,,,,,,,,Pumps,https://s3-us-west-1.amazonaws.com/oppics/full/AOS/AOS_UCT1102.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOS_H755,None,UPC,Motor,Motor,OutdoorLiving,A.O. Smith,A.O. Smith,H755,,Update,H755,491.06,New,,0,,,,,,30,,,,,1,,,,False,,,,,,,,None,None,None,,None,,,,,,IN,,LB,,,,,,,,,Pumps,None,None,,,,,,,,,Pumps,https://s3-us-west-1.amazonaws.com/oppics/full/AOS/AOS_H755.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
