item_sku,external_product_id,external_product_id_type,item_name,product_description,feed_product_type,brand_name,manufacturer,part_number,item_type,update_delete,model,standard_price,condition_type,condition_note,quantity,list_price,map_price,product_site_launch_date,merchant_release_date,restock_date,fulfillment_latency,product_tax_code,sale_price,sale_from_date,sale_end_date,item_package_quantity,max_aggregate_ship_quantity,offering_can_be_gift_messaged,offering_can_be_giftwrapped,is_discontinued_by_manufacturer,missing_keyset_reason,max_order_quantity,number_of_items,offering_start_date,merchant_shipping_group_name,website_shipping_weight,website_shipping_weight_unit_of_measure,item_display_length,item_display_width,item_display_height,display_dimensions_unit_of_measure,item_display_weight,item_display_weight_unit_of_measure,volume_capacity_name,volume_capacity_name_unit_of_measure,item_height,item_length,item_length_unit_of_measure,item_weight,item_weight_unit_of_measure,item_width,bullet_point1,bullet_point2,bullet_point3,bullet_point4,bullet_point5,target_audience_base,catalog_number,specific_uses_keywords1,specific_uses_keywords2,specific_uses_keywords3,specific_uses_keywords4,specific_uses_keywords5,target_audience_keywords1,target_audience_keywords2,target_audience_keywords3,thesaurus_subject_keywords1,thesaurus_subject_keywords2,thesaurus_subject_keywords3,generic_keywords,main_image_url,swatch_image_url,other_image_url1,other_image_url2,other_image_url3,fulfillment_center_id,package_height,package_width,package_length,package_dimensions_unit_of_measure,package_length_unit_of_measure,package_weight,package_weight_unit_of_measure,parent_child,parent_sku,relationship_type,variation_theme,prop_65,cpsia_cautionary_statement,cpsia_cautionary_description,country_string,country_of_origin,legal_disclaimer_description,safety_warning,energy_efficiency_image_url,lighting_facts_image_url,breed_recommendation,thesaurus_attribute_keywords,special_features,directions,ingredients,material_type,closure_type,compatible_devices,age_range_description,included_features,specific_uses_for_product,color_name,color_map,size_name,size_map,flavor_name,maximum_weight_recommendation,weight_recommendation_unit_of_measure,external_testing_certification,battery_type,number_of_batteries,lithium_battery_weight,wattage,pattern_name,warranty_description,fabric_type,import_designation,country_as_labeled,fur_description,paint_type,number_of_sets,occasion,thread_count,number_of_pieces,item_shape,scent_name,included_components,style_name,usda_hardiness_zone1,usda_hardiness_zone2,specification_met,mfg_minimum,mfg_maximum,material_composition,fill_material_type,light_source_type,blade_edge_type,blade_material_type,theme,power_source_type,voltage,engine_type,hose_length,hose_length_unit_of_measure
HAY_UHXPOSHZ14001,610377106160,UPC,INDOOR ADAPTER KIT - 400 POS-HOR H400FDP,INDOOR ADAPTER KIT - 400 POS-HOR H400FDP,OutdoorLiving,Hayward,Hayward,UHXPOSHZ14001,,Update,UHXPOSHZ14001,347.5,New,,0,,,,,,30,,,,,1,,,,False,,,,,,,,17.00,18.00,27.00,,14.59,,,,,,IN,,LB,,,,,,,,,Heater Venting,HEATERS,None,,,,,,,,,Heater Venting,https://s3-us-west-1.amazonaws.com/oppics/full/HAY/HAY_UHXPOSHZ14001.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAY_SP0582L75,610377044158,UPC,LIGHT 300W 120V 75' PLASTIC ASTROLITE,LIGHT 300W 120V 75' PLASTIC ASTROLITE,OutdoorLiving,Hayward,Hayward,SP0582L75,,Update,SP0582L75,275.5,New,,0,,,,,,30,,,,,1,,,,False,,,,,,,,11.30,9.80,11.30,,12.00,,,,,,IN,,LB,,,,,,,,,Pool | Spa Lights,POOL | SPA LIGHTING - AUTO CONTROLLERS,None,,,,,,,,,Pool | Spa Lights,https://s3-us-west-1.amazonaws.com/oppics/full/HAY/HAY_SP0582L75.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAY_SP14982S,610377050296,UPC,"UNION 2"" FEMALE SOCKET (PVC)","UNION 2"" FEMALE SOCKET (PVC)",OutdoorLiving,Hayward,Hayward,SP14982S,,Update,SP14982S,19.9,New,,0,,,,,,30,,,,,1,,,,False,,,,,,,,22.60,8.90,22.60,,0.84,,,,,,IN,,LB,,,,,,,,,Plumbing Valves | Unions,PLUMBING - ALL,None,,,,,,,,,Plumbing Valves | Unions,https://s3-us-west-1.amazonaws.com/oppics/full/HAY/HAY_SP14982S.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAY_SPX0507A1,610377034159,UPC,FRONT FRAME ABS NICHE SP0607,FRONT FRAME ABS NICHE SP0607,OutdoorLiving,Hayward,Hayward,SPX0507A1,,Update,SPX0507A1,21.58,New,,0,,,,,,30,,,,,1,,,,False,,,,,,,,14.50,4.00,14.50,,1.00,,,,,,IN,,LB,,,,,,,,,Parts - Lights | Auto Controllers,POOL | SPA LIGHTING - AUTO CONTROLLERS,None,,,,,,,,,Parts - Lights | Auto Controllers,https://s3-us-west-1.amazonaws.com/oppics/full/HAY/HAY_SPX0507A1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAY_SPX1500AAT,610377039185,UPC,PUMP HOUSING W/EXTERNAL THREAD,PUMP HOUSING W/EXTERNAL THREAD,OutdoorLiving,Hayward,Hayward,SPX1500AAT,,Update,SPX1500AAT,45.51,New,,0,,,,,,30,,,,,1,,,,False,,,,,,,,12.50,9.50,12.50,,1.13,,,,,,IN,,LB,,,,,,,,,Parts - Pumps,PUMPS,None,,,,,,,,,Parts - Pumps,https://s3-us-west-1.amazonaws.com/oppics/full/HAY/HAY_SPX1500AAT.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAY_SB1600FTE1-8,,UPC,"6"" PVC STRAINER FLANGED 1/8"" PERF","6"" PVC STRAINER FLANGED 1/8"" PERF",OutdoorLiving,Hayward,Hayward,SB1600FTE1-8,,Update,SB1600FTE1-8,4675.0,New,,0,,,,,,30,,,,,1,,,,False,,,,,,,,11.00,33.00,17.00,,122.00,,,,,,IN,,LB,,,,,,,,,Strainers - Commercial,PUMPS,None,,,,,,,,,Strainers - Commercial,https://s3-us-west-1.amazonaws.com/oppics/full/HAY/HAY_SB1600FTE1-8.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAY_SP0583L75,610377044318,UPC,LIGHT 500W 120V 75' PLASTIC ASTROLITE,LIGHT 500W 120V 75' PLASTIC ASTROLITE,OutdoorLiving,Hayward,Hayward,SP0583L75,,Update,SP0583L75,307.0,New,,0,,,,,,30,,,,,1,,,,False,,,,,,,,11.30,9.80,11.30,,12.00,,,,,,IN,,LB,,,,,,,,,Pool | Spa Lights,POOL | SPA LIGHTING - AUTO CONTROLLERS,None,,,,,,,,,Pool | Spa Lights,https://s3-us-west-1.amazonaws.com/oppics/full/HAY/HAY_SP0583L75.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAY_CX1250RE,610377247252,UPC,CARTRIDGE C1250 120 SQFT ASL SERIES,CARTRIDGE C1250 120 SQFT ASL SERIES,OutdoorLiving,Hayward,Hayward,CX1250RE,,Update,CX1250RE,118.14,New,,0,,,,,,30,,,,,1,,,,False,,,,,,,,10.00,19.60,10.00,,7.00,,,,,,IN,,LB,,,,,,,,,Replacement - Cartridges,FILTERS,None,,,,,,,,,Replacement - Cartridges,https://s3-us-west-1.amazonaws.com/oppics/full/HAY/HAY_CX1250RE.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAY_GLX-BASE-RF,761418003532,UPC,WIRELESS BASE,WIRELESS BASE,OutdoorLiving,Hayward,Hayward,GLX-BASE-RF,,Update,GLX-BASE-RF,242.5,New,,0,,,,,,30,,,,,1,,,,False,,,,,,,,20.00,11.00,24.00,,0.70,,,,,,IN,,LB,,,,,,,,,Controls,POOL | SPA LIGHTING - AUTO CONTROLLERS,None,,,,,,,,,Controls,https://s3-us-west-1.amazonaws.com/oppics/full/HAY/HAY_GLX-BASE-RF.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAY_BYV11030A0EG000,,UPC,"BUTTERFLY VALVE GEAR OPERATED 3"" NG","BUTTERFLY VALVE GEAR OPERATED 3"" NG",OutdoorLiving,Hayward,Hayward,BYV11030A0EG000,,Update,BYV11030A0EG000,782.46,New,,0,,,,,,30,,,,,1,,,,False,,,,,,,,14.50,13.00,6.00,,17.00,,,,,,IN,,LB,,,,,,,,,Plumbing Valves | Unions - Commercial,PLUMBING - ALL,None,,,,,,,,,Plumbing Valves | Unions - Commercial,https://s3-us-west-1.amazonaws.com/oppics/full/HAY/HAY_BYV11030A0EG000.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
