company,abbreviation,website,phone,class,,
A & A MANUFACTURING,AAM,www.aamfg.com,(800) 851-8492,M,,M = Manufacturer
AFRAS INDUSTRIES INC,AFR,www.afrasinc.com,(805) 230-0011,M,,D = Distributor
AIMS INSURANCE,AIM,www.aquaguardianinsurance.com,(602) 635-4848,I,,I = Insurance Broker
AIR SUPPLY OF THE FUTURE INC.,AIR,www.airsupplyflorida.com,(800) 848-3077,M,,F = Financial Company
ALADDIN EQUIPMENT CO INC.,ALA,www.aladdin1950.com,(941) 371-3732,M,,
ALLIED INNOVATIONS,ALL,www.alliedinnovations.com,(702) 361-0600,MD,,
AMERICAN GRANBY INC,AME,www.americangranby.com,(800) 278-4115,D,,
AMPLS,AMP,,(714) 630-1313,,,
AMS FINANCIAL,AMS,,(888) 503-0685,F,,
ANCHOR INDUSTRIES INC.,ANC,www.anchorinc.com,(812) 867-2421,M,,
APSP,APSP,,(703) 838-0083,M,,
AQQUATIX USA,AQQ,www.aqquatixusa.com,(954) 923-3900,M,,
AQUA COMFORT TECHNOLOGIES LLC,ACOM,www.aquaheaters.com,(203) 265-0100,M,,
AQUA CREEK PRODUCTS,ACRE,www.aquacreek.com,(888) 687-3552,M,,
AQUA PRODUCTS,APRO,www.aquaproducts.com,(973) 857-2700,M,,
AQUA SUN OZONE,ASUN,www.aquasunozone.com,(760) 320-8500,M,,
AQUABOND,ABON,www.aquabond.com,(714) 961-1420,M,,
AQUACAL/AUTOPILOT INC.,ACAL,www.aquacal.com,(727) 823-5642,M,,
AQUAMATIC COVER SYSTEMS,AMAT,www.aquamatic.com,(800) 262-4044,M,,
AQUASOL CONTROLERS INC.,ASOL,www.aquasol.com,(800) 444-0675,M,,
AQUASTAR POOL PRODUCTS INC.,ASTA,www.aquastarpoolproducts.com,(877) 768-2717,M,,
AQUATECTURE,ATEC,www.Aquatectureplans.com,(541) 621-9105,M,,
ARTAIC-INNOVATIVE MOSAIC,ART,www.artaic.com,(617) 418-1928,M,,
ARTISTIC PAVER MFG.,ARTI,www.artisticpavers.com,(305) 653-7283,M,,
ASSET- THE CIRCULATOR,ASS,www.swimnsaveworldwide.com,(561) 208-6535,M,,
ASTRAL PROD. INC. - A DIV. OF FLUIDRA,AST,www.astralpoolusa.com,(866) 457-6657,M,,
BACKYARD BRANDS,BAC,www.backyardbrands.com,(866) 875-0012,M,,
BALBOA WATER GROUP,BAL,http://www.balboawatergroup.com/,(800) 645-3201,M,,
BIO-DEX LABORATORIES,BIOD,www.bio-dex.com,(800) 617-3477,M,,
BIO-LAB,BIOL,www.valuethatfits.com,(800) 859-7946,M,,
BLUE-WHITE INDUSTRIES,BLU,www.blue-white.com,(714) 893-8529,M,,
BLUFFTON MOTOR WORKS LLC,BLUF,http://www.blmworks.com/pool-motors.html,(260) 827-2200,M,,
BOBE WATER & FIRE FEATURES,BOB,www.bobescuppers.com,(888) 388-2623,M,,
BOWSWIM,BOW,www.bowswim.com,(941) 468-8988,M,,
CALLAHAN ROACH,CAL,www.callahan-roach.com,(817) 459-4500,M,,
CARDINAL SYSTEMS INC,CAR,www.quakerplastic.com,(570) 385-4733,M,,
CASA NEWPORT LLC,CAS,,(760) 814-1126,M,,
CHAMPLAIN PLASTICS,CHA,www.champlainplastics.com,(518) 297-3700,M,,
CHEMICAL CONCEPTS INC.,CHE,www.chemical-concepts.com,(800) 220-1966,M,,
CLEARWATER TECH LLC,CLE,www.cwtozone.com,(805) 549-9724,M,,
CMI LLC,CMI,www.cmiwebsite.com,(919) 781-3411,M,,
"COLOR MATCH POOL FITTINGS, INC.",COL,www.poolfittings.com,(623) 337-4120,M,,
CONFER PLASTICS INC.,CON,www.conferplastics.com,(866) 396-2968,M,,
COVER VALET,COVV,www.covervalet.com,(800) 730-7727,M,,
COVER-POOLS/CARETAKER,COVP,www.coverpools.com,(800) 447-2838,M,,
COVERSTAR,COVS,www.coverstar.com,(800) 617-7283,M,,
CRYSTAL FOUNTAINS,CRY,www.crystalfountains.com,(800) 539-8858,M,,
CUSTOM MOLDED PRODUCTS INC.,CUS,www.c-m-p.com,(800) 733-9060,M,,
DAL-TILE,DAL,www.daltileproducts.com/exteriors,(602) 243-2772,M,,
DECK-O-SEAL,DEC,www.deckoseal.com,(847) 214-2100,M,,
DEL INDUSTRIES,DEL,www.delozone.com,(800) 676-1335,M,,
DELTA ULTRAVIOLET CORPORATION,DELT,www.deltauv.com,(310) 323-6400,M,,
DICALITE MINERALS CORP,DIC,www.dicalite.com,(530) 335-5451,M,,
DIMENSION ONE SPAS,DIM,,(760) 536-1305,M,,
EASYCARE PRODUCTS,EAS,www.mcgrayel.com,(559) 299-7660,M,,
ECO SMARTE PLANET FRIENDLY INC.,ECO,www.ecosmarteusa.com,(800) 466-7946,M,,
ECOONE (A DIV. OF PACIFIC SANDS INC.),ECOO,http://www.pacificsands.biz/,(262) 925-0124,M,,
EDEN EQUIPMENT,EDE,,(800) 842-5081,M,,
EES INC./ BUGBAND,EES,www.bugband.net,(678) 721-9989,M,,
EMBASSY POOL COMPANY (DIV OF HOFFINGER),EMB, www.doughboypools.com,(870) 572-3466,M,,
ENDLESS POOLS INC.,END,www.endlesspools.com,(888) 992-7946,M,,
ENVIRO-TECH SERVICES,ENV,www.EnviroTechSvcs.com,(888) 331-6180,M,,
ESSEX GROUP INC.,ESS,www.superioressex.com,(800) 774-4643,M,,
EVOSUS INC.,EVO,www.evosus.com,(866) 235-5103,M,,
FAMILY FUN CORP.,FAM,www.familyfunpools.com,(330) 875-1444,M,,
FATTOWELS INC.,FAT,www.fattowels.com,(888) 740-2963,M,,
FEHERGUARD PRODUCTS LTD.,FEH,www.feherguard.com,(905) 876-4766,M,,
FEIT ELECTRIC CO. INC.,FEIT,www.feit.com,(562) 463-2852,M,,
FIBER CLEAR INC.,FIB, www.fiberclearpoolandspafiltration.com,(800) 594-5120,M,,
FILBUR MANUFACTURING,FIL,www.filburmfg.com,(714) 228-6000,M,,
FLEXIBLE SOLUTIONS LTD.,FLE,www.flexiblesolutions.com,(250) 477-9969,M,,
"FRANKLIN ELECTRIC CO., INC.",FRA,www.lgpc.com,(844) 250-4981,M,,
FUJIWA GROUP USA INC.,FUJ,www.fujiwatile.com,(714) 738-6011,M,,
G&P TOOLS,GPT,www.gandptools.com,(573) 431-6998,M,,
GABCO PRODUCTS INC,GAB,www.wallwhale.com,(866) 888-8778,M,,
GAME,GAM,www.game-group.com,(800) 779-7223,M,,
