•ÈÀoperation,sku,upc,item_name,Error Codes,Error Descriptions,Warning Codes,Warning Descriptions,our_price,our_price_UOM,product_type,product_description,brand_name,Webstore Categories,platinum_keywords,RestockDate,are_batteries_included,batteries_required,battery_type_9v,battery_type_a,battery_type_aa,battery_type_aaa,battery_type_c,battery_type_cr123a,battery_type_cr2,battery_type_cr5,battery_type_d,battery_type_lithium_ion,battery_type_lithium_metal,battery_type_p76,battery_type_product_specific,bullet_point,can_be_giftmessaged,can_be_giftwrapped,color_map,color_name,country_of_origin,country_string,cpsia_cautionary_statement,custom_meta_description,custom_number_1,custom_number_2,custom_number_3,custom_number_4,custom_number_5,custom_page_title,custom_text_1,custom_text_10,custom_text_2,custom_text_3,custom_text_4,custom_text_5,custom_text_6,custom_text_7,custom_text_8,custom_text_9,discounted_price,discounted_price_UOM,discounted_price_end_date,discounted_price_start_date,ean,email_me_when_available,external_testing_certification,fulfilled_by_amazon,generic_keywords,hazmat_type,image_main,image_pt01,image_pt02,image_pt03,image_pt04,image_pt05,image_pt06,image_pt07,image_pt08,image_swch,is_discontinued_by_manufacturer,item_classification,item_display_depth,item_display_depth_UOM,item_display_diameter,item_display_diameter_UOM,item_display_height,item_display_height_UOM,item_display_length,item_display_length_UOM,item_display_weight,item_display_weight_UOM,item_display_width,item_display_width_UOM,item_height,item_height_UOM,item_length,item_length_UOM,item_package_quantity,item_type_keyword,item_weight,item_weight_UOM,item_width,item_width_UOM,list_price,list_price_UOM,lithium_battery_packaging,manufacturer,marketplace_search_indexability,marketplaces,material_type,matte_style,max_order_quantity,missing_keyset_reason,model,moisture_needs,number_of_lithium_ion_cells,number_of_lithium_metal_cells,number_of_pieces,occasion,offer_inventory_leadtime,offer_inventory_quantity,offering_condition,offering_condition_note,offering_end_date,offering_start_date,offering_subcondition,package_height,package_height_UOM,package_length,package_length_UOM,package_weight,package_weight_UOM,package_width,package_width_UOM,part_number,pattern_name,po_box_shipping_excluded,product_tax_code,release_date,size_name,specific_uses_keywords,specification_met,style_name,sunlight_exposure,sunset_climate_zone,suppressed_comparison_engine,target_audience_keywords,telling_page_indicator,thesaurus_attribute_keywords,thesaurus_subject_keywords,usda_hardiness_zone,variation_theme_id,volume_capacity_name,warranty_description,website_shipping_weight,website_shipping_weight_UOM
UPDATE,"""071321S""","""788379746735""",MTR PKG W/SWTCH SQFL 2HPF 2.5A 60HZ 2SP ALMD,8541,"Error Code: 8541, Marketplace: ; Description: SKU 071321S, ASIN B008GTWF2I, ('item_name' Merchant: 'MTR PKG W/SWTCH SQFL 2HPF 2.5A 60HZ 2SP ALMD' / Amazon: 'Pentair 071321S Almond Dual Speed Single Phase 2 HP Square Flange Motor with Switch Replacement Inground Pool and Spa Pump', 'part_number' Merchant: '071321S' / Amazon: ''). The product_id provided with 071321S corresponds to ASIN B008GTWF2I, but some of the information submitted contradicts information in the Amazon catalog. If your product is the same as this ASIN, please modify your product data to reflect the following Amazon catalog values and resubmit. If your product is different than the ASIN, please check that the product_id is correct. If it is correct, please contact Seller Support for proper resolution.Feed ID: 0 For details, see http://sellercentral.amazon.com/gp/errorcode/8541; ",,,448,USD,MISC_OTHER,MTR PKG W/SWTCH SQFL 2HPF 2.5A 60HZ 2SP ALMD,Pentair,Paragon Pool Supplies > Pentair > Pumps > Pump Units,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,base_product,,,,,,,,,,,,,11.5,IN,22.5,IN,,,36.5,LB,9.25,IN,,,,Pentair,,www.allpoolspa.com,,,,,,,,,,,10,2,New,,,2014-10-03T19:29:57Z,New,,,,,,,,,"""071321S""",,,,,,,,,,,,,,,,,,,,,
UPDATE,"""355002S""","""788379746858""",MTR PKG CNTRY .5HP 3PH ALMD,8541,"Error Code: 8541, Marketplace: ; Description: SKU 355002S, ASIN B008HZ6C2U, ('item_name' Merchant: 'MTR PKG CNTRY .5HP 3PH ALMD' / Amazon: 'Pentair 355002S Motor Package CNTRY. 5 HP 3PH ALMD', 'part_number' Merchant: '355002S' / Amazon: ''). The product_id provided with 355002S corresponds to ASIN B008HZ6C2U, but some of the information submitted contradicts information in the Amazon catalog. If your product is the same as this ASIN, please modify your product data to reflect the following Amazon catalog values and resubmit. If your product is different than the ASIN, please check that the product_id is correct. If it is correct, please contact Seller Support for proper resolution.Feed ID: 0 For details, see http://sellercentral.amazon.com/gp/errorcode/8541; ",,,235,USD,MISC_OTHER,MTR PKG CNTRY .5HP 3PH ALMD,Pentair,Paragon Pool Supplies > Pentair > Pumps > Pump Units,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,base_product,,,,,,,,,,,,,11.5,IN,22.5,IN,,,21,LB,9.25,IN,,,,Pentair,,www.allpoolspa.com,,,,,,,,,,,10,2,New,,,2014-10-03T19:31:17Z,New,,,,,,,,,"""355002S""",,,,,,,,,,,,,,,,,,,,,
UPDATE,"""071366S""","""788379804862""",MTR PKG 5HP 1PH 230V C PUMP,,,,,"2,219",USD,MISC_OTHER,MTR PKG 5HP 1PH 230V C PUMP,Pentair,Paragon Pool Supplies > Pentair > Pumps > Pump Units,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,base_product,,,,,,,,,,,,,22,IN,22,IN,,,100,LB,17,IN,,,,Pentair,,www.allpoolspa.com,,,,,,,,,,,10,2,New,,,2014-10-03T19:30:02Z,New,,,,,,,,,"""071366S""",,,,,,,,,,,,,,,,,,,,,
UPDATE,"""355001S""","""788379746841""",MTR PKG SQFL 3/4HPF 3PH 60HZ E 208 230V ALMD,8541,"Error Code: 8541, Marketplace: ; Description: SKU 355001S, ASIN B008HLLO3Q, ('item_name' Merchant: 'MTR PKG SQFL 3/4HPF 3PH 60HZ E 208 230V ALMD' / Amazon: 'Pentair 355001S 3-Phase Square Flange Motor, 3/4 HP, Almond, 208/230-Volt', 'part_number' Merchant: '355001S' / Amazon: ''). The product_id provided with 355001S corresponds to ASIN B008HLLO3Q, but some of the information submitted contradicts information in the Amazon catalog. If your product is the same as this ASIN, please modify your product data to reflect the following Amazon catalog values and resubmit. If your product is different than the ASIN, please check that the product_id is correct. If it is correct, please contact Seller Support for proper resolution.Feed ID: 0 For details, see http://sellercentral.amazon.com/gp/errorcode/8541; ",,,230,USD,MISC_OTHER,MTR PKG SQFL 3/4HPF 3PH 60HZ E 208 230V ALMD,Pentair,Paragon Pool Supplies > Pentair > Pumps > Pump Units,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,base_product,,,,,,,,,,,,,11.5,IN,22.5,IN,,,24.65,LB,9.25,IN,,,,Pentair,,www.allpoolspa.com,,,,,,,,,,,10,2,New,,,2014-10-03T19:31:17Z,New,,,,,,,,,"""355001S""",,,,,,,,,,,,,,,,,,,,,
UPDATE,"""350158S""","""788379804671""",MTR PKG EQ 5HP 3PH 60HZ 208 230 460V,8541,"Error Code: 8541, Marketplace: ; Description: SKU 350158S, ASIN B008HLLFEY, ('item_name' Merchant: 'MTR PKG EQ 5HP 3PH 60HZ 208 230 460V' / Amazon: 'Pentair 350158S 5 HP Motor Replacement EQ-Series EQK500 Commercial Plastic Pool and Spa Pump', 'part_number' Merchant: '350158S' / Amazon: ''). The product_id provided with 350158S corresponds to ASIN B008HLLFEY, but some of the information submitted contradicts information in the Amazon catalog. If your product is the same as this ASIN, please modify your product data to reflect the following Amazon catalog values and resubmit. If your product is different than the ASIN, please check that the product_id is correct. If it is correct, please contact Seller Support for proper resolution.Feed ID: 0 For details, see http://sellercentral.amazon.com/gp/errorcode/8541; ",,,"1,098",USD,MISC_OTHER,MTR PKG EQ 5HP 3PH 60HZ 208 230 460V,Pentair,Paragon Pool Supplies > Pentair > Pumps > Pump Units,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,base_product,,,,,,,,,,,,,,,,,,,70,LB,,,,,,Pentair,,www.allpoolspa.com,,,,,,,,,,,10,2,New,,,2014-10-03T19:31:13Z,New,,,,,,,,,"""350158S""",,,,,,,,,,,,,,,,,,,,,
UPDATE,"""350734Z""","""788379864736""",MTR PKG EQ 15HP TEFC 3PH 60HZ 230/460V,,,,,"1,550",USD,MISC_OTHER,MTR PKG EQ 15HP TEFC 3PH 60HZ 230/460V,Pentair,Paragon Pool Supplies > Pentair > Pumps > Pump Units,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,base_product,,,,,,,,,,,,,10,IN,18,IN,,,127,LB,7,IN,,,,Pentair,,"www.amazon.com,www.allpoolspa.com",,,,,,,,,,,10,2,New,,,2014-10-03T19:31:12Z,New,,,,,,,,,"""350734Z""",,,,,,,,,,,,,,,,,,,,,
UPDATE,"""071361S""","""788379804930""",MTR PKG 15HP 3PH 208-220/440V C PUMP,8541,"Error Code: 8541, Marketplace: ; Description: SKU 071361S, ASIN B008HLH1B0, ('item_name' Merchant: 'MTR PKG 15HP 3PH 208-220/440V C PUMP' / Amazon: 'Pentair 071361S 3-Phase 15 HP Motor Replacement C-Series Commercial High Performance Pool and Spa Pump (Discontinued by Manufacturer)', 'part_number' Merchant: '071361S' / Amazon: ''). The product_id provided with 071361S corresponds to ASIN B008HLH1B0, but some of the information submitted contradicts information in the Amazon catalog. If your product is the same as this ASIN, please modify your product data to reflect the following Amazon catalog values and resubmit. If your product is different than the ASIN, please check that the product_id is correct. If it is correct, please contact Seller Support for proper resolution.Feed ID: 0 For details, see http://sellercentral.amazon.com/gp/errorcode/8541; ",,,"3,284",USD,MISC_OTHER,MTR PKG 15HP 3PH 208-220/440V C PUMP,Pentair,Paragon Pool Supplies > Pentair > Pumps > Pump Units,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,base_product,,,,,,,,,,,,,15,IN,17,IN,,,148,LB,22,IN,,,,Pentair,,www.allpoolspa.com,,,,,,,,,,,10,2,New,,,2014-10-03T19:29:55Z,New,,,,,,,,,"""071361S""",,,,,,,,,,,,,,,,,,,,,
UPDATE,"""072739S""","""788379804992""",MTR PKG 7.5HP 3PH 380/415V 50Hz C PUMP,8541,"Error Code: 8541, Marketplace: ; Description: SKU 072739S, ASIN B008HLH4NA, ('item_name' Merchant: 'MTR PKG 7.5HP 3PH 380/415V 50Hz C PUMP' / Amazon: 'Pentair 072739S 3-Phase 7-1/2 HP Motor Replacement C-Series Commercial High Performance Pool and Spa Pump', 'part_number' Merchant: '072739S' / Amazon: ''). The product_id provided with 072739S corresponds to ASIN B008HLH4NA, but some of the information submitted contradicts information in the Amazon catalog. If your product is the same as this ASIN, please modify your product data to reflect the following Amazon catalog values and resubmit. If your product is different than the ASIN, please check that the product_id is correct. If it is correct, please contact Seller Support for proper resolution.Feed ID: 0 For details, see http://sellercentral.amazon.com/gp/errorcode/8541; ",,,"1,952",USD,MISC_OTHER,MTR PKG 7.5HP 3PH 380/415V 50Hz C PUMP,Pentair,Paragon Pool Supplies > Pentair > Pumps > Pump Units,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,base_product,,,,,,,,,,,,,,,,,,,100,LB,,,,,,Pentair,,www.allpoolspa.com,,,,,,,,,,,10,2,New,,,2014-10-03T19:29:55Z,New,,,,,,,,,"""072739S""",,,,,,,,,,,,,,,,,,,,,
UPDATE,"""350088S""","""788379746803""",MTR PKG W/SWTCH SQFL 3/4HPF 1A 60HZ 2SP ALMD,8541,"Error Code: 8541, Marketplace: ; Description: SKU 350088S, ASIN B008HZ6B9E, ('item_name' Merchant: 'MTR PKG W/SWTCH SQFL 3/4HPF 1A 60HZ 2SP ALMD' / Amazon: 'Pentair 350088S with SWTCH SQFL 3/4 HPF 1A 60-Hertz 2SP ALMD Motor Package', 'part_number' Merchant: '350088S' / Amazon: ''). The product_id provided with 350088S corresponds to ASIN B008HZ6B9E, but some of the information submitted contradicts information in the Amazon catalog. If your product is the same as this ASIN, please modify your product data to reflect the following Amazon catalog values and resubmit. If your product is different than the ASIN, please check that the product_id is correct. If it is correct, please contact Seller Support for proper resolution.Feed ID: 0 For details, see http://sellercentral.amazon.com/gp/errorcode/8541; ",,,286,USD,MISC_OTHER,MTR PKG W/SWTCH SQFL 3/4HPF 1A 60HZ 2SP ALMD,Pentair,Paragon Pool Supplies > Pentair > Pumps > Pump Units,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,base_product,,,,,,,,,,,,,11.5,IN,22.5,IN,,,22,LB,9.25,IN,,,,Pentair,,www.allpoolspa.com,,,,,,,,,,,10,2,New,,,2014-10-03T19:31:14Z,New,,,,,,,,,"""350088S""",,,,,,,,,,,,,,,,,,,,,
UPDATE,"""072737S""","""788379804985""",MTR PKG 5HP 3PH 380/415V 50Hz C PUMP,8541,"Error Code: 8541, Marketplace: ; Description: SKU 072737S, ASIN B008HLH4B2, ('item_name' Merchant: 'MTR PKG 5HP 3PH 380/415V 50Hz C PUMP' / Amazon: 'Pentair 072737S 3-Phase 5 HP Motor Replacement C-Series Commercial High Performance Pool and Spa Pump (Discontinued by Manufacturer)', 'part_number' Merchant: '072737S' / Amazon: ''). The product_id provided with 072737S corresponds to ASIN B008HLH4B2, but some of the information submitted contradicts information in the Amazon catalog. If your product is the same as this ASIN, please modify your product data to reflect the following Amazon catalog values and resubmit. If your product is different than the ASIN, please check that the product_id is correct. If it is correct, please contact Seller Support for proper resolution.Feed ID: 0 For details, see http://sellercentral.amazon.com/gp/errorcode/8541; ",,,"1,784",USD,MISC_OTHER,MTR PKG 5HP 3PH 380/415V 50Hz C PUMP,Pentair,Paragon Pool Supplies > Pentair > Pumps > Pump Units,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,base_product,,,,,,,,,,,,,,,,,,,,,,,,,,Pentair,,www.allpoolspa.com,,,,,,,,,,,10,2,New,,,2014-10-03T19:29:54Z,New,,,,,,,,,"""072737S""",,,,,,,,,,,,,,,,,,,,,
