part_number,title,oem,catalog_reference_number,list_price,net_price,case_quantity,manufacturer
21003-000-000,90 Deg Sweep Union (2in Slip; T-Gasket),,135,$16.23 ,$5.84 ,60,Custom Molded Products
21003-100-000,90 Deg Sweep Union (2in Spg; T-Gasket),,135,$16.23 ,$5.84 ,50,Custom Molded Products
21004-000-000,2in 3-Way Wye (2in Slip x 2in Slip x 2in Slip),,137,$8.87 ,$3.19 ,50,Custom Molded Products
21004-150-000,3-Way Wye (2in Slip x 1.5in Slip x 1.5in Slip),,137,$8.87 ,$3.19 ,50,Custom Molded Products
21005-000-000,2in Sweep 90 Deg Ell (2in Slip x 2in Slip), ,137,$4.51 ,$1.62 ,50,Custom Molded Products
21006-000-000,2in Sweep 90 Deg Ell (2in Slip x 2in Spg),,137,$4.51 ,$1.62 ,50,Custom Molded Products
21007-000-000,2in Narrow Wye (2in Slip x 2in Slip x 2in Slip),,137,$8.46 ,$3.05 ,50,Custom Molded Products
21010-000-000,1.5in 45 Deg Street Ell (1.5in Slip x 1.5in Spg),,137,$3.53 ,$1.27 ,200,Custom Molded Products
21010-200-000,2in 45 Deg Street Ell (2in Slip x 2in Spigot),,137,$5.16 ,$1.86 ,100,Custom Molded Products
21013-000-000,90 Deg Street Ell (1.5in Slip x 1.5in Spg),,137,$3.17 ,$1.14 ,150,Custom Molded Products
21013-200-000,2in 90 Deg Street Ell (2in Slip x 2in Spigot),,137,$5.01 ,$1.80 ,100,Custom Molded Products
21021-000-000,1.5in Union (Nut; Sleeve; T-Gasket),"400-4060, 11-3480","66, 136",$3.53 ,$1.27 ,180,Custom Molded Products
21023-000-000,2in Union (Nut; Sleeve; T-Gasket),400-5570,"66, 136",$6.34 ,$2.28 ,108,Custom Molded Products
21044-000-000,Perforated Vent Plug (1-1/2inSpg/2inSpg),,137,$4.27 ,$1.54 ,30,Custom Molded Products
21046-000-000,1-1/2in Union Tailpiece (1.5in Thread x 1.5in Slip),,,$3.87 ,$1.39 ,200,Custom Molded Products
21047-000-000,1-1/2 in Inline Union (1.5in Slip/2in Spg x 1.5in Slip/2in Spg) with T-Gasket seal,150-100,,$7.27 ,$2.62 ,100,Custom Molded Products
21048-000-000,2 in Inline Union (2in Slip x 2 in Slip),,,$7.68 ,$2.76 ,100,Custom Molded Products
21048-000-030,2in Union Tail (2in Thread x 2in Slip),,,$4.16 ,$1.50 ,100,Custom Molded Products
21049-150-000,1-1/2in Self Aligning Inline Union (1.5in Slip x 1.5in Slip),"150-201, 400-5090, 11-3460",135,$7.84 ,$2.82 ,100,Custom Molded Products
21049-200-000,2in Self Aligning Inline Union (2in Slip x 2in Slip),200-100,135,$9.28 ,$3.34 ,100,Custom Molded Products
21053-150-000,1.5 in Flush Union (1.5in Slip/2in Spg x 1.5 in Slip/2in Spg ; PVC),SP14952S,136,$9.65 ,$3.47 ,50,Custom Molded Products
21053-200-000,2in Flush Union (2in Slip x 2in Slip; PVC),SP14982S,136,$12.35 ,$4.45 ,50,Custom Molded Products
21054-150-000,1.5in Flush Union (1.5in MPT x 1.5in MPT; PVC),SP1480,136,$11.38 ,$4.10 ,50,Custom Molded Products
