part_number,title,base_price,cat_low_net_price,upc,uom,manufacturer,category
SB1800FTE1-8,"8"" SIMPLEX,PVC,EPDM,FLG,1/8 PERF","$3,890.35 ",,6.10E+11,1,Hayward,wholegood
SB1800FTE,"BS SIMPLEX, 8"" FLG 3 PORT,PVC EPDM","$3,705.10 ",,6.10E+11,1,Hayward,wholegood
HCSC60,SALINE C6.0 CHLORINE GENERATOR,"$3,656.51 ",,6.10E+11,1,Hayward,wholegood
HCP125,"PUMP-COMMERCIAL, 12.5 HP","$3,535.46 ",,6.10E+11,1,Hayward,wholegood
HCP100,"PUMP-COMMERCIAL,10HP 230/460V","$3,371.42 ",,6.10E+11,1,Hayward,wholegood
HP31204T,HEATPRO 120K HEAT/COOL AHRI,"$3,157.89 ",,6.10E+11,1,Hayward,wholegood
HCP75,"PUMP-COMMERCIAL,7.5HP 230/460V","$3,055.16 ",,6.10E+11,1,Hayward,wholegood
SB1600FTE1-8,"6"" SIMPLEX,PVC,EPDM,FLG,1/8 PERF","$2,952.90 ",,6.10E+11,1,Hayward,wholegood
HCP55,"PUMP-COMMERCIAL,5.5HP 230/460V","$2,868.35 ",,6.10E+11,1,Hayward,wholegood
SB1600FTE,"BS SIMPLEX, 6"" FLG 3 PORT,PVC,EPDM","$2,812.29 ",,6.10E+11,1,Hayward,wholegood
HP21404T,HEATPRO 140K AHRI,"$2,782.55 ",,6.10E+11,1,Hayward,wholegood
HP21104TC,HEATPRO 110K AHRI,"$2,552.63 ",,6.10E+11,1,Hayward,wholegood
HP21254T,HEATPRO 125K AHRI,"$2,548.48 ",,6.10E+11,1,Hayward,wholegood
HP21104T,HEATPRO 110K AHRI,"$2,441.83 ",,6.10E+11,1,Hayward,wholegood
HP21124T,HEATPRO 110K AHRI,"$2,326.87 ",,6.10E+11,1,Hayward,wholegood
EM8TN16FE,"6"" PVC/EPDM TN W/ EPM8","$2,289.09 ",,6.10E+11,1,Hayward,wholegood
SW1800V,"8""PVC SWING CHK VLV VITON SEALS","$2,234.16 ",,6.10E+11,1,Hayward,wholegood
H400FDPASME,HEATER-UNIVERSAL 400 LP LONX ASME,"$2,192.63 ",,6.10E+11,1,Hayward,wholegood
H400FDNASME,HEATER-UNIVERSAL 400 NA LONX ASME,"$2,192.63 ",,6.10E+11,1,Hayward,wholegood
SW1800EC,"8"" PVC SWING CHK,EPDM,W/C-WGT","$2,178.59 ",,6.10E+11,1,Hayward,wholegood
HP21004T,HEATPRO 95K AHRI,"$2,160.67 ",,6.10E+11,1,Hayward,wholegood
WC11200VS,"12"" PVC WAFER CHECK VALVE FPM SSTL SPRING","$2,036.42 ",,6.10E+11,1,Hayward,
PL-PS-16,"CONTROL-2 ENCLOSURES, SUBPANELS","$1,937.07 ",,7.61E+11,1,Hayward,wholegood
H250FDPASME,HEATER-UNIVERSAL 250 LP LONX ASME,"$1,827.19 ",,6.10E+11,1,Hayward,wholegood
H250FDNASME,HEATER-UNIVERSAL 250 NA LONX ASME,"$1,827.19 ",,6.10E+11,1,Hayward,wholegood
H400FDP,HEATER-UNIVERSAL 400 LP LONX,"$1,804.81 ",,6.10E+11,1,Hayward,wholegood
H400FDN,HEATER-UNIVERSAL 400 NA LONX,"$1,804.81 ",,6.10E+11,1,Hayward,wholegood
EM8TN14SE,"4"" PVC/EPDM TN W/ EPM8","$1,788.45 ",,6.10E+11,1,Hayward,
EM8TN14TE,"4"" PVC/EPDM TN W/ EPM8","$1,788.45 ",,6.10E+11,1,Hayward,
WC11200ES,"12"" WAFER CHECK VALVE EPDM SSTL SPRING","$1,775.80 ",,6.10E+11,1,Hayward,
RC9965GRCC,TIGERSHARK2 PLUS 110/60 W/CADDY - GRAY,"$1,769.72 ",,6.10E+11,1,Hayward,wholegood
TW1600FE,"6"" 3WAY VLV TU FLG PVC EPDM","$1,749.72 ",,6.10E+11,1,Hayward,wholegood
SW1800E,"8"" PVC SWING CHK VLV EPDM SEALS","$1,632.96 ",,6.10E+11,1,Hayward,wholegood
H350FDP,HEATER-UNIVERSAL 350 LP LONX,"$1,606.35 ",,6.10E+11,1,Hayward,wholegood
H350FDN,HEATER-UNIVERSAL 350 NA LONX,"$1,606.35 ",,6.10E+11,1,Hayward,wholegood
SB1400FE71-8,"SIMPLEX BS,4"" FLG, PVC W/1/8SSTL BASKET","$1,557.87 ",,6.10E+11,1,Hayward,wholegood
WC11000VS,"10"" WAFER CHECK VALVE FPM SSTL SPRING","$1,556.13 ",,6.10E+11,1,Hayward,
H300FDP,HEATER-UNIVERSAL 300 LP LONX,"$1,550.24 ",,6.10E+11,1,Hayward,wholegood
H300FDN,HEATER-UNIVERSAL 300 NA LONX,"$1,550.24 ",,6.10E+11,1,Hayward,wholegood
SW1400V,"4"" PVC SWING CHK FPM","$1,543.79 ",,6.10E+11,1,Hayward,
PL-PLUS-16V,"CONTROL PS-16-V W/40,000 CELL","$1,540.64 ",,6.10E+11,1,Hayward,wholegood
RC3432AUY,AV500C ROBOTIC CLNR COMMERCIAL,"$1,523.55 ",,6.10E+11,1,Hayward,wholegood
DAB1060FEK,"6"" PVC MAN DIAPH VLV FLG EPDM","$1,517.99 ",,6.10E+11,1,Hayward,wholegood
HP50TA,HAYWARD 50K AHRI,"$1,511.77 ",,6.10E+11,1,Hayward,wholegood
BYV11120A0EG000,"12"" BYV BFLY VLV PVC/PVC/EPDM/ GEAR","$1,502.15 ",,6.10E+11,1,Hayward,
RC9956GRCC,TIGERSHARK2 110/60 W/CADDY - GRAY,"$1,459.25 ",,6.10E+11,1,Hayward,wholegood
H250FDP,HEATER-UNIVERSAL 250 LP LONX,"$1,401.20 ",,6.10E+11,1,Hayward,wholegood
H250FDN,HEATER-UNIVERSAL 250 NA LONX,"$1,401.20 ",,6.10E+11,1,Hayward,wholegood
WC11000ES,"10"" WAFER CHECK VALVE EPDM SSTL SPRING","$1,385.93 ",,6.10E+11,1,Hayward,
SW1600EC,"6"" PVC SWING CHK,EPDM,W/C-WGT","$1,375.00 ",,6.10E+11,1,Hayward,
H210P1,HEATER-MV 210 LP 82%,"$1,369.25 ",,6.10E+11,1,Hayward,wholegood
H2101,HEATER-MV 210 NA 82%,"$1,369.25 ",,6.10E+11,1,Hayward,wholegood
HCF363F,"FILTER-COMMERCIAL,36 IN,3IN FL","$1,336.79 ",,6.10E+11,1,Hayward,wholegood
AQR15-PRO-SD,AQUARITE PRO 40K GAL CELL S&D,"$1,327.30 ",,6.10E+11,1,Hayward,wholegood
EM3TB16FE,"6"" PVC/EPDM TB FLG'D EPM3-120 ACT","$1,323.18 ",,6.10E+11,1,Hayward,
SB1400FE,"SIMPLEX BS,4"" FLG, PVC,EPDM","$1,315.32 ",,6.10E+11,1,Hayward,wholegood
HCF343F,"FILTER-COMMERCIAL,34 IN,3IN FL","$1,308.87 ",,6.10E+11,1,Hayward,wholegood
HCF363T,"FILTER-COMMERCIAL,36 IN,3IN BH","$1,294.90 ",,6.10E+11,1,Hayward,wholegood
HLBASE,"HAYWARD LOGIC,4 RELAY BASE","$1,268.62 ",,6.10E+11,1,Hayward,wholegood
H200FDP,HEATER-UNIVERSAL 200 LP LONX,"$1,267.30 ",,6.10E+11,1,Hayward,wholegood
H200FDN,HEATER-UNIVERSAL 200 NA LONX,"$1,267.30 ",,6.10E+11,1,Hayward,wholegood
HCF343T,"FILTER-COMMERCIAL,34 IN,3IN BH","$1,266.98 ",,6.10E+11,1,Hayward,wholegood
HP50HA,HEAT PUMP 50K BTU,"$1,249.41 ",,6.10E+11,1,Hayward,wholegood
PL-PS-16-V,"CONTROL-8 RELAYS,8 SOFTKEYS,ENCLOSURE,SUBPANEL","$1,230.71 ",,7.61E+11,1,Hayward,wholegood
AQR9-PRO-SD,AQUARITE PRO 25K GAL CELL S&D,"$1,201.97 ",,6.10E+11,1,Hayward,wholegood
SP3250EE,5 HP TRISTAR FULL RATE,"$1,200.78 ",,6.10E+11,1,Hayward,wholegood
HCC2000-CP,HCC 2000 CNTRLR PKG W/PREMOUNTED CHEM PUMPS USA,"$1,188.58 ",,6.10E+11,1,Hayward,wholegood
SB1300FE1-8,"SIMPLEX BS,3"" FLG, PVC,EPDM W/1/8 PERF BSK","$1,184.16 ",,6.10E+11,1,Hayward,wholegood
WC1800ES *,"8"" SPRING ASSISTED WAFER CHECK EPDM,PVC,316 SSTL","$1,158.78 ",,6.10E+11,1,Hayward,
HCF362T,"FILTER-COMMERCIAL,36 IN,2IN BH","$1,157.62 ",,6.10E+11,1,Hayward,wholegood
SW1600E,"6"" PVC SWING CHK VLV EPDM SEALS","$1,144.65 ",,6.10E+11,1,Hayward,
HCF342T,"FILTER-COMMERCIAL,34 IN,2IN BH","$1,135.51 ",,6.10E+11,1,Hayward,wholegood
SB1300FE,"SIMPLEX BS,3"" FLG, PVC,EPDM","$1,113.86 ",,6.10E+11,1,Hayward,wholegood
HCP3400VSPVR,"PUMP-ECOSTAR C VAR SPD, SVRS","$1,113.39 ",,6.10E+11,1,Hayward,wholegood
WCV2800VS,"8"" CPVC WAFER FULL PATTERN CHK VLV FPM SS SPRING","$1,111.74 ",,6.10E+11,1,Hayward,
YS20400F,"4"" CPVC Y-STRAINER, FLG'D.","$1,110.07 ",,6.10E+11,1,Hayward,
H150FDP,HEATER-UNIVERSAL 150 LP LONX,"$1,094.40 ",,6.10E+11,1,Hayward,wholegood
H150FDN,HEATER-UNIVERSAL 150 NA LONX,"$1,094.40 ",,6.10E+11,1,Hayward,wholegood
SB1300S1/8,"SIMPLEX BS,3"" SOC,PVC, 1/8""PERF","$1,091.30 ",,6.10E+11,1,Hayward,wholegood
SP3400VSPVR,"PUMP-ECOSTAR VAR SPD, SVRS","$1,075.11 ",,6.10E+11,1,Hayward,wholegood
PL-PS-8,"CONTROL-1 ENCLOSURE, SUBPANEL","$1,067.23 ",,7.61E+11,1,Hayward,wholegood
SW1600V,"6""PVC SWING CHK VLV VITON SEALS","$1,052.68 ",,6.10E+11,1,Hayward,
SB1300SE1-8,"3"" SIMPLEX,PVC,EPDM,SOC,1/8 PERF","$1,041.89 ",,6.10E+11,1,Hayward,
SB1300TE1-8,"3"" SIMPLEX,PVC,EPDM,THD,1/8 PERF","$1,041.89 ",,6.10E+11,1,Hayward,
SB1400SE1-8,"4"" SIMPLEX,PVC,EPDM,SOC,1/8 PERF","$1,041.89 ",,6.10E+11,1,Hayward,
SB1400TE1-8,"4"" SIMPLEX,PVC,EPDM,THD,1/8 PERF","$1,041.89 ",,6.10E+11,1,Hayward,
SB1400T1/8,"SIMPLEX BS,4"" THD,PVC, 1/8""PERF","$1,041.89 ",,6.10E+11,1,Hayward,
WCV2800ES,"8"" CPVC WAFER FULL PATTERN CHK VLV EPDM SS SPRNG","$1,041.42 ",,6.10E+11,1,Hayward,
SB1250SE,"SIMPLEX BS,2 1/2"" SOC,PVC,EPDM","$1,036.84 ",,6.10E+11,1,Hayward,
SW1400EC,"4"" PVC SWING CHK EPDM W/CWGT","$1,032.18 ",,6.10E+11,1,Hayward,
PL-PLUS,"CONTROL-P-4 ENCLOSURE, SUBPANEL & CHLORINATOR","$1,030.31 ",,7.61E+11,1,Hayward,wholegood
SB1250SE1-8,"2-1/2""SIMPLEX,PVC,EPDM,SOC,1/8 PERF","$1,028.99 ",,6.10E+11,1,Hayward,
SB1250TE1-8,"2-1/2""SIMPLEX,PVC,EPDM,THD,1/8 PERF","$1,028.99 ",,6.10E+11,1,Hayward,
SB1300SE,"SIMPLEX BS,3"" SOC, PVC,EPDM","$1,028.99 ",,6.10E+11,1,Hayward,wholegood
PL-PLUS-20G,"CONTROL-P-4 ENCLOSURE, SUBPANEL & 20K GAL CHOLRI",$996.43 ,,7.61E+11,1,Hayward,wholegood
HCC2000,HCC 2000 CONTROLLER PACKAGE,$985.65 ,,6.10E+11,1,Hayward,wholegood
HCC2000-AU,"HCC2000,CONTOLLER WITH GOLD ORP SENSOR",$985.65 ,,6.10E+11,1,Hayward,wholegood
SB1250TE,"SIMPLEX BS,2 1/2"" THD,PVC,EPDM",$979.99 ,,6.10E+11,1,Hayward,
SB1300TE,"SIMPLEX BS,3"" THD, PVC,EPDM",$979.99 ,,6.10E+11,1,Hayward,
SB1400SE,"SIMPLEX BS,4"" SOC, PVC,EPDM",$979.99 ,,6.10E+11,1,Hayward,
SB1400TE,"SIMPLEX BS,4"" THD, PVC,EPDM",$979.99 ,,6.10E+11,1,Hayward,
PL-PS-8-V,"CONTROL-4 RELAYS,4 SOFTKEYS,ENCLOSURE,SUBPANEL",$968.53 ,,7.61E+11,1,Hayward,wholegood
BYV11100A0EG000,"10"" BYV BFLY VLV PVC/PVC/EPDM/GEAR",$965.15 ,,6.10E+11,1,Hayward,
SW4400E,"4"" PPL SWING CHK VLV EPDM SEALS",$962.77 ,,6.10E+11,1,Hayward,
HCP3400VSP,PUMP-ECOSTAR C VARIABLE SPEED,$955.70 ,,6.10E+11,1,Hayward,wholegood
AQR15-PRO,AQUARITE PRO 40K GAL CELL,$948.52 ,,6.10E+11,1,Hayward,wholegood
RC9955GR,TIGERSHARK PLUS-55FT GRAY 115V,$947.92 ,,6.10E+11,1,Hayward,wholegood
RC3431CUY,AQUAVAC 500 ROBOTIC CLEANER,$940.72 ,,6.10E+11,1,Hayward,wholegood
EM3TN125SE,"2-1/2"" PVC/EPDM TN W/ EPM3",$938.14 ,,6.10E+11,1,Hayward,
EM3TN125TE,"2-1/2"" PVC/EPDM TN W/ EPM3",$938.14 ,,6.10E+11,1,Hayward,
EM3TN13SE,"3"" PVC/EPDM TN W/ EPM3",$938.14 ,,6.10E+11,1,Hayward,
EM3TN13TE,"3"" PVC/EPDM TN W/ EPM3",$938.14 ,,6.10E+11,1,Hayward,
AQR15-LL,"AQUA RITE W,40K LONG LIFE CELL",$922.49 ,,6.10E+11,1,Hayward,wholegood
SP3400VSP,PUMP-ECOSTAR VARIABLE SPEED,$918.24 ,,6.10E+11,1,Hayward,wholegood
HCC1000-CO2,"HCC 1000 CO2,CONTROLLER PKG",$898.68 ,,6.10E+11,1,Hayward,wholegood
HCC1000-PH-CP,"HCC 1000,PH,COMPLETE PACK",$898.68 ,,6.10E+11,1,Hayward,wholegood
AQR15,AQUARITE 40K GAL CELL,$888.84 ,,6.10E+11,1,Hayward,wholegood
AQR15-120,AQUARITE 40K GAL CELL 120V,$888.84 ,,6.10E+11,1,Hayward,wholegood
HCF302T,"FILTER-COMMERCIAL,30 IN,2IN BH",$883.05 ,,6.10E+11,1,Hayward,wholegood
EM3TB14SE,"4"" PVC/EPDM TB SOC EPM3-120 ACT",$869.36 ,,6.10E+11,1,Hayward,
HCF7030C,700 SF HCF CARTRIDGE FILTER,$865.92 ,,6.10E+11,1,Hayward,wholegood
C7030,700 SF SWIM CLEAR TOP MANIFOLD,$856.59 ,,6.10E+11,1,Hayward,wholegood
