type,category,part_number,title,price,upc,weight,length,width,height,location,manufacturer
wholegood,White Goods,08417-0000,INLT FLOOR 292 WHT ,12.6,7.88E+11,0.55,4,4,3,R,Pentair
wholegood,White Goods,08417-0100,#292 GRY FLOOR INLT ,15.9,7.88E+11,0.75,6,6,4,R,Pentair
wholegood,White Goods,08417-0200,#292 FLOOR INLT BLK ,13,7.88E+11,0.575,0.5,0.4,0.25,R,Pentair
wholegood,White Goods,08428-0000,"INLT EYEBALL 1.25"" WHT ",13,7.88E+11,0.01,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,08428-0001,KIT INLT EYEBALL WHT ,14.82,7.88E+11,0.5,2,2,2,R,Pentair
wholegood,White Goods,08428-0100,"INLET EYEBALL 1.25"" GRY ",13,7.88E+11,0.01,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,08429-0000,"INLET EYEBALL 1.5"" WHT ",14.68,7.88E+11,0.657,0.47,0.35,0.22,R,Pentair
wholegood,White Goods,08429-0100,"INLET EYEBALL 1.5"" GRY ",14.37,7.88E+11,0.6,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,08434-0000,FTG ASY 150 INLET WHT ,3.8,7.88E+11,0.16,8.5,6,2,R,Pentair
wholegood,White Goods,08434-0100,INSERT ASY INLET FTG GRY ,4.14,7.88E+11,0.1,4,5,2,R,Pentair
wholegood,White Goods,08650-1403,"U-3 SKMR ASY WHT LID 2""NPT W/1.5""NPT RDCR",56.11,22315127104,8,15.5,10.5,20,R,Pentair
wholegood,White Goods,08650-1404,"U-3 SKMR ASY WHT LID 2""SLP W/1.5""SLP RDCR",56.11,22315127128,8,15.5,10.5,20,R,Pentair
wholegood,White Goods,08650-2403,"U-3 SKMR ASY TAN LID 2""NPT W/1.5""NPT RDCR",56.11,22315127142,8,15.5,10.5,19.75,R,Pentair
wholegood,White Goods,08650-2404,"'-3 SKMR ASY TAN LID 2""SLP W/1.5""SLP RDCR",56.11,22315127166,9,15.5,10.5,10.5,R,Pentair
wholegood,White Goods,08650-3403,U-3 SKMR GRY NPT NSF ASY ,71.91,22315217829,8.06,10.5,15.25,19.75,R,Pentair
