part_number,upc,title,quantity,dimensions,weight,manufacturer,uom,category
4CH-15,6.78E+11,15 SQ. FT. WATERWAY REPL.,4,,,unicel,,cartridge Filters
4CH-19,6.78E+11,"13 SQ.FT.,4-5/8"",W 1-1/2"" MPT",4,"10-1/2"" X 10-1/2"" X 10-3/4""",4.12,unicel,,cartridge Filters
4CH-20,6.78E+11,"20 SQ.FT.,6-3/4"", W/ 1-1/2""MPT",4,"10-1/2"" X 10-1/2"" X 10-3/4""",4.65,unicel,,cartridge Filters
4CH-21,6.78E+11,"19 SQ.FT.,8"", W/ 1-1/2"" MPT",4,"10-1/2"" X 10-1/2"" X 10-3/4""",4.88,unicel,,cartridge Filters
4CH-22,6.78E+11,25 SQ.FT. FREEFLOW SPAS,4,"10-1/2"" X 10-1/2"" X 10-3/4""",4.63,unicel,,cartridge Filters
4CH-23,6.78E+11,25 SQ.FT. FREEFLOW SPAS,4,"10-1/2"" X 10-1/2"" X 10-3/4""",4.7,unicel,,cartridge Filters
4CH-24,6.78E+11,"25 SQ.FT.,9-3/4"", W/ 1-1/2"" MPT",4,"9-1/2"" X 9-1/2"" X 13-5/8""",5.65,unicel,,cartridge Filters
4CH-30,6.78E+11,"30 SQ.FT.,11-7/8"", W/ 1-1/2"" MPT",4,"9-1/2"" X 9-1/2"" X 13-5/8""",6.88,unicel,,cartridge Filters
4CH-35,6.78E+11,"35 SQ.FT.,16"", W/ 1-1/2"" MPT",4,"10-1/2"" X 10-1/2"" X 20-1/2""",7.46,unicel,,cartridge Filters
4CH-50,6.78E+11,"50 SQ.FT.,14-34"",W/ 1-1/2"" MPT",4,"9-1/2"" X 9-1/2"" X 16-5/8""",7.85,unicel,,cartridge Filters
4CH-65,6.78E+11,"65 SQ.FT.,19-5/8"",W/1-1/2""MPT",4,"10-1/2"" X 10-1/2"" X 20-1/2""",9.97,unicel,,cartridge Filters
4CH-920,6.78E+11,"20 SQ.FT., 6-3/4"", W/1-1/4"" SAE",4,"10-1/2"" X 10-1/2"" X 10-3/4""",4.86,unicel,,cartridge Filters
4CH-925,6.78E+11,"20 SQ. FT., 7-1/4"", W/1-1/2"" SAE",4,"11"" X 11"" X 11""",6,unicel,,cartridge Filters
4CH-926,6.78E+11,25 SQ. FT. WATERWAY,4,,,unicel,,cartridge Filters
4CH-935,6.78E+11,35 SQ. FT. WATERWAY,4,,,unicel,,cartridge Filters
4CH-940,6.78E+11,"40 SQ.FT., 15"", W/SAE",4,"9-1/2"" X 9-1/2"" X 16-5/8""",7.45,unicel,,cartridge Filters
4CH-949,6.78E+11,"50 SQ. FT., 13-1/2"", W/2"" SAE",4,"10-1/2"" X 10-1/2"" X 16-1/4""",8.25,unicel,,cartridge Filters
4CH-950,6.78E+11,"25 SQ.FT., 12"", W/SAE",4,"9-1/2"" X 9-1/2"" X 13-5/8""",5.75,unicel,,cartridge Filters
5CH-203,6.78E+11,20 SQ. FT. LA SPAS SOCK FILTER REPL,6,"17"" X 11"" X 10""",9.2,unicel,,cartridge Filters
5CH-35,6.78E+11,"35 SQ.FT., 8"", W/1-1/2"" SAE",1,"7-1/4"" X 7-1/4"" X 10-1/4""",2.08,unicel,,cartridge Filters
5CH-352,6.78E+11,35 SQ.FT. MARQUIS,6,"17-1/2"" X 11-3/4"" X 15""",11.6,unicel,,cartridge Filters
5CH-402,6.78E+11,"40 SQ.FT., 10-3/4"",W/2"" MPT",6,"17-1/2"" X 11-3/4"" X 12""",11.16,unicel,,cartridge Filters
5CH-45,6.78E+11,"45 SQ.FT., 10"", W/1-1/2"" MPT",6,"17-1/2"" X 11-3/4"" X 12""",10.5,unicel,,cartridge Filters
5CH-502,6.78E+11,50 SQ.FT. MARQUIS  ,6,"17-1/2"" X 11-3/4"" X 15""",12.8,unicel,,cartridge Filters
5CH-752,6.78E+11,75 SQ.FT. CAL SPAS REP.,6,"17-1/2"" X 11-3/4"" X 19-3/4""",14.7,unicel,,cartridge Filters
6CH-25,6.78E+11,"25 SQ.FT.,5-1/2"",W/ 1-1/2"" MPT",1,"7-1/4"" X 7-1/4"" X 10-1/4""",1.8,unicel,,cartridge Filters
6CH-26,6.78E+11,"25 SQ.FT., 7"",W/ 1-1/2"" MPT",1,"7-1/4"" X 7-1/4"" X 10-1/4""",1.83,unicel,,cartridge Filters
6CH-35,6.78E+11,"35 SQ.FT.,9-3/4"", W/ 1-1/2"" MPT",1,"7-1/4"" X 7-1/4"" X 12""",2.27,unicel,,cartridge Filters
6CH-352,6.78E+11,"35 SQ. FT., 8"", W/2"" MPT",1,"7-1/4"" X 7-1/4"" X 10-1/4""",2.05,unicel,,cartridge Filters
6CH-45,6.78E+11,"45 SQ.FT.,12-1/4"",W/ 1-1/2"" MPT",1,"7-1/4"" X 7-1/4"" X 15""",2.56,unicel,,cartridge Filters
6CH-47,6.78E+11,"47 SQ.FT., 9"", W/ 1-1/2"" MPT",1,"7-1/4"" X 7-1/4"" X 10-1/4""",2.36,unicel,,cartridge Filters
6CH-49,6.78E+11,"50 SQ. FT. , 8"", W/1-1/2"" MPT",1,"7-1/4"" X 7-1/4"" X 10-1/4""",2.1,unicel,,cartridge Filters
6CH-50,6.78E+11,"50 SQ.FT.,13-5/16"",W/ 1-1/2"" MPT",1,"7-1/4"" X 7-1/4"" X 15""",2.8,unicel,,cartridge Filters
6CH-502,6.78E+11,"50 SQ.FT.,8"",W/ 2"" MPT",1,"7-1/4"" X 7-1/4"" X 10-1/4""",2.48,unicel,,cartridge Filters
6CH-60,6.78E+11,"60 SQ.FT.,16-1/8"",W/1-1/2"" MPT",1,"6-3/4"" X 6-3/4"" X 17-3/4""",2.98,unicel,,cartridge Filters
6CH-75,6.78E+11,"75 SQ.FT. 19-5/8"" W/1-1/2"" MPT",1,"7-1/4"" X 7-1/4"" X 22-3/4""",4.05,unicel,,cartridge Filters
6CH-924,6.78E+11,25 SQ. FT. TOP LOAD,1,"8"" X 8"" X 11""",1.95,unicel,,cartridge Filters
6CH-925,6.78E+11,25 SQ. FT. TOP LOAD,1,"8"" X 8"" X 11""",2,unicel,,cartridge Filters
6CH-940,6.78E+11,"45 SQ.FT., 8-1/4"", W/SAE",1,"7-1/4"" X 7-1/4"" X 10-1/4""",2.2,unicel,,cartridge Filters
6CH-941,6.78E+11,40 SQ.FT. STACKED TOP  LOAD (UPPER),1,"7-1/4"" X 7-1/4"" X 10-1/4""",2.2,unicel,,cartridge Filters
6CH-942,6.78E+11,40 SQ.FT. STACKED TOP  LOAD (LOWER),1,"7-1/4"" X 7-1/4"" X 10-1/4""",2.2,unicel,,cartridge Filters
6CH-945,6.78E+11,45 SQ. FT JACUZZI PREMIUM,1,,,unicel,,cartridge Filters
6CH-959,6.78E+11,60 SQ. FT. JACUZZI PREMIUM REPL,1,,,unicel,,cartridge Filters
6CH-960,6.78E+11,52 SQ.FT. JACUZZI PREMIUM,1,"6-3/4"" X 6-3/4"" X 17-3/4""",3.06,unicel,,cartridge Filters
6CH-961,3.78E+11,60 SQ. FT. JACUZZI PREMIUM REPL,1,"6-3/4"" X 6-3/4"" X 17-3/4""",3.3,unicel,,cartridge Filters
7CH-32,6.78E+11,"32 SQ.FT.,8"", W/ 1-1/2"" MPT",1,"7-1/4"" X 7-1/4"" X 10-1/4""",2.56,unicel,,cartridge Filters
7CH-322,6.78E+11,"32 SQ.FT.,8"",W/ 2"" MPT",1,"7-1/4"" X 7-1/4"" X 10-1/4""",2.6,unicel,,cartridge Filters
7CH-40,6.78E+11,"40 SQ.FT.,9-3/4"", W/ 1-1/2"" MPT",1,"7-1/4"" X 7-1/4"" X 12""",2.93,unicel,,cartridge Filters
7CH-402,6.78E+11,"40 SQ.FT.,9-3/4"", W/ 2"" MPT",1,"7-1/4"" X 7-1/4"" X 12""",2.9,unicel,,cartridge Filters
7CH-50,6.78E+11,"50 SQ.FT.,14-3/4"",W/ 1-1/2"" MPT",1,"9-1/2"" X 9-1/2"" X 16-5/8""",3.63,unicel,,cartridge Filters
7CH-502,6.78E+11,"50 SQ.FT.,14-3/4"",W/ 2"" MPT",1,"9-1/2"" X 9-1/2"" X 16-5/8""",3.6,unicel,,cartridge Filters
7CH-552,6.78E+11,"55 SQ.FT.,10-1/2"",W/ 2"" MPT ",1,"7-1/4"" X 7-1/4"" X 12""",3.22,unicel,,cartridge Filters
7CH-752,6.78E+11,"75 SQ.FT.,14-3/4"",W/ 2"" MPT",1,"9-1/2"" X 9-1/2"" X 16-5/8""",4.26,unicel,,cartridge Filters
7CH-90,6.78E+11,90 SQ.FT. SUNDANCE SPAS,1,"7-1/4"" X 7-1/4"" X 20-1/2""",4.7,unicel,,cartridge Filters
7CH-975,6.78E+11,"75 SQ.FT., 10-1/2"",W/SAE",1,"7-1/4"" X 7-1/4"" X 12""",3.13,unicel,,cartridge Filters
8CH-102,6.78E+11,95 SQ. FT. SUNDANCE/JACUZZI,1,"9"" X 9"" X 17-3/4""",5.25,unicel,,cartridge Filters
8CH-202AM,6.78E+11,120 SQ.FT. DIAMANTE SPAS*,1,"10-1/2"" X 10-1/2"" X 20-1/2""",5.8,unicel,,cartridge Filters
