part_number,title,price,oem,upc,manufacturer
V38-112,"Marine Pump Clear Lid - 6 3/4"" dia.",$30.99,393002,811636022522,Val-Pak
V38-113,"Marine Pump Clamp - 6 3/4""",$36.68,393005,811636024588,Val-Pak
V38-118,Marine Pump Clamp Knob,$4.87,39302700,811636022560,Val-Pak
V38-119,"Pump Clamp T-Bolt 1/4 x 20""",$5.06,,811636022577,Val-Pak
V38-120,"Pump Clamp T-Bolt 1/4 x 28""",$5.06,,811636022584,Val-Pak
V38-179,Americana 1/2 HP Impeller ,$39.98,39500600,811636024595,Val-Pak
V38-180,Americana 3/4 HP Impeller,$39.98,39500700,811636022966,Val-Pak
V38-181,Americana 1 HP Impeller,$39.98,39500800,811636022973,Val-Pak
V38-182,Americana 1 1/2 HP Impeller,$39.98,39500900,811636022980,Val-Pak
V38-183,Americana 2 HP Impeller,$39.98,39501000,811636022997,Val-Pak
V38-122,Ultra-Flow I/2 HP Impeller ,$36.36,39005610,811636022607,Val-Pak
V38-123,Ultra-Flow 3/4 HP Impeller ,$36.36,39005010,811636022614,Val-Pak
V38-124,Ultra-Flow 1 HP Impeller,$36.36,39005110,811636022621,Val-Pak
V38-126,Ultra-Flow 1-1/2 HP Impeller,$36.36,39005210,811636022645,Val-Pak
V38-127,Ultra-Flow 2 HP Impeller,$36.36,39005310,811636022652,Val-Pak
V38-128,Ultra-Flow 3 HP Impeller,$36.36,39005410,811636022669,Val-Pak
V38-129S,Ultra-Flow Diffuser O-ring ,$1.73,39006600,811636022676,Val-Pak
V38-129,Ultra-Flow Diffuser O-ring (12/Bag),$1.16,39006600,811636022676,Val-Pak
V38-130,"Ultra-Flow Volute 2"" ",$59.39,39007000/357140,811636022683,Val-Pak
V38-131,Ultra-Flow Seal Plate ,$48.78,39004900/357143,811636022690,Val-Pak
V26-354S,Ultra-Flow Seal Plate O-Ring,$2.97,39006000,811636021242,Val-Pak
V26-354,Ulltra-Flow Seal Plate O-Ring (12/bag),$1.97,39006000,811636021242,Val-Pak
V38-132,Ultra-Flow Diffuser 1/2 to 1-1/2 HP,$13.53,39005500,811636022706,Val-Pak
V38-133,Ultra-Flow Diffuser 2 & 3 HP,$13.53,39015500,811636022713,Val-Pak
V38-134,Ultra-Flow Wear ring,$5.83,39006900,811636022720,Val-Pak
V38-160,"Ultra-Flow Pump Lid, Americana 1 & 2 - 7 3/4"" dia. (pre-94)",$21.05,39301600,811636022904,Val-Pak
V38-161S,"Ultra-Flow Pump Lid 0-Ring, Americana 1 & 2 (pre-94)",$2.58,39300300,811636022911,Val-Pak
V38-161,"Ultra-Flow Pump Lid O-Ring, Americana 1 & 2 (pre-94) (12/Bag)",$1.72,39300300,811636022911,Val-Pak
V38-162,Ultra-Flow Pump Lid (94-Present),$20.06,39301700,811636022928,Val-Pak
V38-164S,Ultra-Flow Pump Lid O-Ring (94-Present),$2.58,39300600,811636022942,Val-Pak
V38-164,Ultra-Flow Pump Lid O-Ring (94-Present) (12/Bag),$1.72,39300600,811636022942,Val-Pak
V38-137,Ultra-Flow Locking Ring,$18.36,39105000,811636022751,Val-Pak
V38-138,"Ultra-Flow Trap 2"" 94-Present",$59.32,39202010,811636022768,Val-Pak
V38-138-1,"Ultra-Flow Trap 2"" 94-Present Assembley",$128.95,,811636022775,Val-Pak
V38-139,Ultra-Flow Pump Base,$22.16,,811636022782,Val-Pak
V38-143S,Ultra-Flow Trap Gasket,$2.20,39501200,811636022812,Val-Pak
V38-143,Ultra-Flow Trap Gasket (12/Bag),$1.46,39501200,811636022812,Val-Pak
V38-144,"Ultra-Flow Seal Kit (Seal, Gasket & O-Rings) ",$40.53,,811636022829,Val-Pak
V38-166,"Ultra-Flow Pump Lid Clamp, Americana 1 & 2 (pre-94)",$36.25,39303000,811636022959,Val-Pak
V38-163,Ultra-Flow Volute Clamp,$37.89,39302800,811636022935,Val-Pak
V38-185S,Ultra Flow Pump Basket ,$17.28,39303500,811636023000,Val-Pak
V38-185,Ultra Flow Pump Basket Qty. (12/Box),$13.42,39303500,811636023000,Val-Pak
,Pentair/American Products Skimmer Parts,,,,Val-Pak
V38-125S,American Tapered Skimmer Basket ,$13.25,85014500,811636022638,Val-Pak
V38-125,American Tapered Skimmer Basket Qty. (20/Box),$10.60,85014500,811636022638,Val-Pak
V38-135S,American Skimmer Basket ,$12.80,R38013A,811636020061,Val-Pak
V38-135,American Skimmer Basket (24/Box),$10.24,R38013A,811636020061,Val-Pak
V38-136,American Skimmer Float ,$7.01,R38013B,811636022744,Val-Pak
V38-099,Brass Diverter (Vari-Flo),$60.71,850025,811636022430,Val-Pak
V38-100,American Thread Lock Diverter,$11.00,,811636022447,Val-Pak
V38-101,American Commercial Diverter,$15.71,,811636022454,Val-Pak
V50-115W,"American Skimmer Lid - 9 1/8"" dia. White",$4.51,85007400,811636024137,Val-Pak
V50-115G,"American Skimmer Lid - 9 1/8"" dia. Gray",$4.51,85007413,811636024106,Val-Pak
V50-115T,"American Skimmer Lid - 9 1/8"" dia. Tan",$4.51,85007430,811636024120,Val-Pak
V50-115R,"American Skimmer Lid - 9 1/8"" dia. Red",$4.51,,811636024113,Val-Pak
V50-115GR,"American Skimmer Lid - 9 1/8"" dia. Green",$4.51,,811636024601,Val-Pak
