manufacturer,part_number,title,category,type,uom,minimum_order_amount,status,upc,weight,height,length,width,available,discontinued
Zodiac,VPK-CVSLR,Jandy Pro Series Kit for Jandy Pump CV Filter And LXI Heater With Solar-ready Plumbing ,White Goods CONSTRUCTION ACCESSORIES,accessory,KIT,1,Active,52337050357,22.2,15.9,26.5,25,TRUE,FALSE
Zodiac,VPK-CVSTD,Jandy Pro Series Kit for Jandy Pump CV Filter And LXI Heater ,White Goods CONSTRUCTION ACCESSORIES,accessory,KIT,1,Active,52337050364,22.2,15.9,26.5,25,TRUE,FALSE
Zodiac,VPK-CSSTD,Jandy Pro Series Kit for Jandy Pump CS Filter And Heat Pump ,White Goods CONSTRUCTION ACCESSORIES,accessory,KIT,1,Active,52337050371,21,26.6,25.4,16,TRUE,FALSE
Zodiac,11-100-00,Zodiac WaterStars WF (Wall-mounted) Fountain ,WATER FEATURES,wholegood,1,1,Active,738919000087,1.3,2.3,15.1,10,TRUE,FALSE
Zodiac,7-400-00,Zodiac WaterStars  Fountain ,WATER FEATURES,wholegood,1,1,Active,738919000070,15.7,18.7,21.3,21,TRUE,FALSE
Zodiac,FFMJ,Jandy Pro Series Standard MiniJet niche with comet nozzle for gunite pools ,WATER FEATURES,wholegood,1,1,Active,738919006935,0.8,5.7,5.1,5,TRUE,FALSE
Zodiac,FFMJ-VL,"Jandy Pro Series Minijet, Niche/Vinyl Pool ",WATER FEATURES,wholegood,1,1,Active,738919016545,1.1,6.2,6.7,6,TRUE,FALSE
Zodiac,FFMJ-FN1,"Jandy Pro Series Minijet, Fan Nozzle (3/8"") ",WATER FEATURES,wholegood,1,1,Active,738919016521,0.7,5.3,5.4,5,TRUE,FALSE
Zodiac,FFMJ-FN2,"Jandy Pro Series Minijet, Fan Nozzle (1/2"") ",WATER FEATURES,wholegood,1,1,Active,738919016538,0.7,5.5,5.1,5,TRUE,FALSE
Zodiac,JLLED,"Jandy Pro Series Laminar Jet, Led Light Jet Body US ",WATER FEATURES,wholegood,1,1,Active,52337036184,31.2,23.3,16,16,TRUE,FALSE
Zodiac,JLFBR,"Jandy Pro Series Laminar Jet, Fiber Optic., Jet Body. ",WATER FEATURES,wholegood,1,1,Active,52337036191,21.8,23.3,16,16,TRUE,FALSE
Zodiac,FCMJ1000,Jandy Pro Series Flow Control Mini Jet ,WATER FEATURES,wholegood,1,1,Active,738919046894,3.5,6.4,10.2,6,TRUE,FALSE
Zodiac,JDJ2004,"Jandy Pro Series Deck Jet, 4 Pack, Jandy ",WATER FEATURES,wholegood,1,1,Active,52337005012,2,6.3,7.1,6,TRUE,FALSE
Zodiac,1108C,"Jandy Pro Series 8' Sheer Descent, Clear 1"" Standard Lip, Backfeed ",WATER FEATURES,wholegood,1,1,Active,52337056373,20.1,3.7,98,7,TRUE,FALSE
Zodiac,1207C,"Jandy Pro Series 7' Sheer Descent, Clear 6"" Extended Lip, Backfeed ",WATER FEATURES,wholegood,1,1,Active,52337056342,16.15,0,0,0,TRUE,FALSE
Zodiac,1107C,"Jandy Pro Series 7' Sheer Descent, Clear 1"" Standard Lip, Backfeed ",WATER FEATURES,wholegood,1,1,Active,52337056366,11.55,0,0,0,TRUE,FALSE
Zodiac,1206CSR,"Jandy Pro Series 6' Sheer Rain, Clear 6"" Lip, Backfeed ",WATER FEATURES,wholegood,1,1,Active,52337056441,16.66,0,0,0,TRUE,FALSE
Zodiac,1206C,"Jandy Pro Series 6' Sheer Descent, Clear 6"" Extended Lip, Backfeed ",WATER FEATURES,wholegood,1,1,Active,52337056335,24.9,4.2,75.1,12,TRUE,FALSE
Zodiac,1406C,"Jandy Pro Series 6' Sheer Descent, Clear 12"" Lip, Backfeed ",WATER FEATURES,wholegood,1,1,Active,52337056311,32.25,4,75,19,TRUE,FALSE
Zodiac,1106C,"Jandy Pro Series 6' Sheer Descent, Clear 1"" Standard Lip, Backfeed ",WATER FEATURES,wholegood,1,1,Active,738919070837,14.9,4.1,74.7,7,TRUE,FALSE
Zodiac,1405CSR,Jandy Pro Series 5' Sheer Rain-Super Radius Clear ,WATER FEATURES,wholegood,1,1,Active,52337057615,32.9,4.1,62,18,TRUE,FALSE
Zodiac,1205CSR,"Jandy Pro Series 5' Sheer Rain, Clear 6"" Lip, Back Feed ",WATER FEATURES,wholegood,1,1,Active,52337056434,16.66,0,0,0,TRUE,FALSE
Zodiac,1205C,"Jandy Pro Series 5' Sheer Descent, Clear 6"" Extended Lip, Backfeed ",WATER FEATURES,wholegood,1,1,Active,738919070844,20.8,4.2,64,12,TRUE,FALSE
