Handle,Title,Body(HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
HAYWARD SPX3207C,"IMPELLER ""/1 HP W/IMPELLER SCREW - SPX3207C",,Hayward,Pumps,"Pumps,hayward,,part",TRUE,Part Number,SPX3207C,,,,,HAY_SPX3207C,,shopify,0,deny,manual,24.56,,TRUE,,6.10378E+11,http://optimax.optimusparts.com/_assets/images/items/5112-80.jpg,HAY_SPX3207C,,,,,,"IMPELLER ""/1 HP W/IMPELLER SCREW","IMPELLER ""/1 HP W/IMPELLER SCREW - IMPELLER ""/1 HP W/IMPELLER SCREW",,,,,,,,,,,
HAYWARD BFA1005TFS,"1/2"" PVC THRD BULKHEAD FITTING",,Hayward,White Goods,",pvc,plumbing,plumbing,miscellaneous,miscellaneous,hayward",TRUE,Title,Default Title,,,,,HAY_BFA1005TFS,,shopify,2,deny,manual,53.46,,TRUE,,6.10377E+11,,,,,,,,"1/2"" PVC THRD BULKHEAD FITTING","1/2"" PVC THRD BULKHEAD FITTING 1/2"" PVC THRD BULKHEAD FITTING
Warranty
Instructions
",,,,,,,,,,,
HAYWARD 896584000-235,STEERING 2x CAM,,Hayward,Cleaners,",part,part,hayward",TRUE,Title,Default Title,,,,,HAY_896584000-235,,shopify,2,deny,manual,10.7,,TRUE,,8.96584E+11,,,,,,,,STEERING 2x CAM,"STEERING 2x CAM STEERING 2x CAM
Warranty
Instructions
",,,,,,,,,,,
HAYWARD RCX30000,POWER SUPPLY TS 115VAC,,Hayward,Cleaners,",part,part,hayward",TRUE,Title,Default Title,,,,,HAY_RCX30000,,shopify,2,deny,manual,255.68,,TRUE,,6.10377E+11,,,,,,,,POWER SUPPLY TS 115VAC,"POWER SUPPLY TS 115VAC POWER SUPPLY TS 115VAC
Warranty
Instructions
",,,,,,,,,,,
HAYWARD SPX3205Z1BER,MOTOR .5HP SQFL 230V,,Hayward,Pumps,",motor,motor,motor,residential,residential,hayward",TRUE,Title,Default Title,,,,,HAY_SPX3205Z1BER,,shopify,2,deny,manual,247.5,,TRUE,,6.10377E+11,,,,,,,,MOTOR .5HP SQFL 230V,"MOTOR .5HP SQFL 230V MOTOR .5HP SQFL 230V
Warranty
Instructions
",,,,,,,,,,,
HAYWARD SPX3215X20Z1PE,POWER END 2HP MAXRATE TRISTAR,,Hayward,Pumps,",part,part,hayward",TRUE,Title,Default Title,,,,,HAY_SPX3215X20Z1PE,,shopify,2,deny,manual,376.66,,TRUE,,6.10377E+11,,,,,,,,POWER END 2HP MAXRATE TRISTAR,"POWER END 2HP MAXRATE TRISTAR POWER END 2HP MAXRATE TRISTAR
Warranty
Instructions
",,,,,,,,,,,
HAYWARD SPX0710R,GASKET FOR THREADED SIGHT GLA,,Hayward,Filters,",de,part,part,hayward",TRUE,Title,Default Title,,,,,HAY_SPX0710R,,shopify,2,deny,manual,0.56,,TRUE,,,,,,,,,,GASKET FOR THREADED SIGHT GLA,"GASKET FOR THREADED SIGHT GLA GASKET FOR THREADED SIGHT GLA
Warranty
Instructions
",,,,,,,,,,,
Hayward DE3600BT,OBSOLETE FILTER HEAD MODEL DEX3600 - DE3600BT,,Hayward,Filters,",de,de,de,hayward",TRUE,Part Number,DE3600BT,,,,,HAY_DE3600BT,,shopify,0,deny,manual,0,,TRUE,,,,,,,,,,OBSOLETE FILTER HEAD MODEL DEX3600,OBSOLETE FILTER HEAD MODEL DEX3600 - OBSOLETE FILTER HEAD MODEL DEX3600,,,,,,,,,,,
Hayward HPX02024108,COMPRESSOR BLANKET - HPX02024108,,Hayward,Heat Pumps,"Heat Pumps,hayward",TRUE,Part Number,HPX02024108,,,,,HAY_HPX02024108,,shopify,0,deny,manual,0,,TRUE,,,,,,,,,,COMPRESSOR BLANKET,COMPRESSOR BLANKET - COMPRESSOR BLANKET,,,,,,,,,,,
Hayward W400ALGP,"OBSOLETE HAYWARD SAFETY VAC LOCK, GRAY - W400ALGP",,Hayward,Automation,",control,control,controller,controller,hayward",TRUE,Part Number,W400ALGP,,,,,HAY_W400ALGP,,shopify,0,deny,manual,0,,TRUE,,,http://optimax.optimusparts.com/_assets/images/items/3259-0057.jpg,HAY_W400ALGP,,,,,,"OBSOLETE HAYWARD SAFETY VAC LOCK, GRAY","OBSOLETE HAYWARD SAFETY VAC LOCK, GRAY - OBSOLETE HAYWARD SAFETY VAC LOCK, GRAY",,,,,,,,,,,
HAYWARD ONCOM-ACT,ONCOMMAND 4RLY 3VLV GVA-24 CONTROL-BASE,,Hayward,Automation,",control,control,control,hayward",TRUE,Title,Default Title,,,,,HAY_ONCOM-ACT,,shopify,2,deny,manual,700.8,,TRUE,,7.61418E+11,,,,,,,,ONCOMMAND 4RLY 3VLV GVA-24 CONTROL-BASE,"ONCOMMAND 4RLY 3VLV GVA-24 CONTROL-BASE ONCOMMAND 4RLY 3VLV GVA-24 CONTROL-BASE
Warranty
Instructions
",,,,,,,,,,,
HAYWARD PVCHK1900WH,WHITE (1 LEADER 9 CONNECTOR) COMPLETE HOSE KIT,,Hayward,Cleaners,",part,part,hayward",TRUE,Title,Default Title,,,,,HAY_PVCHK1900WH,,shopify,2,deny,manual,183.9,,TRUE,,,,,,,,,,WHITE (1 LEADER 9 CONNECTOR) COMPLETE HOSE KIT,"WHITE (1 LEADER 9 CONNECTOR) COMPLETE HOSE KIT WHITE (1 LEADER 9 CONNECTOR) COMPLETE HOSE KIT
Warranty
Instructions
",,,,,,,,,,,
HAYWARD SPX0710C,SPIDER VALVE,,Hayward,Pumps,",part,part,hayward",TRUE,Title,Default Title,,,,,HAY_SPX0710C,,shopify,2,deny,manual,16.14,,TRUE,,,,,,,,,,SPIDER VALVE,"SPIDER VALVE SPIDER VALVE
Warranty
Instructions
",,,,,,,,,,,
HAYWARD SPX1030Z1A,AV SCREW 2PK,,Hayward,White Goods,",flow fitting,flow fitting,part,part,hayward",TRUE,Title,Default Title,,,,,HAY_SPX1030Z1A,,shopify,2,deny,manual,2.37,,TRUE,,6.10377E+11,,,,,,,,AV SCREW 2PK,"AV SCREW 2PK AV SCREW 2PK
Warranty
Instructions
",,,,,,,,,,,
HAYWARD LRBUY11M13,130W XFMR INTERMATIC JBOX UCL CONV KIT,,Hayward,Lighting,",light,light,lighting,pool,pool,spa,spa,hayward",TRUE,Title,Default Title,,,,,HAY_LRBUY11M13,,shopify,2,deny,manual,139.2,,TRUE,,,,,,,,,,130W XFMR INTERMATIC JBOX UCL CONV KIT,"130W XFMR INTERMATIC JBOX UCL CONV KIT 130W XFMR INTERMATIC JBOX UCL CONV KIT
Warranty
Instructions
",,,,,,,,,,,
HAYWARD CSPAXI11,HEATER 11KW ELECTRIC SPA COMFORTZONE,,Hayward,Heaters,",electric,electric,electric,spa,hayward",TRUE,Title,Default Title,,,,,HAY_CSPAXI11,,shopify,2,deny,manual,803.2,,TRUE,,6.10377E+11,,,,,,,,HEATER 11KW ELECTRIC SPA COMFORTZONE,"HEATER 11KW ELECTRIC SPA COMFORTZONE HEATER 11KW ELECTRIC SPA COMFORTZONE
Warranty
Instructions
",,,,,,,,,,,
Hayward SPX580Z3,LOCKSCREW W/FASTENER SP-580S - SPX580Z3,,Hayward,Lighting,",light,light,lighting,hayward",TRUE,Part Number,SPX580Z3,,,,,HAY_SPX580Z3,,shopify,0,deny,manual,0,,TRUE,,,http://optimax.optimusparts.com/_assets/images/items/3550-26.jpg,HAY_SPX580Z3,,,,,,LOCKSCREW W/FASTENER SP-580S,LOCKSCREW W/FASTENER SP-580S - LOCKSCREW W/FASTENER SP-580S,,,,,,,,,,,
Hayward SPX580Z2,"GASKET, LENS - SPX580Z2",,Hayward,Lighting,",light,light,lighting,hayward",TRUE,Part Number,SPX580Z2,,,,,HAY_SPX580Z2,,shopify,0,deny,manual,0,,TRUE,,,http://optimax.optimusparts.com/_assets/images/items/3550-24.jpg,HAY_SPX580Z2,,,,,,"GASKET, LENS","GASKET, LENS - GASKET, LENS",,,,,,,,,,,
Hayward SPX580Z1,LOCKSCREW W/FASTENER SP-580 - SPX580Z1,,Hayward,Lighting,",light,light,lighting,hayward",TRUE,Part Number,SPX580Z1,,,,,HAY_SPX580Z1,,shopify,0,deny,manual,0,,TRUE,,,http://optimax.optimusparts.com/_assets/images/items/3550-26A.jpg,HAY_SPX580Z1,,,,,,LOCKSCREW W/FASTENER SP-580,LOCKSCREW W/FASTENER SP-580 - LOCKSCREW W/FASTENER SP-580,,,,,,,,,,,
HAYWARD LPCUN11030,POOL COLOR NETWORK 12V 30' UCL,,Hayward,Lighting,",light,light,lighting,pool,pool,pool,spa,spa,hayward",TRUE,Title,Default Title,,,,,HAY_LPCUN11030,,shopify,2,deny,manual,793.6,,TRUE,,,,,,,,,,POOL COLOR NETWORK 12V 30' UCL,"POOL COLOR NETWORK 12V 30' UCL POOL COLOR NETWORK 12V 30' UCL
Warranty
Instructions
",,,,,,,,,,,
Hayward CZXWIR4506,WIRE HARNESS - CZXWIR4506,,Hayward,Heaters,",gas,gas,hayward",TRUE,Part Number,CZXWIR4506,,,,,HAY_CZXWIR4506,,shopify,0,deny,manual,0,,TRUE,,,http://optimax.optimusparts.com/_assets/images/items/6225-66.jpg,HAY_CZXWIR4506,,,,,,WIRE HARNESS,WIRE HARNESS - WIRE HARNESS,,,,,,,,,,,
HAYWARD LRBUY11P65,65W XFMR PENTAIR JBOX UCL CONV KIT,,Hayward,Lighting,",light,light,lighting,pool,pool,spa,spa,hayward",TRUE,Title,Default Title,,,,,HAY_LRBUY11P65,,shopify,2,deny,manual,88,,TRUE,,,,,,,,,,65W XFMR PENTAIR JBOX UCL CONV KIT,"65W XFMR PENTAIR JBOX UCL CONV KIT 65W XFMR PENTAIR JBOX UCL CONV KIT
Warranty
Instructions
",,,,,,,,,,,
HAYWARD ECX1004A,TUBE SHEET TOP EC40/45/50,,Hayward,Filters,",part,part,hayward",TRUE,Title,Default Title,,,,,HAY_ECX1004A,,shopify,2,deny,manual,26.16,,TRUE,,6.10378E+11,,,,,,,,TUBE SHEET TOP EC40/45/50,"TUBE SHEET TOP EC40/45/50 TUBE SHEET TOP EC40/45/50
Warranty
Instructions
",,,,,,,,,,,
HAYWARD CZXTSK2003,"KNOB, THERMOSTAT - CZXTSK2003",,Hayward,Heaters,"gas,gas,hayward,part",TRUE,Part Number,CZXTSK2003,,,,,HAY_CZXTSK2003,,shopify,0,deny,manual,11.55,,TRUE,,6.10377E+11,http://optimax.optimusparts.com/_assets/images/items/6220-42.jpg,HAY_CZXTSK2003,,,,,,"KNOB, THERMOSTAT","KNOB, THERMOSTAT - KNOB, THERMOSTAT",,,,,,,,,,,
HAYWARD SPX0722D,BONNET NUT FOR SP01410X,,Hayward,Filters,",part,part,hayward",TRUE,Title,Default Title,,,,,HAY_SPX0722D,,shopify,2,deny,manual,5.55,,TRUE,,6.10377E+11,,,,,,,,BONNET NUT FOR SP01410X,"BONNET NUT FOR SP01410X BONNET NUT FOR SP01410X
Warranty
Instructions
",,,,,,,,,,,
Hayward AXV071B,"AXLE, MEDIUM TURBINE - AXV071B",,Hayward,Cleaners,",suction,suction,hayward",TRUE,Part Number,AXV071B,,,,,HAY_AXV071B,,shopify,0,deny,manual,0,,TRUE,,,http://optimax.optimusparts.com/_assets/images/items/3259-0010.jpg,HAY_AXV071B,,,,,,"AXLE, MEDIUM TURBINE","AXLE, MEDIUM TURBINE - AXLE, MEDIUM TURBINE",,,,,,,,,,,
HAYWARD AXV071A,MEDIUM TURBINE AXLE LMT QTY,,Hayward,Cleaners,",part,part,hayward",TRUE,Title,Default Title,,,,,HAY_AXV071A,,shopify,2,deny,manual,7.41,,TRUE,,6.10377E+11,,,,,,,,MEDIUM TURBINE AXLE LMT QTY,"MEDIUM TURBINE AXLE LMT QTY MEDIUM TURBINE AXLE LMT QTY
Warranty
Instructions
",,,,,,,,,,,
HAYWARD SPX0715BA3,KEY/COVER & HANDLE ASSY BLK,,Hayward,Filters,",part,part,hayward",TRUE,Title,Default Title,,,,,HAY_SPX0715BA3,,shopify,2,deny,manual,107.76,,TRUE,,6.10377E+11,,,,,,,,KEY/COVER & HANDLE ASSY BLK,"KEY/COVER & HANDLE ASSY BLK KEY/COVER & HANDLE ASSY BLK
Warranty
Instructions
",,,,,,,,,,,
Hayward SPX710X-32,"VALVE ASSEMBLY, 1 1/2""- HAYWARD  - SPX710X-32",,Hayward,Filters,",sand,sand,de,de,valve,valve,hayward",TRUE,Part Number,SPX710X-32,,,,,HAY_SPX710X-32,,shopify,0,deny,manual,0,,TRUE,,,http://optimax.optimusparts.com/_assets/images/items/4800-25.jpg,HAY_SPX710X-32,,,,,,"VALVE ASSEMBLY, 1 1/2""- HAYWARD ","VALVE ASSEMBLY, 1 1/2""- HAYWARD  - VALVE ASSEMBLY, 1 1/2""- HAYWARD ",,,,,,,,,,,
HAYWARD HPX2040,CAPACITOR - HPX2040,,Hayward,Heat Pumps,"Heat Pumps,hayward,,part",TRUE,Part Number,HPX2040,,,,,HAY_HPX2040,,shopify,0,deny,manual,41.78,,TRUE,,6.10378E+11,,,,,,,,CAPACITOR,CAPACITOR - CAPACITOR,,,,,,,,,,,
Hayward SWX196DA,OBSOLETE LATERAL ASSY - SWX196DA,,Hayward,Filters,",sand,sand,valve,hayward",TRUE,Part Number,SWX196DA,,,,,HAY_SWX196DA,,shopify,0,deny,manual,0,,TRUE,,,,,,,,,,OBSOLETE LATERAL ASSY,OBSOLETE LATERAL ASSY - OBSOLETE LATERAL ASSY,,,,,,,,,,,
HAYWARD RCX70101PAK2,FILTER CARTRIDGES (SET OF 2) TIGER SHARK,,Hayward,Cleaners,",part,part,hayward",TRUE,Title,Default Title,,,,,HAY_RCX70101PAK2,,shopify,2,deny,manual,46.91,,TRUE,,6.10377E+11,,,,,,,,FILTER CARTRIDGES (SET OF 2) TIGER SHARK,"FILTER CARTRIDGES (SET OF 2) TIGER SHARK FILTER CARTRIDGES (SET OF 2) TIGER SHARK
Warranty
Instructions
",,,,,,,,,,,
