Image Src,Gift Card,Variant Compare At Price,Option2 Name,Option1 Name,Title,Option3 Name,Variant SKU,Google Shopping / Custom Product,Variant Inventory Tracker,Variant Taxable,Google Shopping / AdWords Grouping,Type,Google Shopping / MPN,Image Alt Text,Vendor,Variant Image,Tags,Google Shopping / Custom Label 3,Google Shopping / Custom Label 2,Variant Grams,Google Shopping / Custom Label 0,Google Shopping / Custom Label 4,Google Shopping / Age Group,Google Shopping / Custom Label 1,Variant Requires Shipping,Google Shopping / Google Product Category,Variant Weight Unit,Google Shopping / AdWords Labels,SEO Title,Google Shopping / Condition,Body(HTML),Published,Handle,Variant Barcode,Variant Inventory Qty,Variant Inventory Policy,Option3 Value,SEO Description,Google Shopping / Gender,Variant Price,Option2 Value,Option1 Value,Variant Fulfillment Service
,,,,Part Number,- B-71,,ALA_B-71,,shopify,,,White Goods,,,Aladdin,,"flow fitting,residential,part,pool,no-image",,,,,,,,True,,None,,- B-71,,,True,Aladdin B-71,,5,deny,,- B-71 None,,76.84,,B-71,manual
,,,,Part Number,GASKET BULK- G-62R,,ALA_G-62R,,shopify,,,Accessories,,,Aladdin,,"no-cat,no-image",,,,,,,,True,,,,GASKET BULK- G-62R,,,True,Aladdin G-62R,None,5,deny,,GASKET BULK- G-62R None,,4.38,,G-62R,manual
,,,,Part Number,- O-101-14,,SUP_O-101-14,,shopify,,,Filters,,,SUPER-PRO,,"filters,residential,part,pool,no-image",,,,,,,,True,,None,,- O-101-14,,,True,SUPER-PRO O-101-14,601402263262,5,deny,,- O-101-14 None,,11.41,,O-101-14,manual
,,,,Part Number,- G-99P-9,,SUP_G-99P-9,,shopify,,,Maintenance,,,SUPER-PRO,,"pool,maintenance,residential,part,no-image",,,,,,,,True,,None,,- G-99P-9,,,True,SUPER-PRO G-99P-9,601402111280,5,deny,,- G-99P-9 None,,2.95,,G-99P-9,manual
,,,,Part Number,O-RING PACKAGED- O-402PK,,ALA_O-402PK,,shopify,,,Accessories,,,Aladdin,,"no-cat,no-image",,,,,,,,True,,,,O-RING PACKAGED- O-402PK,,,True,Aladdin O-402PK,None,5,deny,,O-RING PACKAGED- O-402PK None,,3.19,,O-402PK,manual
,,,,Part Number,GASKET BULK- G-138,,ALA_G-138,,shopify,,,Accessories,,,Aladdin,,"no-cat,no-image",,,,,,,,True,,,,GASKET BULK- G-138,,,True,Aladdin G-138,None,5,deny,,GASKET BULK- G-138 None,,2.13,,G-138,manual
,,,,Part Number,O-RING PACKAGED- O-498PK,,ALA_O-498PK,,shopify,,,Accessories,,,Aladdin,,"no-cat,no-image",,,,,,,,True,,,,O-RING PACKAGED- O-498PK,,,True,Aladdin O-498PK,None,5,deny,,O-RING PACKAGED- O-498PK None,,6.07,,O-498PK,manual
,,,,Part Number,GASKET PACKAGED- G-89PK,,ALA_G-89PK,,shopify,,,Accessories,,,Aladdin,,"no-cat,no-image",,,,,,,,True,,,,GASKET PACKAGED- G-89PK,,,True,Aladdin G-89PK,None,5,deny,,GASKET PACKAGED- G-89PK None,,1.92,,G-89PK,manual
,,,,Part Number,- B-38B,,SUP_B-38B,,shopify,,,White Goods,,,SUPER-PRO,,"flow fitting,residential,part,pool,no-image",,,,,,,,True,,None,,- B-38B,,,True,SUPER-PRO B-38B,,5,deny,,- B-38B None,,22.12,,B-38B,manual
,,,,Part Number,GASKET BULK- G-131,,ALA_G-131,,shopify,,,Accessories,,,Aladdin,,"no-cat,no-image",,,,,,,,True,,,,GASKET BULK- G-131,,,True,Aladdin G-131,None,5,deny,,GASKET BULK- G-131 None,,1.69,,G-131,manual
