Image Src,Gift Card,Variant Compare At Price,Option2 Name,Option1 Name,Title,Option3 Name,Variant SKU,Google Shopping / Custom Product,Variant Inventory Tracker,Variant Taxable,Google Shopping / AdWords Grouping,Type,Google Shopping / MPN,Image Alt Text,Vendor,Variant Image,Tags,Google Shopping / Custom Label 3,Google Shopping / Custom Label 2,Variant Grams,Google Shopping / Custom Label 0,Google Shopping / Custom Label 4,Google Shopping / Age Group,Google Shopping / Custom Label 1,Variant Requires Shipping,Google Shopping / Google Product Category,Variant Weight Unit,Google Shopping / AdWords Labels,SEO Title,Google Shopping / Condition,Body(HTML),Published,Handle,Variant Barcode,Variant Inventory Qty,Variant Inventory Policy,Option3 Value,SEO Description,Google Shopping / Gender,Variant Price,Option2 Value,Option1 Value,Variant Fulfillment Service
https://s3-us-west-1.amazonaws.com/oppics/full/AOS/AOS_UST1072.jpg,,,,Part Number,"3/4 HP, 1.00 SF, 10.6/5.3 AMPS, 115/230V- UST1072",,AOS_UST1072,,shopify,,,Pumps,,UST1072,A.O. Smith,,"pumps,residential,part,pool,has-image",,,,,,,,True,,None,,"3/4 HP, 1.00 SF, 10.6/5.3 AMPS, 115/230V- UST1072",,,True,A.O. Smith UST1072,786674033321,5,deny,,"3/4 HP, 1.00 SF, 10.6/5.3 AMPS, 115/230V- UST1072 3/4 HP, 1.00 SF, 10.6/5.3 AMPS, 115/230V",,179.13,,UST1072,manual
https://s3-us-west-1.amazonaws.com/oppics/full/AOS/AOS_USQG1152A.jpg,,,,Part Number,Motor- USQG1152A,,AOS_USQG1152A,,shopify,,,Pumps,,USQG1152A,A.O. Smith,,"motor,residential,part,pool,has-image",,,,,,,,True,,None,,Motor- USQG1152A,,,True,A.O. Smith USQG1152A,786674033307,5,deny,,"Motor- USQG1152A 1 1/2 HP, 1.10 SF, 19.2/9.6 AMPS, 115/230V",,268.67,,USQG1152A,manual
,,,,Part Number,- SN1072,,AOS_SN1072,,shopify,,,Pumps,,,A.O. Smith,,"pumps,residential,part,pool,no-image",,,,,,,,True,,None,,- SN1072,,,True,A.O. Smith SN1072,663001666363,5,deny,,- SN1072 None,,307.41,,SN1072,manual
,,,,Part Number,- CK1072,,AOS_CK1072,,shopify,,,Pumps,,,A.O. Smith,,"pumps,residential,part,pool,no-image",,,,,,,,True,,None,,- CK1072,,,True,A.O. Smith CK1072,786674017154,5,deny,,- CK1072 None,,260.02,,CK1072,manual
,,,,Part Number,Motor- CPO24,,AOS_CPO24,,shopify,,,Pumps,,,A.O. Smith,,"motor,residential,part,pool,no-image",,,,,,,,True,,,,Motor- CPO24,,,True,A.O. Smith CPO24,None,5,deny,,Motor- CPO24 None,,553.91,,CPO24,manual
,,,,Part Number,- V214M2,,AOS_V214M2,,shopify,,,Pumps,,,A.O. Smith,,"pumps,commercial,part,pool,no-image",,,,,,,,True,,None,,- V214M2,,,True,A.O. Smith V214M2,786674066831,5,deny,,- V214M2 None,,1654.35,,V214M2,manual
,,,,Part Number,"OBSOLETE SWITCH, ROTATING - 607485-006",,AOS_607485-006,,shopify,,,Accessories,,,A.O. Smith,,"no-cat,no-image",,,,,,,,True,,,,"OBSOLETE SWITCH, ROTATING - 607485-006",,,True,A.O. Smith 607485-006,None,0,deny,,"OBSOLETE SWITCH, ROTATING - 607485-006 OBSOLETE SWITCH, ROTATING ",,None,,607485-006,manual
,,,,Part Number,"2 HP, 1.30, SF, 11.5 AMPS, 230V- BG748A",,AOS_BG748A,,shopify,,,Pumps,,,A.O. Smith,,"pumps,residential,part,pool,no-image",,,,,,,,True,,None,,"2 HP, 1.30, SF, 11.5 AMPS, 230V- BG748A",,,True,A.O. Smith BG748A,786674013842,5,deny,,"2 HP, 1.30, SF, 11.5 AMPS, 230V- BG748A 2 HP, 1.30, SF, 11.5 AMPS, 230V",,549.16,,BG748A,manual
,,,,Part Number,- B2979T,,AOS_B2979T,,shopify,,,Pumps,,,A.O. Smith,,"pumps,residential,part,pool,no-image",,,,,,,,True,,None,,- B2979T,,,True,A.O. Smith B2979T,786674060761,5,deny,,- B2979T None,,565.45,,B2979T,manual
https://s3-us-west-1.amazonaws.com/oppics/full/AOS/AOS_USQ1072.jpg,,,,Part Number,Motor- USQ1072,,AOS_USQ1072,,shopify,,,Pumps,,USQ1072,A.O. Smith,,"motor,residential,part,pool,has-image",,,,,,,,True,,None,,Motor- USQ1072,,,True,A.O. Smith USQ1072,786674033239,5,deny,,"Motor- USQ1072 NO LONGER AVAILABLE, PLEASE CALL",,182.48,,USQ1072,manual
,,,,Part Number,Motor- P212,,AOS_P212,,shopify,,,Pumps,,,A.O. Smith,,"motor,residential,part,pool,no-image",,,,,,,,True,,,,Motor- P212,,,True,A.O. Smith P212,None,5,deny,,Motor- P212 None,,1153.93,,P212,manual
,,,,Part Number,- B2982T,,AOS_B2982T,,shopify,,,Pumps,,,A.O. Smith,,"pumps,residential,part,pool,no-image",,,,,,,,True,,None,,- B2982T,,,True,A.O. Smith B2982T,786674057037,5,deny,,- B2982T None,,453.46,,B2982T,manual
,,,,Part Number,- BPA452,,AOS_BPA452,,shopify,,,Pumps,,,A.O. Smith,,"pumps,residential,part,pool,no-image",,,,,,,,True,,None,,- BPA452,,,True,A.O. Smith BPA452,786674069610,5,deny,,- BPA452 None,,352.34,,BPA452,manual
,,,,Part Number,- BPA450,,AOS_BPA450,,shopify,,,Pumps,,,A.O. Smith,,"pumps,residential,part,pool,no-image",,,,,,,,True,,None,,- BPA450,,,True,A.O. Smith BPA450,786674069597,5,deny,,- BPA450 None,,257.74,,BPA450,manual
,,,,Part Number,Motor- BPA451,,AOS_BPA451,,shopify,,,Pumps,,,A.O. Smith,,"motor,residential,part,pool,no-image",,,,,,,,True,,None,,Motor- BPA451,,,True,A.O. Smith BPA451,786674069603,5,deny,,Motor- BPA451 None,,331.41,,BPA451,manual
