Image Src,Gift Card,Variant Compare At Price,Option2 Name,Option1 Name,Title,Option3 Name,Variant SKU,Google Shopping / Custom Product,Variant Inventory Tracker,Variant Taxable,Google Shopping / AdWords Grouping,Type,Google Shopping / MPN,Image Alt Text,Vendor,Variant Image,Tags,Google Shopping / Custom Label 3,Google Shopping / Custom Label 2,Variant Grams,Google Shopping / Custom Label 0,Google Shopping / Custom Label 4,Google Shopping / Age Group,Google Shopping / Custom Label 1,Variant Requires Shipping,Google Shopping / Google Product Category,Variant Weight Unit,Google Shopping / AdWords Labels,SEO Title,Google Shopping / Condition,Body(HTML),Published,Handle,Variant Barcode,Variant Inventory Qty,Variant Inventory Policy,Option3 Value,SEO Description,Google Shopping / Gender,Variant Price,Option2 Value,Option1 Value,Variant Fulfillment Service
,,,,Part Number,Wide Mouth Vinyl Pool Return Faceplate; Gray- 25541-001-010,,CUS_25541-001-010,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"return,pool,residential,wholegood,no-image",,,,,,,,True,,,,Wide Mouth Vinyl Pool Return Faceplate; Gray- 25541-001-010,,,True,CUSTOM MOLDED PRODUCTS INC. 25541-001-010,None,5,deny,,Wide Mouth Vinyl Pool Return Faceplate; Gray- 25541-001-010 None,,13.67,,25541-001-010,manual
,,,,Part Number,Power Seat JP4(Single Water Port)- 23308-910-000,,CUS_23308-910-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"white goods,residential,wholegood,pool,no-image",,,,,,,,True,,,,Power Seat JP4(Single Water Port)- 23308-910-000,,,True,CUSTOM MOLDED PRODUCTS INC. 23308-910-000,None,5,deny,,Power Seat JP4(Single Water Port)- 23308-910-000 None,,183.23,,23308-910-000,manual
,,,,Part Number,In Ground Skimmer (W Style) Weir Assembly Black- 25140-004-800,,CUS_25140-004-800,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"skimmer,weir,residential,wholegood,pool,no-image",,,,,,,,True,,,,In Ground Skimmer (W Style) Weir Assembly Black- 25140-004-800,,,True,CUSTOM MOLDED PRODUCTS INC. 25140-004-800,None,5,deny,,In Ground Skimmer (W Style) Weir Assembly Black- 25140-004-800 None,,11.3,,25140-004-800,manual
,,,,Part Number,1.5in Flush Union (1.5in Slip x 1.5in MPT; PVC)- 21055-150-000,,CUS_21055-150-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"pvc,residential,wholegood,pool,no-image",,,,,,,,True,,,,1.5in Flush Union (1.5in Slip x 1.5in MPT; PVC)- 21055-150-000,,,True,CUSTOM MOLDED PRODUCTS INC. 21055-150-000,None,5,deny,,1.5in Flush Union (1.5in Slip x 1.5in MPT; PVC)- 21055-150-000 None,,5.84,,21055-150-000,manual
,,,,Part Number,In Ground Skimmer (H Style) 2in Slip without Valve; with HD FlowSkim Black- 25100-154-400,,CUS_25100-154-400,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"skimmer,valve,residential,wholegood,pool,no-image",,,,,,,,True,,,,In Ground Skimmer (H Style) 2in Slip without Valve; with HD FlowSkim Black- 25100-154-400,,,True,CUSTOM MOLDED PRODUCTS INC. 25100-154-400,None,5,deny,,In Ground Skimmer (H Style) 2in Slip without Valve; with HD FlowSkim Black- 25100-154-400 None,,59.03,,25100-154-400,manual
,,,,Part Number,Plastic Divider Strip- 25820-000-000,,CUS_25820-000-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"white goods,residential,wholegood,pool,no-image",,,,,,,,True,,,,Plastic Divider Strip- 25820-000-000,,,True,CUSTOM MOLDED PRODUCTS INC. 25820-000-000,None,5,deny,,Plastic Divider Strip- 25820-000-000 None,,3.04,,25820-000-000,manual
,,,,Part Number,Mnfld(2inS x 2inSpg x (4)3/4in SB)- 21027-300-100,,CUS_21027-300-100,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"white goods,residential,wholegood,pool,no-image",,,,,,,,True,,,,Mnfld(2inS x 2inSpg x (4)3/4in SB)- 21027-300-100,,,True,CUSTOM MOLDED PRODUCTS INC. 21027-300-100,None,5,deny,,Mnfld(2inS x 2inSpg x (4)3/4in SB)- 21027-300-100 None,,3.08,,21027-300-100,manual
,,,,Part Number,Vinyl Liner Skimmer; Regular Mouth with Accessory Pack- 25160-910-000,,CUS_25160-910-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"skimmer,accessory,residential,wholegood,pool,no-image",,,,,,,,True,,,,Vinyl Liner Skimmer; Regular Mouth with Accessory Pack- 25160-910-000,,,True,CUSTOM MOLDED PRODUCTS INC. 25160-910-000,None,5,deny,,Vinyl Liner Skimmer; Regular Mouth with Accessory Pack- 25160-910-000 None,,139.88,,25160-910-000,manual
,,,,Part Number,90 Deg Sweep Union Gasket- 21092-050-000,,CUS_21092-050-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"white goods,residential,wholegood,pool,no-image",,,,,,,,True,,,,90 Deg Sweep Union Gasket- 21092-050-000,,,True,CUSTOM MOLDED PRODUCTS INC. 21092-050-000,None,5,deny,,90 Deg Sweep Union Gasket- 21092-050-000 None,,1.92,,21092-050-000,manual
,,,,Part Number,Vinyl Liner Skimmer Builders Kit Assembly; Wide Mouth; White- 25160-110-900,,CUS_25160-110-900,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"skimmer,residential,wholegood,pool,no-image",,,,,,,,True,,,,Vinyl Liner Skimmer Builders Kit Assembly; Wide Mouth; White- 25160-110-900,,,True,CUSTOM MOLDED PRODUCTS INC. 25160-110-900,None,5,deny,,Vinyl Liner Skimmer Builders Kit Assembly; Wide Mouth; White- 25160-110-900 None,,196.93,,25160-110-900,manual
,,,,Part Number,Clip-On Pipe Seal; 1in- 21184-100-000,,CUS_21184-100-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"white goods,residential,wholegood,pool,no-image",,,,,,,,True,,,,Clip-On Pipe Seal; 1in- 21184-100-000,,,True,CUSTOM MOLDED PRODUCTS INC. 21184-100-000,None,5,deny,,Clip-On Pipe Seal; 1in- 21184-100-000 None,,3.25,,21184-100-000,manual
,,,,Part Number,DirFlowOutlet(3/4in;1.5in MIP;Flg); Dark Blue- 25553-369-000,,CUS_25553-369-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"white goods,residential,wholegood,pool,no-image",,,,,,,,True,,,,DirFlowOutlet(3/4in;1.5in MIP;Flg); Dark Blue- 25553-369-000,,,True,CUSTOM MOLDED PRODUCTS INC. 25553-369-000,None,5,deny,,DirFlowOutlet(3/4in;1.5in MIP;Flg); Dark Blue- 25553-369-000 None,,3.67,,25553-369-000,manual
,,,,Part Number,1.5in Union (Nut; Sleeve; O-Ring)- 21021-100-000,,CUS_21021-100-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"white goods,residential,wholegood,pool,no-image",,,,,,,,True,,,,1.5in Union (Nut; Sleeve; O-Ring)- 21021-100-000,,,True,CUSTOM MOLDED PRODUCTS INC. 21021-100-000,None,5,deny,,1.5in Union (Nut; Sleeve; O-Ring)- 21021-100-000 None,,2.91,,21021-100-000,manual
,,,,Part Number,Rectangular Grate w/ Screws; White- 25533-000-010,,CUS_25533-000-010,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"grate,residential,wholegood,pool,no-image",,,,,,,,True,,,,Rectangular Grate w/ Screws; White- 25533-000-010,,,True,CUSTOM MOLDED PRODUCTS INC. 25533-000-010,None,5,deny,,Rectangular Grate w/ Screws; White- 25533-000-010 None,,3.23,,25533-000-010,manual
,,,,Part Number,Skimmer Extension Collar 1-1/4in; Gray- 25526-201-000,,CUS_25526-201-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"skimmer,residential,wholegood,pool,no-image",,,,,,,,True,,,,Skimmer Extension Collar 1-1/4in; Gray- 25526-201-000,,,True,CUSTOM MOLDED PRODUCTS INC. 25526-201-000,None,5,deny,,Skimmer Extension Collar 1-1/4in; Gray- 25526-201-000 None,,6.25,,25526-201-000,manual
,,,,Part Number,"Gunite Pool Main Drain (2in Thread SO, 2in Thread BO) Galaxy; Black- 25519-004-000",,CUS_25519-004-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"drain,pool,unit,residential,wholegood,no-image",,,,,,,,True,,,,"Gunite Pool Main Drain (2in Thread SO, 2in Thread BO) Galaxy; Black- 25519-004-000",,,True,CUSTOM MOLDED PRODUCTS INC. 25519-004-000,None,5,deny,,"Gunite Pool Main Drain (2in Thread SO, 2in Thread BO) Galaxy; Black- 25519-004-000 None",,23.68,,25519-004-000,manual
,,,,Part Number,In-Ground Spa Top Draw Air Control; Dark Blue- 25098-069-000,,CUS_25098-069-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"spa,residential,wholegood,pool,no-image",,,,,,,,True,,,,In-Ground Spa Top Draw Air Control; Dark Blue- 25098-069-000,,,True,CUSTOM MOLDED PRODUCTS INC. 25098-069-000,None,5,deny,,In-Ground Spa Top Draw Air Control; Dark Blue- 25098-069-000 None,,8.06,,25098-069-000,manual
,,,,Part Number,Top Acs Auto Skmr WM Gasket- 25511-020-020,,CUS_25511-020-020,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"white goods,residential,wholegood,pool,no-image",,,,,,,,True,,,,Top Acs Auto Skmr WM Gasket- 25511-020-020,,,True,CUSTOM MOLDED PRODUCTS INC. 25511-020-020,None,5,deny,,Top Acs Auto Skmr WM Gasket- 25511-020-020 None,,6.55,,25511-020-020,manual
,,,,Part Number,"32"" Channel Drain Cover with Screws; White- 25506-320-800",,CUS_25506-320-800,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"cover,drain,residential,wholegood,pool,no-image",,,,,,,,True,,,,"32"" Channel Drain Cover with Screws; White- 25506-320-800",,,True,CUSTOM MOLDED PRODUCTS INC. 25506-320-800,None,5,deny,,"32"" Channel Drain Cover with Screws; White- 25506-320-800 None",,68.29,,25506-320-800,manual
,,,,Part Number,"Test Plug, Equalizer Suction- 25207-700-900",,CUS_25207-700-900,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"white goods,residential,wholegood,pool,no-image",,,,,,,,True,,,,"Test Plug, Equalizer Suction- 25207-700-900",,,True,CUSTOM MOLDED PRODUCTS INC. 25207-700-900,None,5,deny,,"Test Plug, Equalizer Suction- 25207-700-900 None",,43.29,,25207-700-900,manual
,,,,Part Number,"Gunite Wall Fitting, Threaded; Gray- 25550-001-060",,CUS_25550-001-060,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"unit,residential,wholegood,pool,no-image",,,,,,,,True,,,,"Gunite Wall Fitting, Threaded; Gray- 25550-001-060",,,True,CUSTOM MOLDED PRODUCTS INC. 25550-001-060,None,5,deny,,"Gunite Wall Fitting, Threaded; Gray- 25550-001-060 None",,3.71,,25550-001-060,manual
,,,,Part Number,Skimmer Winterizer Tube ING Pool- 25251-100-000,,CUS_25251-100-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"skimmer,pool,residential,wholegood,no-image",,,,,,,,True,,,,Skimmer Winterizer Tube ING Pool- 25251-100-000,,,True,CUSTOM MOLDED PRODUCTS INC. 25251-100-000,None,5,deny,,Skimmer Winterizer Tube ING Pool- 25251-100-000 None,,4.71,,25251-100-000,manual
,,,,Part Number,9in x 9in Grate Only VGB Pool Drain; Black- 25508-094-010,,CUS_25508-094-010,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"drain,grate,pool,residential,wholegood,no-image",,,,,,,,True,,,,9in x 9in Grate Only VGB Pool Drain; Black- 25508-094-010,,,True,CUSTOM MOLDED PRODUCTS INC. 25508-094-010,None,5,deny,,9in x 9in Grate Only VGB Pool Drain; Black- 25508-094-010 None,,27.52,,25508-094-010,manual
,,,,Part Number,1-1/2in Bath Pump Union;1-1/2in S;T-Gskt- 21021-008-000,,CUS_21021-008-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"white goods,residential,wholegood,pool,no-image",,,,,,,,True,,,,1-1/2in Bath Pump Union;1-1/2in S;T-Gskt- 21021-008-000,,,True,CUSTOM MOLDED PRODUCTS INC. 21021-008-000,None,5,deny,,1-1/2in Bath Pump Union;1-1/2in S;T-Gskt- 21021-008-000 None,,3.64,,21021-008-000,manual
,,,,Part Number,Cycolac Escutcheon; Tan- 25572-009-000,,CUS_25572-009-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"white goods,residential,wholegood,pool,no-image",,,,,,,,True,,,,Cycolac Escutcheon; Tan- 25572-009-000,,,True,CUSTOM MOLDED PRODUCTS INC. 25572-009-000,None,5,deny,,Cycolac Escutcheon; Tan- 25572-009-000 None,,2.6,,25572-009-000,manual
,,,,Part Number,"7-3/4"" Galaxy Drain Cover with Screw Pack; Black- 25507-004-000",,CUS_25507-004-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"cover,drain,residential,wholegood,pool,no-image",,,,,,,,True,,,,"7-3/4"" Galaxy Drain Cover with Screw Pack; Black- 25507-004-000",,,True,CUSTOM MOLDED PRODUCTS INC. 25507-004-000,None,5,deny,,"7-3/4"" Galaxy Drain Cover with Screw Pack; Black- 25507-004-000 None",,7.25,,25507-004-000,manual
,,,,Part Number,12in x 12in Grate Only VGB Pool Drain; White- 25508-120-011,,CUS_25508-120-011,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"drain,grate,pool,residential,wholegood,no-image",,,,,,,,True,,,,12in x 12in Grate Only VGB Pool Drain; White- 25508-120-011,,,True,CUSTOM MOLDED PRODUCTS INC. 25508-120-011,None,5,deny,,12in x 12in Grate Only VGB Pool Drain; White- 25508-120-011 None,,42.04,,25508-120-011,manual
,,,,Part Number,"Vinyl/Fiberglass Main Drain (SO;BO) Galaxy, 2Pack; Light Blue- 25515-059-200",,CUS_25515-059-200,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"drain,residential,wholegood,pool,no-image",,,,,,,,True,,,,"Vinyl/Fiberglass Main Drain (SO;BO) Galaxy, 2Pack; Light Blue- 25515-059-200",,,True,CUSTOM MOLDED PRODUCTS INC. 25515-059-200,None,5,deny,,"Vinyl/Fiberglass Main Drain (SO;BO) Galaxy, 2Pack; Light Blue- 25515-059-200 None",,55.69,,25515-059-200,manual
,,,,Part Number,175 GPM Fiberglass Pool Suction Cover Only (VGB); Gray- 25215-001-003,,CUS_25215-001-003,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"cover,pool,residential,wholegood,no-image",,,,,,,,True,,,,175 GPM Fiberglass Pool Suction Cover Only (VGB); Gray- 25215-001-003,,,True,CUSTOM MOLDED PRODUCTS INC. 25215-001-003,None,5,deny,,175 GPM Fiberglass Pool Suction Cover Only (VGB); Gray- 25215-001-003 None,,8.7,,25215-001-003,manual
,,,,Part Number,Barb Adptr(3/4in Spg x 3/4in RB)- 21032-000-000,,CUS_21032-000-000,,shopify,,,White Goods,,,CUSTOM MOLDED PRODUCTS INC.,,"white goods,residential,wholegood,pool,no-image",,,,,,,,True,,,,Barb Adptr(3/4in Spg x 3/4in RB)- 21032-000-000,,,True,CUSTOM MOLDED PRODUCTS INC. 21032-000-000,None,5,deny,,Barb Adptr(3/4in Spg x 3/4in RB)- 21032-000-000 None,,1.95,,21032-000-000,manual
