Image Src,Gift Card,Variant Compare At Price,Option2 Name,Option1 Name,Title,Option3 Name,Variant SKU,Google Shopping / Custom Product,Variant Inventory Tracker,Variant Taxable,Google Shopping / AdWords Grouping,Type,Google Shopping / MPN,Image Alt Text,Vendor,Variant Image,Tags,Google Shopping / Custom Label 3,Google Shopping / Custom Label 2,Variant Grams,Google Shopping / Custom Label 0,Google Shopping / Custom Label 4,Google Shopping / Age Group,Google Shopping / Custom Label 1,Variant Requires Shipping,Google Shopping / Google Product Category,Variant Weight Unit,Google Shopping / AdWords Labels,SEO Title,Google Shopping / Condition,Body(HTML),Published,Handle,Variant Barcode,Variant Inventory Qty,Variant Inventory Policy,Option3 Value,SEO Description,Google Shopping / Gender,Variant Price,Option2 Value,Option1 Value,Variant Fulfillment Service
,,,,Part Number,LED Light Up Pals (16 pc dsply; 2 pck duck/dolphin) 32 Per Case- 3592-PDQ,,GAM_3592-PDQ,,shopify,,,Accessories,,,GAME,,"no-cat,no-image",,,,,,,,True,,,,LED Light Up Pals (16 pc dsply; 2 pck duck/dolphin) 32 Per Case- 3592-PDQ,,,True,GAME 3592-PDQ,None,5,deny,,LED Light Up Pals (16 pc dsply; 2 pck duck/dolphin) 32 Per Case- 3592-PDQ None,,6.42,,3592-PDQ,manual
,,,,Part Number,Underwater Light Show & Fountain 4 Per Case- 3567-4MP,,GAM_3567-4MP,,shopify,,,Accessories,,,GAME,,"no-cat,no-image",,,,,,,,True,,None,,Underwater Light Show & Fountain 4 Per Case- 3567-4MP,,,True,GAME 3567-4MP,712910035675,5,deny,,Underwater Light Show & Fountain 4 Per Case- 3567-4MP None,,30.97,,3567-4MP,manual
https://optimax.optimusparts.com/_assets/images/items/3300-26.jpg,,,,Part Number,Derby Dolphin Brominator 12 Per Case- 1800,,GAM_1800,,shopify,,,Sanitization,,GAM_1800,GAME,,"feeders | chlorinators | santizers,residential,part,pool,has-image",,,,,,,,True,,None,,Derby Dolphin Brominator 12 Per Case- 1800,,,True,GAME 1800,712910018005,5,deny,,Derby Dolphin Brominator 12 Per Case- 1800 DERBY DOLPHIN BROMINATOR,,8.02,,1800,manual
https://optimax.optimusparts.com/_assets/images/items/3300-24.jpg,,,,Part Number,Derby Dolphin Mid Size Chlorinator 6 Per Case- 1003,,GAM_1003,,shopify,,,Sanitization,,GAM_1003,GAME,,"feeders | chlorinators | santizers,residential,part,pool,has-image",,,,,,,,True,,None,,Derby Dolphin Mid Size Chlorinator 6 Per Case- 1003,,,True,GAME 1003,712910010030,5,deny,,Derby Dolphin Mid Size Chlorinator 6 Per Case- 1003 OBSOLETE CHLORINATOR,,10.57,,1003,manual
https://optimax.optimusparts.com/_assets/images/items/3300-23.jpg,,,,Part Number,Derby Dolphin Pool Chlorinator 6 Per Case- 1002,,GAM_1002,,shopify,,,Sanitization,,GAM_1002,GAME,,"pool,residential,part,has-image",,,,,,,,True,,None,,Derby Dolphin Pool Chlorinator 6 Per Case- 1002,,,True,GAME 1002,712910010023,5,deny,,Derby Dolphin Pool Chlorinator 6 Per Case- 1002 DERBY DOLPHIN FLOATING CHLORINATOR,,15.02,,1002,manual
,,,,Part Number,"Filter Pump Hose for #4511, 3/4 HP System (32)- 4P6002",,GAM_4P6002,,shopify,,,Filters,,,GAME,,"filters,residential,part,pool,no-image",,,,,,,,True,,None,,"Filter Pump Hose for #4511, 3/4 HP System (32)- 4P6002",,,True,GAME 4P6002,712910460026,5,deny,,"Filter Pump Hose for #4511, 3/4 HP System (32)- 4P6002 None",,8.02,,4P6002,manual
,,,,Part Number,"Inflatable 5ft Derby Duck Promotional use - NOT A TOY, NOT FOR RESALE- 156-M",,GAM_156-M,,shopify,,,Accessories,,,GAME,,"no-cat,no-image",,,,,,,,True,,None,,"Inflatable 5ft Derby Duck Promotional use - NOT A TOY, NOT FOR RESALE- 156-M",,,True,GAME 156-M,712910001564,5,deny,,"Inflatable 5ft Derby Duck Promotional use - NOT A TOY, NOT FOR RESALE- 156-M None",,48.82,,156-M,manual
,,,,Part Number,- 4376,,GAM_4376,,shopify,,,Deck Accessories,,,GAME,,"accessories,equipment,residential,wholegood,pool,no-image",,,,,,,,True,,None,,- 4376,,,True,GAME 4376,712910043762,5,deny,,- 4376 None,,243.95,,4376,manual
,,,,Part Number,Surface skimmer Hose 6 Per Case- 4570,,GAM_4570,,shopify,,,Accessories,,,GAME,,"no-cat,no-image",,,,,,,,True,,,,Surface skimmer Hose 6 Per Case- 4570,,,True,GAME 4570,None,5,deny,,Surface skimmer Hose 6 Per Case- 4570 None,,9.29,,4570,manual
,,,,Part Number,Air Release Valve 6 Per Case- 4571,,GAM_4571,,shopify,,,Accessories,,,GAME,,"no-cat,no-image",,,,,,,,True,,,,Air Release Valve 6 Per Case- 4571,,,True,GAME 4571,None,5,deny,,Air Release Valve 6 Per Case- 4571 None,,7.38,,4571,manual
