Image Src,Gift Card,Variant Compare At Price,Option2 Name,Option1 Name,Title,Option3 Name,Variant SKU,Google Shopping / Custom Product,Variant Inventory Tracker,Variant Taxable,Google Shopping / AdWords Grouping,Type,Google Shopping / MPN,Image Alt Text,Vendor,Variant Image,Tags,Google Shopping / Custom Label 3,Google Shopping / Custom Label 2,Variant Grams,Google Shopping / Custom Label 0,Google Shopping / Custom Label 4,Google Shopping / Age Group,Google Shopping / Custom Label 1,Variant Requires Shipping,Google Shopping / Google Product Category,Variant Weight Unit,Google Shopping / AdWords Labels,SEO Title,Google Shopping / Condition,Body(HTML),Published,Handle,Variant Barcode,Variant Inventory Qty,Variant Inventory Policy,Option3 Value,SEO Description,Google Shopping / Gender,Variant Price,Option2 Value,Option1 Value,Variant Fulfillment Service
https://s3-us-west-1.amazonaws.com/oppics/full/HAY/HAY_SPX3207C.jpg,,,,Part Number,"IMPELLER ""/1 HP W/IMPELLER SCREW- SPX3207C",,HAY_SPX3207C,,shopify,,,Heat Pumps,,SPX3207C,Hayward,,"residential,part,pool,Hayward,has-image",,,,,,,,True,,None,,"IMPELLER ""/1 HP W/IMPELLER SCREW- SPX3207C",,,True,Hayward SPX3207C,610377912099,5,deny,,"IMPELLER ""/1 HP W/IMPELLER SCREW- SPX3207C IMPELLER ""/1 HP W/IMPELLER SCREW",,29.38,,SPX3207C,manual
,,,,Part Number,"G/2"" BF STD FLG TXT PVC FPM MPQ Qty 36- BFA1005TFS",,HAY_BFA1005TFS,,shopify,,,White Goods,,,Hayward,,"residential,miscellaneous,plumbing,pvc,part,pool,Hayward,no-image",,,,,,,,True,,None,,"G/2"" BF STD FLG TXT PVC FPM MPQ Qty 36- BFA1005TFS",,,True,Hayward BFA1005TFS,610377089456,5,deny,,"G/2"" BF STD FLG TXT PVC FPM MPQ Qty 36- BFA1005TFS None",,25.7,,BFA1005TFS,manual
,,,,Part Number,COMFORTZONE C-SPA XI ELECTRIC SPA/HOT TUB HEATER- CSPAXI11,,HAY_CSPAXI11,,shopify,,,Heaters,,,Hayward,,"electric,wholegood,residential,part,spa,pool,Hayward,no-image",,,,,,,,True,,None,,COMFORTZONE C-SPA XI ELECTRIC SPA/HOT TUB HEATER- CSPAXI11,,,True,Hayward CSPAXI11,610377003957,5,deny,,COMFORTZONE C-SPA XI ELECTRIC SPA/HOT TUB HEATER- CSPAXI11 None,,639.81,,CSPAXI11,manual
,,,,Part Number,- SPX3205Z1BER,,HAY_SPX3205Z1BER,,shopify,,,Motors,,,Hayward,,"residential,part,pool,Hayward,no-image",,,,,,,,True,,None,,- SPX3205Z1BER,,,True,Hayward SPX3205Z1BER,610377006217,5,deny,,- SPX3205Z1BER None,,277.87,,SPX3205Z1BER,manual
,,,,Part Number,- SPX3215X20Z1PE,,HAY_SPX3215X20Z1PE,,shopify,,,Heat Pumps,,,Hayward,,"residential,part,pool,Hayward,no-image",,,,,,,,True,,None,,- SPX3215X20Z1PE,,,True,Hayward SPX3215X20Z1PE,610377013451,5,deny,,- SPX3215X20Z1PE None,,421.82,,SPX3215X20Z1PE,manual
,,,,Part Number,- SPX0710R,,HAY_SPX0710R,,shopify,,,Filters,,,Hayward,,"residential,part,pool,Hayward,no-image",,,,,,,,True,,None,,- SPX0710R,,,True,Hayward SPX0710R,610377034838,5,deny,,- SPX0710R None,,2.57,,SPX0710R,manual
https://s3-us-west-1.amazonaws.com/oppics/full/HAY/HAY_DE3600BT.jpg,,,,Part Number,OBSOLETE FILTER HEAD MODEL DEX3600- DE3600BT,,HAY_DE3600BT,,shopify,,,Filters,,DE3600BT,Hayward,,"residential,part,pool,Hayward,has-image",,,,,,,,True,,,,OBSOLETE FILTER HEAD MODEL DEX3600- DE3600BT,,,True,Hayward DE3600BT,None,0,deny,,OBSOLETE FILTER HEAD MODEL DEX3600- DE3600BT OBSOLETE FILTER HEAD MODEL DEX3600,,None,,DE3600BT,manual
,,,,Part Number,SCREW-1/4-20X1 1/4 PACK OF 5- RCX4208,,HAY_RCX4208,,shopify,,,Cleaners,,,Hayward,,"residential,part,pool,Hayward,no-image",,,,,,,,True,,,,SCREW-1/4-20X1 1/4 PACK OF 5- RCX4208,,,True,Hayward RCX4208,None,5,deny,,SCREW-1/4-20X1 1/4 PACK OF 5- RCX4208 None,,4.38,,RCX4208,manual
,,,,Part Number,"SIMPLEX BS,2 1/2"" SOC,PVC,EPDM- SB1250SE",,HAY_SB1250SE,,shopify,,,White Goods,,,Hayward,,"residential,pvc,part,pool,Hayward,no-image",,,,,,,,True,,None,,"SIMPLEX BS,2 1/2"" SOC,PVC,EPDM- SB1250SE",,,True,Hayward SB1250SE,6.10E+11,0,deny,,"SIMPLEX BS,2 1/2"" SOC,PVC,EPDM- SB1250SE None",,None,,SB1250SE,manual
https://s3-us-west-1.amazonaws.com/oppics/full/HAY/HAY_W400ALGP.jpg,,,,Part Number,"OBSOLETE HAYWARD SAFETY VAC LOCK, GRAY- W400ALGP",,HAY_W400ALGP,,shopify,,,Automation,,W400ALGP,Hayward,,"control,residential,controller,part,pool,Hayward,has-image",,,,,,,,True,,,,"OBSOLETE HAYWARD SAFETY VAC LOCK, GRAY- W400ALGP",,,True,Hayward W400ALGP,None,0,deny,,"OBSOLETE HAYWARD SAFETY VAC LOCK, GRAY- W400ALGP OBSOLETE HAYWARD SAFETY VAC LOCK, GRAY",,None,,W400ALGP,manual
,,,,Part Number,"CONTROL-BASE,ONCOM,GVA-24- ONCOM-ACT",,HAY_ONCOM-ACT,,shopify,,,Automation,,,Hayward,,"control,wholegood,residential,controller,part,spa,pool,Hayward,no-image",,,,,,,,True,,None,,"CONTROL-BASE,ONCOM,GVA-24- ONCOM-ACT",,,True,Hayward ONCOM-ACT,761418013500,5,deny,,"CONTROL-BASE,ONCOM,GVA-24- ONCOM-ACT None",,582.86,,ONCOM-ACT,manual
,,,,Part Number,- PVCHK1900WH,,HAY_PVCHK1900WH,,shopify,,,Cleaners,,,Hayward,,"residential,part,pool,Hayward,no-image",,,,,,,,True,,None,,- PVCHK1900WH,,,True,Hayward PVCHK1900WH,610377270717,5,deny,,- PVCHK1900WH None,,160.53,,PVCHK1900WH,manual
https://s3-us-west-1.amazonaws.com/oppics/full/HAY/HAY_SPX1082N2.jpg,,,,Part Number,HANDLE- SPX1082N2,,HAY_SPX1082N2,,shopify,,,White Goods,,SPX1082N2,Hayward,,"flow fitting,skimmer,residential,part,pool,Hayward,has-image",,,,,,,,True,,None,,HANDLE- SPX1082N2,,,True,Hayward SPX1082N2,610377036993,5,deny,,"HANDLE- SPX1082N2 HANDLE, BASKET ",,3.53,,SPX1082N2,manual
,,,,Part Number,- SPX0710C,,HAY_SPX0710C,,shopify,,,Filters,,,Hayward,,"residential,accessories,part,pool,Hayward,no-image",,,,,,,,True,,None,,- SPX0710C,,,True,Hayward SPX0710C,,5,deny,,- SPX0710C None,,18.04,,SPX0710C,manual
,,,,Part Number,VALVE SEAT GASKET- SPX0710D,,HAY_SPX0710D,,shopify,,,Valves,,,Hayward,,"residential,valve,accessories,filter,part,gasket,pool,Hayward,no-image",,,,,,,,True,,None,,VALVE SEAT GASKET- SPX0710D,,,True,Hayward SPX0710D,610377034753,5,deny,,VALVE SEAT GASKET- SPX0710D None,,14.04,,SPX0710D,manual
,,,,Part Number,UCL 140W XFMR CONV KIT IMTC JBOX- LRBUY11M13,,HAY_LRBUY11M13,,shopify,,,Lighting,,,Hayward,,"wholegood,light,auto controller,kit,part,lighting,residential,spa,pool,Hayward,no-image",,,,,,,,True,,None,,UCL 140W XFMR CONV KIT IMTC JBOX- LRBUY11M13,,,True,Hayward LRBUY11M13,610377177177,5,deny,,UCL 140W XFMR CONV KIT IMTC JBOX- LRBUY11M13 None,,103.63,,LRBUY11M13,manual
,,,,Part Number,- 896584000-235,,HAY_896584000-235,,shopify,,,Cleaners,,,Hayward,,"residential,part,pool,Hayward,no-image",,,,,,,,True,,None,,- 896584000-235,,,True,Hayward 896584000-235,896584000235,5,deny,,- 896584000-235 None,,12.04,,896584000-235,manual
