Image Src,Gift Card,Variant Compare At Price,Option2 Name,Option1 Name,Title,Option3 Name,Variant SKU,Google Shopping / Custom Product,Variant Inventory Tracker,Variant Taxable,Google Shopping / AdWords Grouping,Type,Google Shopping / MPN,Image Alt Text,Vendor,Variant Image,Tags,Google Shopping / Custom Label 3,Google Shopping / Custom Label 2,Variant Grams,Google Shopping / Custom Label 0,Google Shopping / Custom Label 4,Google Shopping / Age Group,Google Shopping / Custom Label 1,Variant Requires Shipping,Google Shopping / Google Product Category,Variant Weight Unit,Google Shopping / AdWords Labels,SEO Title,Google Shopping / Condition,Body(HTML),Published,Handle,Variant Barcode,Variant Inventory Qty,Variant Inventory Policy,Option3 Value,SEO Description,Google Shopping / Gender,Variant Price,Option2 Value,Option1 Value,Variant Fulfillment Service
,,,,Part Number,Needle Bearing Race (small)- 615,,ODY_615,,shopify,,,Covers,,,Odyssey,,"covers,residential,part,pool,no-image",,,,,,,,True,,None,,Needle Bearing Race (small)- 615,,,True,Odyssey 615,,5,deny,,Needle Bearing Race (small)- 615 None,,14.5,,615,manual
,,,,Part Number,- M818W,,ODY_M818W,,shopify,,,Covers,,,Odyssey,,"covers,residential,wholegood,pool,no-image",,,,,,,,True,,None,,- M818W,,,True,Odyssey M818W,,5,deny,,- M818W None,,325.31,,M818W,manual
,,,,Part Number,Base Plate- 540,,ODY_540,,shopify,,,Covers,,,Odyssey,,"covers,residential,wholegood,pool,no-image",,,,,,,,True,,,,Base Plate- 540,,,True,Odyssey 540,None,5,deny,,Base Plate- 540 None,,10.52,,540,manual
,,,,Part Number,Quick Clip Cover Plate (50/pkg.)- 616,,ODY_616,,shopify,,,Covers,,,Odyssey,,"covers,residential,part,pool,no-image",,,,,,,,True,,None,,Quick Clip Cover Plate (50/pkg.)- 616,,,True,Odyssey 616,,5,deny,,Quick Clip Cover Plate (50/pkg.)- 616 None,,76.0,,616,manual
,,,,Part Number,- 532W,,ODY_532W,,shopify,,,Covers,,,Odyssey,,"covers,residential,part,pool,no-image",,,,,,,,True,,None,,- 532W,,,True,Odyssey 532W,,5,deny,,- 532W None,,21.94,,532W,manual
,,,,Part Number,M700S2 Complete Parts Kit- 108,,ODY_108,,shopify,,,Covers,,,Odyssey,,"residential,wholegood,pool,no-image",,,,,,,,True,,,,M700S2 Complete Parts Kit- 108,,,True,Odyssey 108,None,5,deny,,M700S2 Complete Parts Kit- 108 None,,44.5,,108,manual
,,,,Part Number,Set Collar- 519,,ODY_519,,shopify,,,Covers,,,Odyssey,,"covers,residential,part,pool,no-image",,,,,,,,True,,None,,Set Collar- 519,,,True,Odyssey 519,,5,deny,,Set Collar- 519 None,,7.45,,519,manual
,,,,Part Number,"3/4"" Nylon roller- 450",,ODY_450,,shopify,,,Covers,,,Odyssey,,"covers,residential,part,pool,no-image",,,,,,,,True,,None,,"3/4"" Nylon roller- 450",,,True,Odyssey 450,,5,deny,,"3/4"" Nylon roller- 450 None",,1.48,,450,manual
,,,,Part Number,Base Bolt- 411,,ODY_411,,shopify,,,Covers,,,Odyssey,,"covers,residential,part,pool,no-image",,,,,,,,True,,None,,Base Bolt- 411,,,True,Odyssey 411,,5,deny,,Base Bolt- 411 None,,1.38,,411,manual
,,,,Part Number,"Casters - 3"" (individual)- 455",,ODY_455,,shopify,,,Covers,,,Odyssey,,"covers,residential,wholegood,pool,no-image",,,,,,,,True,,,,"Casters - 3"" (individual)- 455",,,True,Odyssey 455,None,5,deny,,"Casters - 3"" (individual)- 455 None",,10.52,,455,manual
