Image Src,Gift Card,Variant Compare At Price,Option2 Name,Option1 Name,Title,Option3 Name,Variant SKU,Google Shopping / Custom Product,Variant Inventory Tracker,Variant Taxable,Google Shopping / AdWords Grouping,Type,Google Shopping / MPN,Image Alt Text,Vendor,Variant Image,Tags,Google Shopping / Custom Label 3,Google Shopping / Custom Label 2,Variant Grams,Google Shopping / Custom Label 0,Google Shopping / Custom Label 4,Google Shopping / Age Group,Google Shopping / Custom Label 1,Variant Requires Shipping,Google Shopping / Google Product Category,Variant Weight Unit,Google Shopping / AdWords Labels,SEO Title,Google Shopping / Condition,Body(HTML),Published,Handle,Variant Barcode,Variant Inventory Qty,Variant Inventory Policy,Option3 Value,SEO Description,Google Shopping / Gender,Variant Price,Option2 Value,Option1 Value,Variant Fulfillment Service
,,,,Part Number,Base Assy - 20157802,,PEN_20157802,,shopify,,,Accessories,,,Pentair,,"no-cat,no-image",,,,,,,,True,,,,Base Assy - 20157802,,,True,Pentair 20157802,788379823290,5,deny,,Base Assy - 20157802 None,,772.3,,20157802,manual
,,,,Part Number,"Nipple, 3/4 x close - P0014100",,PEN_P0014100,,shopify,,,Accessories,,,Pentair,,"no-cat,no-image",,,,,,,,True,,,,"Nipple, 3/4 x close - P0014100",,,True,Pentair P0014100,788379844448,5,deny,,"Nipple, 3/4 x close - P0014100 None",,4.04,,P0014100,manual
,,,,Part Number,"LATERAL 3-DIV 26"" FLT - 55025800",,PEN_55025800,,shopify,,,Filters,,,Pentair,,"part,residential,pool,no-image",,,,,,,,True,,None,,"LATERAL 3-DIV 26"" FLT - 55025800",,,True,Pentair 55025800,788379678029,5,deny,,"LATERAL 3-DIV 26"" FLT - 55025800 None",,5.38,,55025800,manual
,,,,Part Number,BASKET LILY SPECIAL LOW FLOW RESTRICTOR PLATE DG- R172661CA,,PEN_R172661CA,,shopify,,,Accessories,,,Pentair,,"no-cat,no-image",,,,,,,,True,,,,BASKET LILY SPECIAL LOW FLOW RESTRICTOR PLATE DG- R172661CA,,,True,Pentair R172661CA,788379708351,5,deny,,BASKET LILY SPECIAL LOW FLOW RESTRICTOR PLATE DG- R172661CA None,,11.23,,R172661CA,manual
,,,,Part Number,Base Assy - 20157806,,PEN_20157806,,shopify,,,Accessories,,,Pentair,,"no-cat,no-image",,,,,,,,True,,,,Base Assy - 20157806,,,True,Pentair 20157806,788379823337,5,deny,,Base Assy - 20157806 None,,899.31,,20157806,manual
,,,,Part Number,"BULKHD ASY 2""TR - 154714",,PEN_154714,,shopify,,,Filters,,,Pentair,,"part,residential,pool,no-image",,,,,,,,True,,None,,"BULKHD ASY 2""TR - 154714",,,True,Pentair 154714,788379669430,5,deny,,"BULKHD ASY 2""TR - 154714 None",,85.48,,154714,manual
,,,,Part Number,GSKT SAND DRN - 154715,,PEN_154715,,shopify,,,Filters,,,Pentair,,"sand,part,residential,pool,no-image",,,,,,,,True,,None,,GSKT SAND DRN - 154715,,,True,Pentair 154715,788379703936,5,deny,,GSKT SAND DRN - 154715 None,,4.12,,154715,manual
,,,,Part Number,SCR SELF TAPPING HH - 154716,,PEN_154716,,shopify,,,Accessories,,,Pentair,,"no-cat,no-image",,,,,,,,True,,,,SCR SELF TAPPING HH - 154716,,,True,Pentair 154716,788379722425,5,deny,,SCR SELF TAPPING HH - 154716 None,,1.41,,154716,manual
,,,,Part Number,SAND DRN - 154711,,PEN_154711,,shopify,,,Accessories,,,Pentair,,"no-cat,no-image",,,,,,,,True,,,,SAND DRN - 154711,,,True,Pentair 154711,788379703912,5,deny,,SAND DRN - 154711 None,,10.21,,154711,manual
,,,,Part Number,CAP DRN FLT - 154712,,PEN_154712,,shopify,,,Filters,,,Pentair,,"part,residential,pool,no-image",,,,,,,,True,,None,,CAP DRN FLT - 154712,,,True,Pentair 154712,788379703929,5,deny,,CAP DRN FLT - 154712 None,,17.23,,154712,manual
