Image Src,Gift Card,Variant Compare At Price,Option2 Name,Option1 Name,Title,Option3 Name,Variant SKU,Google Shopping / Custom Product,Variant Inventory Tracker,Variant Taxable,Google Shopping / AdWords Grouping,Type,Google Shopping / MPN,Image Alt Text,Vendor,Variant Image,Tags,Google Shopping / Custom Label 3,Google Shopping / Custom Label 2,Variant Grams,Google Shopping / Custom Label 0,Google Shopping / Custom Label 4,Google Shopping / Age Group,Google Shopping / Custom Label 1,Variant Requires Shipping,Google Shopping / Google Product Category,Variant Weight Unit,Google Shopping / AdWords Labels,SEO Title,Google Shopping / Condition,Body(HTML),Published,Handle,Variant Barcode,Variant Inventory Qty,Variant Inventory Policy,Option3 Value,SEO Description,Google Shopping / Gender,Variant Price,Option2 Value,Option1 Value,Variant Fulfillment Service
https://s3-us-west-1.amazonaws.com/oppics/full/UNI/UNI_C-5371.jpg,,,,Part Number,"FILTER CARTRIDGE, 75 SQ.FT., 5-3/16"" DIA, 23-1/4"" LONG, UNICEL- C-5371",,UNI_C-5371,,shopify,,,Filters,,C-5371,Unicel,,"cartridge,residential,part,pool,has-image",,,,,,,,True,,None,,"FILTER CARTRIDGE, 75 SQ.FT., 5-3/16"" DIA, 23-1/4"" LONG, UNICEL- C-5371",,,True,Unicel C-5371,678285150095,5,deny,,"FILTER CARTRIDGE, 75 SQ.FT., 5-3/16"" DIA, 23-1/4"" LONG, UNICEL- C-5371 FILTER CARTRIDGE, 75 SQ.FT., 5-3/16"" DIA, 23-1/4"" LONG, UNICEL",,51.95,,C-5371,manual
https://s3-us-west-1.amazonaws.com/oppics/full/UNI/UNI_C-5376.jpg,,,,Part Number,"75 SQ.FT., SEASONMASTER REPL., Qty per Case or Pallet 1- C-5376",,UNI_C-5376,,shopify,,,Filters,,C-5376,Unicel,,"part,has-image",,,,,,,,True,,,,"75 SQ.FT., SEASONMASTER REPL., Qty per Case or Pallet 1- C-5376",,,True,Unicel C-5376,None,5,deny,,"75 SQ.FT., SEASONMASTER REPL., Qty per Case or Pallet 1- C-5376 FILTER CARTRIDGE, 75 SQ. FT., 5-7/8"" DIA, 19-1/4"" LONG, UNICEL",,40.02,,C-5376,manual
,,,,Part Number,"SEP BAG, DOUBLE PLY, PAC FAB #60- SB-0060",,UNI_SB-0060,,shopify,,,Filters,,,Unicel,,"part,no-image",,,,,,,,True,,,,"SEP BAG, DOUBLE PLY, PAC FAB #60- SB-0060",,,True,Unicel SB-0060,None,5,deny,,"SEP BAG, DOUBLE PLY, PAC FAB #60- SB-0060 None",,50.71,,SB-0060,manual
https://s3-us-west-1.amazonaws.com/oppics/full/UNI/UNI_5CH-402.jpg,,,,Part Number,"40 SQ.FT., 10-3/4"", W/2"" MPT, Qty per Case or Pallet 6- 5CH-402",,UNI_5CH-402,,shopify,,,Filters,,5CH-402,Unicel,,"filters,residential,part,pool,has-image",,,,,,,,True,,None,,"40 SQ.FT., 10-3/4"", W/2"" MPT, Qty per Case or Pallet 6- 5CH-402",,,True,Unicel 5CH-402,678285250030,5,deny,,"40 SQ.FT., 10-3/4"", W/2"" MPT, Qty per Case or Pallet 6- 5CH-402 FILTER CARTRIDGE, 40 SQ FT, W/2"" MPT, 5-3/16"" DIA, 10-3/4"" LONG, UNICEL",,23.09,,5CH-402,manual
,,,,Part Number,"75 SQ.FT. AQUATEMP REPL., Qty per Case or Pallet 1- C-7620",,UNI_C-7620,,shopify,,,Filters,,,Unicel,,"part,no-image",,,,,,,,True,,,,"75 SQ.FT. AQUATEMP REPL., Qty per Case or Pallet 1- C-7620",,,True,Unicel C-7620,None,5,deny,,"75 SQ.FT. AQUATEMP REPL., Qty per Case or Pallet 1- C-7620 None",,57.64,,C-7620,manual
https://s3-us-west-1.amazonaws.com/oppics/full/UNI/UNI_C-7626.jpg,,,,Part Number,"25 SQ.FT. HAYWARD CX250-RE REP, Qty per Case or Pallet 1- C-7626",,UNI_C-7626,,shopify,,,Filters,,C-7626,Unicel,,"filters,residential,part,pool,has-image",,,,,,,,True,,None,,"25 SQ.FT. HAYWARD CX250-RE REP, Qty per Case or Pallet 1- C-7626",,,True,Unicel C-7626,678285170802,5,deny,,"25 SQ.FT. HAYWARD CX250-RE REP, Qty per Case or Pallet 1- C-7626 FILTER CARTRIDGE,  25 SQ FT, 7"" DIA, 9-13/16"" LONG",,20.91,,C-7626,manual
https://s3-us-west-1.amazonaws.com/oppics/full/UNI/UNI_C-7624.jpg,,,,Part Number,"FILTER CARTRIDGE, 25 SQ.FT., 7"" DIA, 9-13/16"" LONG, UNICEL- C-7624",,UNI_C-7624,,shopify,,,Filters,,C-7624,Unicel,,"part,has-image",,,,,,,,True,,,,"FILTER CARTRIDGE, 25 SQ.FT., 7"" DIA, 9-13/16"" LONG, UNICEL- C-7624",,,True,Unicel C-7624,None,0,deny,,"FILTER CARTRIDGE, 25 SQ.FT., 7"" DIA, 9-13/16"" LONG, UNICEL- C-7624 FILTER CARTRIDGE, 25 SQ.FT., 7"" DIA, 9-13/16"" LONG, UNICEL",,None,,C-7624,manual
https://s3-us-west-1.amazonaws.com/oppics/full/UNI/UNI_C-7625.jpg,,,,Part Number,"25 SQ.FT. AMER/SQUIP/PREM REPL, Qty per Case or Pallet 1- C-7625",,UNI_C-7625,,shopify,,,Filters,,C-7625,Unicel,,"filters,residential,part,pool,has-image",,,,,,,,True,,None,,"25 SQ.FT. AMER/SQUIP/PREM REPL, Qty per Case or Pallet 1- C-7625",,,True,Unicel C-7625,678285170796,5,deny,,"25 SQ.FT. AMER/SQUIP/PREM REPL, Qty per Case or Pallet 1- C-7625 FILTER CARTRIDGE, 25 SQ.FT., 7"" DIA, 9-13/16"" LONG, UNICEL",,26.16,,C-7625,manual
,,,,Part Number,*Discontinued use C-8419- C-8421,,UNI_C-8421,,shopify,,,Filters,,,Unicel,,"part,no-image",,,,,,,,True,,,,*Discontinued use C-8419- C-8421,,,True,Unicel C-8421,None,0,deny,,*Discontinued use C-8419- C-8421 None,,None,,C-8421,manual
https://s3-us-west-1.amazonaws.com/oppics/full/UNI/UNI_C-8420.jpg,,,,Part Number,"FILTER CARTRIDGE, 200 SQ FT, PROCLEAN, 8-15/16"" DIA, 28-3/16"" LONG, UNICEL- C-8420",,UNI_C-8420,,shopify,,,Filters,,C-8420,Unicel,,"cartridge,residential,part,pool,has-image",,,,,,,,True,,None,,"FILTER CARTRIDGE, 200 SQ FT, PROCLEAN, 8-15/16"" DIA, 28-3/16"" LONG, UNICEL- C-8420",,,True,Unicel C-8420,678285180351,5,deny,,"FILTER CARTRIDGE, 200 SQ FT, PROCLEAN, 8-15/16"" DIA, 28-3/16"" LONG, UNICEL- C-8420 FILTER CARTRIDGE, 200 SQ FT, PROCLEAN, 8-15/16"" DIA, 28-3/16"" LONG, UNICEL",,134.81,,C-8420,manual
