Image Src,Gift Card,Variant Compare At Price,Option2 Name,Option1 Name,Title,Option3 Name,Variant SKU,Google Shopping / Custom Product,Variant Inventory Tracker,Variant Taxable,Google Shopping / AdWords Grouping,Type,Google Shopping / MPN,Image Alt Text,Vendor,Variant Image,Tags,Google Shopping / Custom Label 3,Google Shopping / Custom Label 2,Variant Grams,Google Shopping / Custom Label 0,Google Shopping / Custom Label 4,Google Shopping / Age Group,Google Shopping / Custom Label 1,Variant Requires Shipping,Google Shopping / Google Product Category,Variant Weight Unit,Google Shopping / AdWords Labels,SEO Title,Google Shopping / Condition,Body(HTML),Published,Handle,Variant Barcode,Variant Inventory Qty,Variant Inventory Policy,Option3 Value,SEO Description,Google Shopping / Gender,Variant Price,Option2 Value,Option1 Value,Variant Fulfillment Service
,,,,Part Number,V26-360S - Dominator Pump Lid O-Ring N/S 2010 to Present,,VAL_V26-360S,,shopify,,,Pumps,,,Val-Pak,,"lid,val-pak,residential,o-ring,part,pool,val-pak,no-image",,,,,,,,True,,None,,V26-360S - Dominator Pump Lid O-Ring N/S 2010 to Present,,,True,Val-Pak V26-360S,811636021297,5,deny,,V26-360S - Dominator Pump Lid O-Ring N/S 2010 to Present None,,4.82,,V26-360S,manual
http://val-pakproducts.com/vpk/uploads/manifold-retainer-rod-NS36-21-and-a-half-inch-V36-136-510x600.jpg,,,,Part Number,"V36-136 - Manifold Retainer Rod NS36 - 21 1/2""",,VAL_V36-136,,shopify,,,Filters,,V36-136,Val-Pak,,"val-pak,residential,pac-fab,part,pool,val-pak,has-image",,,,,,,,True,,None,,"V36-136 - Manifold Retainer Rod NS36 - 21 1/2""",,,True,Val-Pak V36-136,811636022294,5,deny,,"V36-136 - Manifold Retainer Rod NS36 - 21 1/2"" None",,31.12,,V36-136,manual
,,,,Part Number,"91500200S - Trap Gasket 6"" & 8"" ",,VAL_91500200S,,shopify,,,Miscellaneous,,,Val-Pak,,"val-pak,residential,gas,part,gasket,pool access,pool,val-pak,no-image",,,,,,,,True,,None,,"91500200S - Trap Gasket 6"" & 8"" ",,,True,Val-Pak 91500200S,811636026421,5,deny,,"91500200S - Trap Gasket 6"" & 8""  None",,9.13,,91500200S,manual
,,,,Part Number,"V40-506-T3 - 3/4 HP Pump & Motor 60/50 Hz 5"" Trap 2"" Suction",,VAL_V40-506-T3,,shopify,,,Motors,,,Val-Pak,,"val-pak,residential,part,pool,val-pak,no-image",,,,,,,,True,,None,,"V40-506-T3 - 3/4 HP Pump & Motor 60/50 Hz 5"" Trap 2"" Suction",,,True,Val-Pak V40-506-T3,811636026742,5,deny,,"V40-506-T3 - 3/4 HP Pump & Motor 60/50 Hz 5"" Trap 2"" Suction None",,1049.09,,V40-506-T3,manual
,,,,Part Number,"11905000 - 1/2 HP 1-1/2"" Suction 5"" Trap",,VAL_11905000,,shopify,,,Pumps,,,Val-Pak,,"val-pak,residential,part,pool,val-pak,no-image",,,,,,,,True,,None,,"11905000 - 1/2 HP 1-1/2"" Suction 5"" Trap",,,True,Val-Pak 11905000,811636025103,5,deny,,"11905000 - 1/2 HP 1-1/2"" Suction 5"" Trap None",,681.5,,11905000,manual
,,,,Part Number,"91230000 - Trap Cover 5""",,VAL_91230000,,shopify,,,Covers,,,Val-Pak,,"val-pak,residential,cover,part,pool,val-pak,no-image",,,,,,,,True,,None,,"91230000 - Trap Cover 5""",,,True,Val-Pak 91230000,811636024977,5,deny,,"91230000 - Trap Cover 5"" None",,61.91,,91230000,manual
,,,,Part Number,"V30-503S - 1/4""-28 Brass Nut ",,VAL_V30-503S,,shopify,,,Miscellaneous,,,Val-Pak,,"val-pak,residential,part,pool access,pool,val-pak,no-image",,,,,,,,True,,None,,"V30-503S - 1/4""-28 Brass Nut ",,,True,Val-Pak V30-503S,811636021594,5,deny,,"V30-503S - 1/4""-28 Brass Nut  None",,5.06,,V30-503S,manual
http://val-pakproducts.com/vpk/uploads/american-products-return-fitting-dark-gray-one-inch-V20-400-510x600.jpg,,,,Part Number,"V20-400 - Return Fitting - Dark Gray 1""",,VAL_V20-400,,shopify,,,White Goods,,V20-400,Val-Pak,,"return,val-pak,residential,american products,american,part,pool,val-pak,has-image",,,,,,,,True,,None,,"V20-400 - Return Fitting - Dark Gray 1""",,,True,Val-Pak V20-400,811636024731,5,deny,,"V20-400 - Return Fitting - Dark Gray 1"" None",,4.31,,V20-400,manual
,,,,Part Number,V20-402 - 90 Degree Return Fitting - White,,VAL_V20-402,,shopify,,,White Goods,,,Val-Pak,,"return,val-pak,residential,part,pool,val-pak,no-image",,,,,,,,True,,None,,V20-402 - 90 Degree Return Fitting - White,,,True,Val-Pak V20-402,811636020795,5,deny,,V20-402 - 90 Degree Return Fitting - White None,,5.65,,V20-402,manual
,,,,Part Number,V20-403 - 90 Degree Return Fitting - Black,,VAL_V20-403,,shopify,,,White Goods,,,Val-Pak,,"return,val-pak,residential,part,pool,val-pak,no-image",,,,,,,,True,,None,,V20-403 - 90 Degree Return Fitting - Black,,,True,Val-Pak V20-403,811636024748,5,deny,,V20-403 - 90 Degree Return Fitting - Black None,,5.65,,V20-403,manual
,,,,Part Number,V20-404 - 90 Degree Return Fitting - Dark Gray,,VAL_V20-404,,shopify,,,White Goods,,,Val-Pak,,"return,val-pak,residential,part,pool,val-pak,no-image",,,,,,,,True,,None,,V20-404 - 90 Degree Return Fitting - Dark Gray,,,True,Val-Pak V20-404,811636024755,5,deny,,V20-404 - 90 Degree Return Fitting - Dark Gray None,,5.65,,V20-404,manual
,,,,Part Number,V20-405 - 90 Degree Return Fitting - Light Gray,,VAL_V20-405,,shopify,,,White Goods,,,Val-Pak,,"return,val-pak,residential,part,pool,val-pak,no-image",,,,,,,,True,,None,,V20-405 - 90 Degree Return Fitting - Light Gray,,,True,Val-Pak V20-405,811636024762,5,deny,,V20-405 - 90 Degree Return Fitting - Light Gray None,,5.65,,V20-405,manual
