Image Src,Gift Card,Variant Compare At Price,Option2 Name,Option1 Name,Title,Option3 Name,Variant SKU,Google Shopping / Custom Product,Variant Inventory Tracker,Variant Taxable,Google Shopping / AdWords Grouping,Type,Google Shopping / MPN,Image Alt Text,Vendor,Variant Image,Tags,Google Shopping / Custom Label 3,Google Shopping / Custom Label 2,Variant Grams,Google Shopping / Custom Label 0,Google Shopping / Custom Label 4,Google Shopping / Age Group,Google Shopping / Custom Label 1,Variant Requires Shipping,Google Shopping / Google Product Category,Variant Weight Unit,Google Shopping / AdWords Labels,SEO Title,Google Shopping / Condition,Body(HTML),Published,Handle,Variant Barcode,Variant Inventory Qty,Variant Inventory Policy,Option3 Value,SEO Description,Google Shopping / Gender,Variant Price,Option2 Value,Option1 Value,Variant Fulfillment Service
,,,,Part Number,- BS5205140-C25S,,WAT_BS5205140-C25S,,shopify,,,Filters,,,Waterway,,"filters,residential,wholegood,pool,no-image",,,,,,,,True,,None,,- BS5205140-C25S,,,True,Waterway BS5205140-C25S,,5,deny,,- BS5205140-C25S None,,559.6,,BS5205140-C25S,manual
,,,,Part Number,EXECUTIVE FACEPLATE 56FR 2.5IN R3- 311-1210B,,WAT_311-1210B,,shopify,,,Pumps,,,Waterway,,"motor,residential,wholegood,pool,no-image",,,,,,,,True,,,,EXECUTIVE FACEPLATE 56FR 2.5IN R3- 311-1210B,,,True,Waterway 311-1210B,None,5,deny,,EXECUTIVE FACEPLATE 56FR 2.5IN R3- 311-1210B None,,22.2,,311-1210B,manual
,,,,Part Number,"F.A.S HANDLE 1"" T/A A/C 5SCLP TEXT. STYLE - DSG- 662-2119-DSG",,WAT_662-2119-DSG,,shopify,,,White Goods,,,Waterway,,"white goods,residential,wholegood,pool,no-image",,,,,,,,True,,,,"F.A.S HANDLE 1"" T/A A/C 5SCLP TEXT. STYLE - DSG- 662-2119-DSG",,,True,Waterway 662-2119-DSG,None,5,deny,,"F.A.S HANDLE 1"" T/A A/C 5SCLP TEXT. STYLE - DSG- 662-2119-DSG None",,3.1,,662-2119-DSG,manual
,,,,Part Number,POLY STORM TWIN ROTO INT. 6 SPOKE ESC W/MTL (THD)- 229-8587S,,WAT_229-8587S,,shopify,,,White Goods,,,Waterway,,"white goods,residential,wholegood,pool,no-image",,,,,,,,True,,,,POLY STORM TWIN ROTO INT. 6 SPOKE ESC W/MTL (THD)- 229-8587S,,,True,Waterway 229-8587S,None,5,deny,,POLY STORM TWIN ROTO INT. 6 SPOKE ESC W/MTL (THD)- 229-8587S None,,15.1,,229-8587S,manual
,,,,Part Number,POWER STORM RIFLED INT (THRD) 6 SPOKE W/ MTL - BLK- 229-1981S,,WAT_229-1981S,,shopify,,,White Goods,,,Waterway,,"white goods,residential,wholegood,pool,no-image",,,,,,,,True,,,,POWER STORM RIFLED INT (THRD) 6 SPOKE W/ MTL - BLK- 229-1981S,,,True,Waterway 229-1981S,None,5,deny,,POWER STORM RIFLED INT (THRD) 6 SPOKE W/ MTL - BLK- 229-1981S None,,15.64,,229-1981S,manual
,,,,Part Number,HI-FLO II 2HP 115V 1SP 3FT NEMA VERT.- PH1201-6P,,WAT_PH1201-6P,,shopify,,,Pumps,,,Waterway,,"motor,residential,wholegood,pool,no-image",,,,,,,,True,,,,HI-FLO II 2HP 115V 1SP 3FT NEMA VERT.- PH1201-6P,,,True,Waterway PH1201-6P,None,5,deny,,HI-FLO II 2HP 115V 1SP 3FT NEMA VERT.- PH1201-6P None,,182.97,,PH1201-6P,manual
,,,,Part Number,- RW520-2780,,WAT_RW520-2780,,shopify,,,Filters,,,Waterway,,"filters,residential,wholegood,pool,no-image",,,,,,,,True,,None,,- RW520-2780,,,True,Waterway RW520-2780,,5,deny,,- RW520-2780 None,,267.24,,RW520-2780,manual
,,,,Part Number,"SELF THREADING DRAIN SCREEN CAREFREE SAND, BAGGED- 602-5310B",,WAT_602-5310B,,shopify,,,Filters,,,Waterway,,"sand,residential,wholegood,pool,no-image",,,,,,,,True,,,,"SELF THREADING DRAIN SCREEN CAREFREE SAND, BAGGED- 602-5310B",,,True,Waterway 602-5310B,None,5,deny,,"SELF THREADING DRAIN SCREEN CAREFREE SAND, BAGGED- 602-5310B None",,3.56,,602-5310B,manual
,,,,Part Number,STORM JET MASSAGE INT. SM/FC - GRAY (BAG)- 212-6657B,,WAT_212-6657B,,shopify,,,White Goods,,,Waterway,,"jet,residential,wholegood,pool,no-image",,,,,,,,True,,,,STORM JET MASSAGE INT. SM/FC - GRAY (BAG)- 212-6657B,,,True,Waterway 212-6657B,None,5,deny,,STORM JET MASSAGE INT. SM/FC - GRAY (BAG)- 212-6657B None,,13.83,,212-6657B,manual
,,,,Part Number,"#8 X 1"" PHIL FLAT HEAD TYPE A 316 S/S SCREW- 819-1031",,WAT_819-1031,,shopify,,,White Goods,,,Waterway,,"white goods,residential,wholegood,pool,no-image",,,,,,,,True,,,,"#8 X 1"" PHIL FLAT HEAD TYPE A 316 S/S SCREW- 819-1031",,,True,Waterway 819-1031,None,5,deny,,"#8 X 1"" PHIL FLAT HEAD TYPE A 316 S/S SCREW- 819-1031 None",,1.65,,819-1031,manual
