Image Src,Gift Card,Variant Compare At Price,Option2 Name,Option1 Name,Title,Option3 Name,Variant SKU,Google Shopping / Custom Product,Variant Inventory Tracker,Variant Taxable,Google Shopping / AdWords Grouping,Type,Google Shopping / MPN,Image Alt Text,Vendor,Variant Image,Tags,Google Shopping / Custom Label 3,Google Shopping / Custom Label 2,Variant Grams,Google Shopping / Custom Label 0,Google Shopping / Custom Label 4,Google Shopping / Age Group,Google Shopping / Custom Label 1,Variant Requires Shipping,Google Shopping / Google Product Category,Variant Weight Unit,Google Shopping / AdWords Labels,SEO Title,Google Shopping / Condition,Body(HTML),Published,Handle,Variant Barcode,Variant Inventory Qty,Variant Inventory Policy,Option3 Value,SEO Description,Google Shopping / Gender,Variant Price,Option2 Value,Option1 Value,Variant Fulfillment Service
,,,,Part Number,"ZQ-4PSI - Zodiac AquaLink Z4 Controller, Pool And Spa With iAquaLink",,ZOD_ZQ-4PSI,,shopify,,,Automation,,,Zodiac,,"control,residential,controller,part,spa,zodiac,zodiac,no-image",,,,,,,,TRUE,,None,,"ZQ-4PSI - Zodiac AquaLink Z4 Controller, Pool And Spa With iAquaLink",,,TRUE,Zodiac ZQ-4PSI,52337062169,5,deny,,"ZQ-4PSI - Zodiac AquaLink Z4 Controller, Pool And Spa With iAquaLink None",,978.8,,ZQ-4PSI,manual
,,,,Part Number,"ZQ-4PS - Zodiac Aqualink Z4 Controller, Pool And Spa",,ZOD_ZQ-4PS,,shopify,,,Automation,,,Zodiac,,"control,residential,controller,part,spa,zodiac,zodiac,no-image",,,,,,,,TRUE,,None,,"ZQ-4PS - Zodiac Aqualink Z4 Controller, Pool And Spa",,,TRUE,Zodiac ZQ-4PS,52337062145,5,deny,,"ZQ-4PS - Zodiac Aqualink Z4 Controller, Pool And Spa None",,660.08,,ZQ-4PS,manual
,,,,Part Number,"ZQ-4PI - Zodiac Aqualink Z4 Controller, Pool Only With iAqualink",,ZOD_ZQ-4PI,,shopify,,,Automation,,,Zodiac,,"control,residential,controller,part,spa,zodiac,zodiac,no-image",,,,,,,,TRUE,,None,,"ZQ-4PI - Zodiac Aqualink Z4 Controller, Pool Only With iAqualink",,,TRUE,Zodiac ZQ-4PI,52337062152,5,deny,,"ZQ-4PI - Zodiac Aqualink Z4 Controller, Pool Only With iAqualink None",,872.57,,ZQ-4PI,manual
,,,,Part Number,"ZQ-4P - Zodiac Aqualink Z4 Controller, Pool Only",,ZOD_ZQ-4P,,shopify,,,Automation,,,Zodiac,,"control,residential,controller,part,spa,zodiac,zodiac,no-image",,,,,,,,TRUE,,None,,"ZQ-4P - Zodiac Aqualink Z4 Controller, Pool Only",,,TRUE,Zodiac ZQ-4P,52337062138,5,deny,,"ZQ-4P - Zodiac Aqualink Z4 Controller, Pool Only None",,553.85,,ZQ-4P,manual
,,,,Part Number,X77094 - Zodiac X7 Suction Fitting Adaptor,,ZOD_X77094,,shopify,,,Cleaners,,,Zodiac,,"residential,zodiac,part,zodiac,suction,pool,no-image",,,,,,,,TRUE,,None,,X77094 - Zodiac X7 Suction Fitting Adaptor,,,TRUE,Zodiac X77094,7.38919E+11,5,deny,,X77094 - Zodiac X7 Suction Fitting Adaptor None,,13.16,,X77094,manual
,,,,Part Number,X77054 - Zodiac Cup Assembly *Available While Supplies Last,,ZOD_X77054,,shopify,,,Cleaners,,,Zodiac,,"residential,part,zodiac,zodiac,pool,no-image",,,,,,,,TRUE,,None,,X77054 - Zodiac Cup Assembly *Available While Supplies Last,,,TRUE,Zodiac X77054,7.38919E+11,5,deny,,X77054 - Zodiac Cup Assembly *Available While Supplies Last None,,32.9,,X77054,manual
,,,,Part Number,X77053 - Discontinued,,ZOD_X77053,,shopify,,,Cleaners,,,Zodiac,,"residential,part,zodiac,zodiac,pool,no-image",,,,,,,,TRUE,,,,X77053 - Discontinued,,,TRUE,Zodiac X77053,None,0,deny,,X77053 - Discontinued None,,None,,X77053,manual
,,,,Part Number,X77044 - Zodiac Thrust Washer *Available While Supplies Last,,ZOD_X77044,,shopify,,,Cleaners,,,Zodiac,,"residential,part,zodiac,zodiac,pool,no-image",,,,,,,,TRUE,,None,,X77044 - Zodiac Thrust Washer *Available While Supplies Last,,,TRUE,Zodiac X77044,7.38919E+11,5,deny,,X77044 - Zodiac Thrust Washer *Available While Supplies Last None,,8.55,,X77044,manual
,,,,Part Number,X77042 - Zodiac Flow Separator *Available While Supplies Last,,ZOD_X77042,,shopify,,,Cleaners,,,Zodiac,,"residential,part,zodiac,zodiac,pool,no-image",,,,,,,,TRUE,,None,,X77042 - Zodiac Flow Separator *Available While Supplies Last,,,TRUE,Zodiac X77042,7.38919E+11,5,deny,,X77042 - Zodiac Flow Separator *Available While Supplies Last None,,9.92,,X77042,manual
,,,,Part Number,X77028 - ,,ZOD_X77028,,shopify,,,Cleaners,,,Zodiac,,"residential,part,zodiac,zodiac,pool,no-image",,,,,,,,TRUE,,None,,X77028 - ,,,TRUE,Zodiac X77028,7.38919E+11,5,deny,,X77028 -  None,,8.35,,X77028,manual
,,,,Part Number,X77027 - Zodiac Outer Extension Pipe *Available While Supplies Last,,ZOD_X77027,,shopify,,,Cleaners,,,Zodiac,,"residential,part,zodiac,zodiac,pool,no-image",,,,,,,,TRUE,,None,,X77027 - Zodiac Outer Extension Pipe *Available While Supplies Last,,,TRUE,Zodiac X77027,7.38919E+11,5,deny,,X77027 - Zodiac Outer Extension Pipe *Available While Supplies Last None,,33.94,,X77027,manual
,,,,Part Number,X77024 - Zodiac Disc Assembly Front/Rear *Available While Supplies Last,,ZOD_X77024,,shopify,,,Cleaners,,,Zodiac,,"residential,part,zodiac,zodiac,pool,no-image",,,,,,,,TRUE,,None,,X77024 - Zodiac Disc Assembly Front/Rear *Available While Supplies Last,,,TRUE,Zodiac X77024,7.38919E+11,5,deny,,X77024 - Zodiac Disc Assembly Front/Rear *Available While Supplies Last None,,25.19,,X77024,manual
,,,,Part Number,X77022 - Discontinued,,ZOD_X77022,,shopify,,,Cleaners,,,Zodiac,,"residential,part,zodiac,zodiac,pool,no-image",,,,,,,,TRUE,,,,X77022 - Discontinued,,,TRUE,Zodiac X77022,None,0,deny,,X77022 - Discontinued None,,None,,X77022,manual
,,,,Part Number,X77021 - ,,ZOD_X77021,,shopify,,,Cleaners,,,Zodiac,,"residential,part,zodiac,zodiac,pool,no-image",,,,,,,,TRUE,,None,,X77021 - ,,,TRUE,Zodiac X77021,7.38919E+11,5,deny,,X77021 -  None,,40.56,,X77021,manual
