Image Src,Gift Card,Variant Compare At Price,Option2 Name,Option1 Name,Title,Option3 Name,Variant SKU,Google Shopping / Custom Product,Variant Inventory Tracker,Variant Taxable,Google Shopping / AdWords Grouping,Type,Google Shopping / MPN,Image Alt Text,Vendor,Variant Image,Tags,Google Shopping / Custom Label 3,Google Shopping / Custom Label 2,Variant Grams,Google Shopping / Custom Label 0,Google Shopping / Custom Label 4,Google Shopping / Age Group,Google Shopping / Custom Label 1,Variant Requires Shipping,Google Shopping / Google Product Category,Variant Weight Unit,Google Shopping / AdWords Labels,SEO Title,Google Shopping / Condition,Body(HTML),Published,Handle,Variant Barcode,Variant Inventory Qty,Variant Inventory Policy,Option3 Value,SEO Description,Google Shopping / Gender,Variant Price,Option2 Value,Option1 Value,Variant Fulfillment Service
,,,,Part Number,"Jandy Pro Series Orifice ,Blower Air Intake Lit, 200N R0591302",,ZOD_R0591302,,shopify,,,Heaters,,,Zodiac,,"residential,jandy,part,zodiac,zodiac,pool,no-image",,,,,,,,TRUE,,1,,"Jandy Pro Series Orifice ,Blower Air Intake Lit, 200N R0591302",,,TRUE,Zodiac R0591302,52337068420,5,deny,,"Jandy Pro Series Orifice ,Blower Air Intake Lit, 200N R0591302 None",,33.89,,R0591302,manual
,,,,Part Number,"Jandy Pro Series Orifice ,Blower Air Intake Lit, 260N R0591303",,ZOD_R0591303,,shopify,,,Heaters,,,Zodiac,,"residential,jandy,part,zodiac,zodiac,pool,no-image",,,,,,,,TRUE,,1,,"Jandy Pro Series Orifice ,Blower Air Intake Lit, 260N R0591303",,,TRUE,Zodiac R0591303,52337068437,5,deny,,"Jandy Pro Series Orifice ,Blower Air Intake Lit, 260N R0591303 None",,34.69,,R0591303,manual
,,,,Part Number,Polaris WMS Assembly With Oring 39-300,,ZOD_39-300,,shopify,,,Cleaners,,,Zodiac,,"residential,part,zodiac,polaris,zodiac,pool,no-image",,,,,,,,TRUE,,0.2,,Polaris WMS Assembly With Oring 39-300,,,TRUE,Zodiac 39-300,7.38919E+11,5,deny,,Polaris WMS Assembly With Oring 39-300 None,,24.11,,39-300,manual
,,,,Part Number,"Jandy Pro Series Orifice ,Blower Air Intake Lit, 330N R0591304",,ZOD_R0591304,,shopify,,,Heaters,,,Zodiac,,"residential,jandy,part,zodiac,zodiac,pool,no-image",,,,,,,,TRUE,,1,,"Jandy Pro Series Orifice ,Blower Air Intake Lit, 330N R0591304",,,TRUE,Zodiac R0591304,52337068444,5,deny,,"Jandy Pro Series Orifice ,Blower Air Intake Lit, 330N R0591304 None",,33.89,,R0591304,manual
,,,,Part Number,"Jandy Pro Series Orifice ,Blower Air Intake Lit, 400N R0591305",,ZOD_R0591305,,shopify,,,Heaters,,,Zodiac,,"residential,jandy,part,zodiac,zodiac,pool,no-image",,,,,,,,TRUE,,1,,"Jandy Pro Series Orifice ,Blower Air Intake Lit, 400N R0591305",,,TRUE,Zodiac R0591305,52337068451,5,deny,,"Jandy Pro Series Orifice ,Blower Air Intake Lit, 400N R0591305 None",,34.69,,R0591305,manual
,,,,Part Number,"Zodiac Wheel Deflector, 12"" Turquoise W46055",,ZOD_W46055,,shopify,,,Cleaners,,,Zodiac,,"residential,accessory,part,zodiac,suction,zodiac,pool,has-image",,,,,,,,TRUE,,0.5,,"Zodiac Wheel Deflector, 12"" Turquoise W46055",,,TRUE,Zodiac W46055,7.46823E+11,5,deny,,"Zodiac Wheel Deflector, 12"" Turquoise W46055 DEFLECTOR, WHEEL 12"", TURQUOISE",,20.5,,W46055,manual
,,,,Part Number,Zodiac Nature2 Professional G / M / A Vessel O-Ring for 1 Piece Cap W13061,,ZOD_W13061,,shopify,,,Sanitization,,,Zodiac,,"residential,o-ring,part,zodiac,zodiac,pool,no-image",,,,,,,,TRUE,,0.01,,Zodiac Nature2 Professional G / M / A Vessel O-Ring for 1 Piece Cap W13061,,,TRUE,Zodiac W13061,7.06175E+11,5,deny,,Zodiac Nature2 Professional G / M / A Vessel O-Ring for 1 Piece Cap W13061 None,,13.71,,W13061,manual
,,,,Part Number,Jandy Pro Series Refrigerant LP Switch (Heat/Cool) R3001501,,ZOD_R3001501,,shopify,,,Heaters,,,Zodiac,,"residential,jandy,part,zodiac,zodiac,pool,no-image",,,,,,,,TRUE,,0.4,,Jandy Pro Series Refrigerant LP Switch (Heat/Cool) R3001501,,,TRUE,Zodiac R3001501,52337028363,5,deny,,Jandy Pro Series Refrigerant LP Switch (Heat/Cool) R3001501 None,,102.03,,R3001501,manual
,,,,Part Number,Jandy Pro Series Refrigerant LP Switch Replacement Kit. R3001500,,ZOD_R3001500,,shopify,,,Heaters,,,Zodiac,,"residential,jandy,kit,part,zodiac,zodiac,pool,no-image",,,,,,,,TRUE,,0.4,,Jandy Pro Series Refrigerant LP Switch Replacement Kit. R3001500,,,TRUE,Zodiac R3001500,52337028356,5,deny,,Jandy Pro Series Refrigerant LP Switch Replacement Kit. R3001500 None,,75.94,,R3001500,manual
,,,,Part Number,Zodiac Nature2 Pro G Plus O-Ring W13064,,ZOD_W13064,,shopify,,,Sanitization,,,Zodiac,,"residential,o-ring,part,zodiac,zodiac,pool,no-image",,,,,,,,TRUE,,0.1,,Zodiac Nature2 Pro G Plus O-Ring W13064,,,TRUE,Zodiac W13064,7.06175E+11,5,deny,,Zodiac Nature2 Pro G Plus O-Ring W13064 None,,15.9,,W13064,manual
,,,,Part Number,Zodiac Nature2 Pro G Plus Chlorine Chamber O-Ring W13068,,ZOD_W13068,,shopify,,,Sanitization,,,Zodiac,,"residential,o-ring,part,zodiac,zodiac,pool,no-image",,,,,,,,TRUE,,0.1,,Zodiac Nature2 Pro G Plus Chlorine Chamber O-Ring W13068,,,TRUE,Zodiac W13068,7.06175E+11,5,deny,,Zodiac Nature2 Pro G Plus Chlorine Chamber O-Ring W13068 None,,17.24,,W13068,manual
,,,,Part Number,"Jandy Pro Series 1"" - 1 1/2"" Spa Side Remote (4 Function ) 150', White (Accessory Item) 7443",,ZOD_7443,,shopify,,,Automation,,,Zodiac,,"control,residential,jandy,accessory,controller,part,spa,zodiac,zodiac,no-image",,,,,,,,TRUE,,4,,"Jandy Pro Series 1"" - 1 1/2"" Spa Side Remote (4 Function ) 150', White (Accessory Item) 7443",,,TRUE,Zodiac 7443,52337003087,5,deny,,"Jandy Pro Series 1"" - 1 1/2"" Spa Side Remote (4 Function ) 150', White (Accessory Item) 7443 None",,259.07,,7443,manual
,,,,Part Number,"Jandy Pro Series 1"" - 1 1/2"" Spa Side Remote (4 Function ) 100', Black (Accessory Item) 7442",,ZOD_7442,,shopify,,,Automation,,,Zodiac,,"control,residential,jandy,accessory,controller,part,spa,zodiac,zodiac,has-image",,,,,,,,TRUE,,2.9,,"Jandy Pro Series 1"" - 1 1/2"" Spa Side Remote (4 Function ) 100', Black (Accessory Item) 7442",,,TRUE,Zodiac 7442,52337003070,5,deny,,"Jandy Pro Series 1"" - 1 1/2"" Spa Side Remote (4 Function ) 100', Black (Accessory Item) 7442 REMOTE SWITCH WITH 100' CORD",,231.05,,7442,manual
,,,,Part Number,"Jandy Pro Series 1"" - 1 1/2"" Spa Side Remote (4 Function ) 100', White. (Accessory Item) 7441",,ZOD_7441,,shopify,,,Automation,,,Zodiac,,"control,residential,jandy,accessory,controller,part,spa,zodiac,zodiac,has-image",,,,,,,,TRUE,,2.95,,"Jandy Pro Series 1"" - 1 1/2"" Spa Side Remote (4 Function ) 100', White. (Accessory Item) 7441",,,TRUE,Zodiac 7441,52337003063,5,deny,,"Jandy Pro Series 1"" - 1 1/2"" Spa Side Remote (4 Function ) 100', White. (Accessory Item) 7441 REMOTE SWITCH WITH 100' CORD",,231.05,,7441,manual
,,,,Part Number,"Jandy Pro Series 1"" - 1 1/2"" Spa Side Remote (4 Function ) 200', Black (Accessory Item) 7446",,ZOD_7446,,shopify,,,Automation,,,Zodiac,,"control,residential,jandy,accessory,controller,part,spa,zodiac,zodiac,no-image",,,,,,,,TRUE,,5.75,,"Jandy Pro Series 1"" - 1 1/2"" Spa Side Remote (4 Function ) 200', Black (Accessory Item) 7446",,,TRUE,Zodiac 7446,52337003117,5,deny,,"Jandy Pro Series 1"" - 1 1/2"" Spa Side Remote (4 Function ) 200', Black (Accessory Item) 7446 None",,288.29,,7446,manual
,,,,Part Number,"Jandy Pro Series 1"" - 1 1/2"" Spa Side Remote (4 Function ) 200', White (Accessory Item) 7445",,ZOD_7445,,shopify,,,Automation,,,Zodiac,,"control,residential,jandy,accessory,controller,part,spa,zodiac,zodiac,no-image",,,,,,,,TRUE,,5.6,,"Jandy Pro Series 1"" - 1 1/2"" Spa Side Remote (4 Function ) 200', White (Accessory Item) 7445",,,TRUE,Zodiac 7445,52337003100,5,deny,,"Jandy Pro Series 1"" - 1 1/2"" Spa Side Remote (4 Function ) 200', White (Accessory Item) 7445 None",,288.29,,7445,manual
,,,,Part Number,"Jandy Pro Series 1"" - 1 1/2"" Spa Side Remote (4 Function ) 150', Black (Accessory Item) 7444",,ZOD_7444,,shopify,,,Automation,,,Zodiac,,"control,residential,jandy,accessory,controller,part,spa,zodiac,zodiac,no-image",,,,,,,,TRUE,,4.2,,"Jandy Pro Series 1"" - 1 1/2"" Spa Side Remote (4 Function ) 150', Black (Accessory Item) 7444",,,TRUE,Zodiac 7444,52337003094,5,deny,,"Jandy Pro Series 1"" - 1 1/2"" Spa Side Remote (4 Function ) 150', Black (Accessory Item) 7444 None",,259.07,,7444,manual
,,,,Part Number, 5-13-1,,ZOD_5-13-1,,shopify,,,Cleaners,,,Zodiac,,"residential,part,zodiac,zodiac,pool,no-image",,,,,,,,TRUE,,None,, 5-13-1,,,TRUE,Zodiac 5-13-1,7.38919E+11,5,deny,, 5-13-1 None,,39.2,,5/13/01,manual
,,,,Part Number,"Jandy Pro Series Relay Kit, RS 2 Speed Aqualink RS (Accessory Item) 6796",,ZOD_6796,,shopify,,,Automation,,,Zodiac,,"control,two speed,residential,jandy,accessory,controller,part,spa,zodiac,kit,zodiac,has-image",,,,,,,,TRUE,,0.5,,"Jandy Pro Series Relay Kit, RS 2 Speed Aqualink RS (Accessory Item) 6796",,,TRUE,Zodiac 6796,52337002684,5,deny,,"Jandy Pro Series Relay Kit, RS 2 Speed Aqualink RS (Accessory Item) 6796 2-SPEED RELAY KIT",,43.52,,6796,manual
,,,,Part Number,"Jandy Pro Series LX2110A LX2 120 Controller With Sensor, ",,ZOD_LX2110A,,shopify,,,Automation,,,Zodiac,,"control,wholegood,residential,jandy,controller,zodiac,zodiac,pool,no-image",,,,,,,,TRUE,,7,,"Jandy Pro Series LX2110A LX2 120 Controller With Sensor, ",,,TRUE,Zodiac LX2110A,52337009973,0,deny,,"Jandy Pro Series LX2110A LX2 120 Controller With Sensor,  None",,None,,LX2110A,manual
,,,,Part Number,"Jandy Pro Series Water Temperature Sensor Kit 1K, Ji/AquaLink (Accessory Item) 4019+",,ZOD_4019+,,shopify,,,Automation,,,Zodiac,,"residential,jandy,accessory,part,zodiac,kit,zodiac,pool,no-image",,,,,,,,TRUE,,0.4,,"Jandy Pro Series Water Temperature Sensor Kit 1K, Ji/AquaLink (Accessory Item) 4019+",,,TRUE,Zodiac 4019+,52337055802,5,deny,,"Jandy Pro Series Water Temperature Sensor Kit 1K, Ji/AquaLink (Accessory Item) 4019+ None",,116.09,,4019+,manual
,,,,Part Number,PUMP BODY & BACKPLATE O-RING R0479800,,ZOD_R0479800,,shopify,,,Pumps,,,Zodiac,,"residential,o-ring,part,zodiac,zodiac,pool,has-image",,,,,,,,TRUE,,6.28,,PUMP BODY & BACKPLATE O-RING R0479800,,,TRUE,Zodiac R0479800,52337034579,5,deny,,PUMP BODY & BACKPLATE O-RING R0479800 PUMP BODY & BACKPLATE O-RING,,161.84,,R0479800,manual
,,,,Part Number,"Jandy Pro Series Niche Screw Kit, Plastic Replacement Kit R0460800",,ZOD_R0460800,,shopify,,,Lighting,,,Zodiac,,"residential,jandy,kit,part,lighting,light,zodiac,zodiac,pool,no-image",,,,,,,,TRUE,,0.5,,"Jandy Pro Series Niche Screw Kit, Plastic Replacement Kit R0460800",,,TRUE,Zodiac R0460800,52337023702,5,deny,,"Jandy Pro Series Niche Screw Kit, Plastic Replacement Kit R0460800 None",,11.77,,R0460800,manual
