Image Src,Gift Card,Variant Compare At Price,Option2 Name,Option1 Name,Title,Option3 Name,Variant SKU,Google Shopping / Custom Product,Variant Inventory Tracker,Variant Taxable,Google Shopping / AdWords Grouping,Type,Google Shopping / MPN,Image Alt Text,Vendor,Variant Image,Tags,Google Shopping / Custom Label 3,Google Shopping / Custom Label 2,Variant Grams,Google Shopping / Custom Label 0,Google Shopping / Custom Label 4,Google Shopping / Age Group,Google Shopping / Custom Label 1,Variant Requires Shipping,Google Shopping / Google Product Category,Variant Weight Unit,Google Shopping / AdWords Labels,SEO Title,Google Shopping / Condition,Body(HTML),Published,Handle,Variant Barcode,Variant Inventory Qty,Variant Inventory Policy,Option3 Value,SEO Description,Google Shopping / Gender,Variant Price,Option2 Value,Option1 Value,Variant Fulfillment Service
,,,,Part Number,REPLACEMENT AIR TUBE ONLY WCW20654,,ZOD_WCW20654,,shopify,,,Filters,,,Zodiac,,"cartridge,residential,part,zodiac,pool,replacement,has-image",,,,,,,,TRUE,,,,REPLACEMENT AIR TUBE ONLY WCW20654,,,TRUE,Zodiac WCW20654,None,0,deny,,REPLACEMENT AIR TUBE ONLY WCW20654 REPLACEMENT AIR TUBE ONLY,,None,,WCW20654,manual
,,,,Part Number,WEIGHT COATED W90603,,ZOD_W90603,,shopify,,,Cleaners,,,Zodiac,,"residential,pressure,part,zodiac,pool,has-image",,,,,,,,TRUE,,,,WEIGHT COATED W90603,,,TRUE,Zodiac W90603,None,0,deny,,WEIGHT COATED W90603 WEIGHT COATED,,None,,W90603,manual
,,,,Part Number,OBSOLETE LOCK WASHER W90560,,ZOD_W90560,,shopify,,,Cleaners,,,Zodiac,,"residential,pressure,part,zodiac,pool,has-image",,,,,,,,TRUE,,,,OBSOLETE LOCK WASHER W90560,,,TRUE,Zodiac W90560,None,0,deny,,OBSOLETE LOCK WASHER W90560 OBSOLETE LOCK WASHER,,None,,W90560,manual
,,,,Part Number,OBSOLETE NUT W90507,,ZOD_W90507,,shopify,,,Cleaners,,,Zodiac,,"residential,pressure,part,zodiac,pool,has-image",,,,,,,,TRUE,,,,OBSOLETE NUT W90507,,,TRUE,Zodiac W90507,None,0,deny,,OBSOLETE NUT W90507 OBSOLETE NUT,,None,,W90507,manual
,,,,Part Number,OBSOLETE SPACER WASHER - 2 REQ W90504,,ZOD_W90504,,shopify,,,Cleaners,,,Zodiac,,"residential,pressure,part,spa,zodiac,has-image",,,,,,,,TRUE,,,,OBSOLETE SPACER WASHER - 2 REQ W90504,,,TRUE,Zodiac W90504,None,0,deny,,OBSOLETE SPACER WASHER - 2 REQ W90504 OBSOLETE SPACER WASHER - 2 REQ,,None,,W90504,manual
,,,,Part Number,"OBSOLETE SPUR, BUMPER WEIGHTED W90281",,ZOD_W90281,,shopify,,,Cleaners,,,Zodiac,,"residential,part,suction,zodiac,pool,has-image",,,,,,,,TRUE,,,,"OBSOLETE SPUR, BUMPER WEIGHTED W90281",,,TRUE,Zodiac W90281,None,0,deny,,"OBSOLETE SPUR, BUMPER WEIGHTED W90281 OBSOLETE SPUR, BUMPER WEIGHTED",,None,,W90281,manual
,,,,Part Number,OBSOLETE ZIPPY SAND TUBE LADDER GUARD W90274,,ZOD_W90274,,shopify,,,Cleaners,,,Zodiac,,"residential,part,suction,zodiac,pool,has-image",,,,,,,,TRUE,,,,OBSOLETE ZIPPY SAND TUBE LADDER GUARD W90274,,,TRUE,Zodiac W90274,None,0,deny,,OBSOLETE ZIPPY SAND TUBE LADDER GUARD W90274 OBSOLETE ZIPPY SAND TUBE LADDER GUARD,,None,,W90274,manual
,,,,Part Number,"EYEBALL DIVERTER, 2"" W90155",,ZOD_W90155,,shopify,,,Cleaners,,,Zodiac,,"residential,part,suction,zodiac,pool,has-image",,,,,,,,TRUE,,,,"EYEBALL DIVERTER, 2"" W90155",,,TRUE,Zodiac W90155,None,0,deny,,"EYEBALL DIVERTER, 2"" W90155 EYEBALL DIVERTER,  2"" ",,None,,W90155,manual
,,,,Part Number,"OBSOLETE DIVERTER, 90 DEGREE EYEBALL 1 1/2IN W90153",,ZOD_W90153,,shopify,,,Cleaners,,,Zodiac,,"residential,part,suction,zodiac,pool,has-image",,,,,,,,TRUE,,,,"OBSOLETE DIVERTER, 90 DEGREE EYEBALL 1 1/2IN W90153",,,TRUE,Zodiac W90153,None,0,deny,,"OBSOLETE DIVERTER, 90 DEGREE EYEBALL 1 1/2IN W90153 OBSOLETE DIVERTER, 90 DEGREE EYEBALL 1 1/2IN",,None,,W90153,manual
,,,,Part Number,OBSOLETE BELLY WEIGHT W90148,,ZOD_W90148,,shopify,,,Cleaners,,,Zodiac,,"residential,part,suction,zodiac,pool,has-image",,,,,,,,TRUE,,,,OBSOLETE BELLY WEIGHT W90148,,,TRUE,Zodiac W90148,None,0,deny,,OBSOLETE BELLY WEIGHT W90148 OBSOLETE BELLY WEIGHT,,None,,W90148,manual
