Part/WG,Category,part_number,title,price,upc,weight,length,width,height,Primary Site,,
Whole Good,Pumps,011008,PMP INTELLIFLO i1 , 883.19 ,788379853303,48.00,28.00,12.00,15.00,E,,
Whole Good,Pumps,011012,PMP INTELLIFLO VF ," 1,254.61 ",788379691370,47.00,12.50,28.00,15.50,E,,
Whole Good,Pumps,011017,PMP INTELLIFLO VS+ SVRS ," 1,034.06 ",788379788407,48.00,28.10,12.20,14.50,E,,
Whole Good,Pumps,011018,PMP INTELLIFLO VRBLE SPD , 883.19 ,788379807368,48.00,28.00,12.50,15.00,E,,
Whole Good,Pumps,011019,PMP INTELLIFLO VS+SVRS DISPLAY UNIT ALMOND, 445.72 ,788379804213,48.00,28.10,12.20,14.50,E,,
Whole Good,Pumps,011021,PMP WFK-3 208/230/460V 3/4HP 3PH 60HZ, 442.54 ,788379663230,31.80,27.75,12.25,14.75,E,,
Whole Good,Pumps,011088,PMP INTLFLO VRBLE DSPLY UNIT, 445.72 ,788379847975,48.00,28.00,13.00,15.00,E,,
Whole Good,Pumps,011486,PMP W/SWTCH WFDS-4 230V 1HP 2SP FULLRATED 60HZ, 498.28 ,788379663247,47.50,27.50,12.25,15.00,"E,W",,
Whole Good,Pumps,011511,PMP WFE-2 115/208-230V 1/2HP FULLRATED ENGY EFF, 385.28 ,788379663254,44.34,27.50,12.25,15.25,"E,W",,
Whole Good,Pumps,011512,PMP WFE-3 115/208-230V 3/4HP FULLRATED ENGY EFF, 415.19 ,788379663261,44.42,27.50,12.25,15.25,"E,W",,
Whole Good,Pumps,011513,PMP WFE-4 115/208-230V 1HP FULLRATED ENGY EFF, 448.70 ,788379663278,45.00,12.00,27.50,14.50,"E,W",,
Whole Good,Pumps,011514,PMP WFE-6 20/-230V 1.5HP FULLRATED ENGY EFFICIENT, 492.85 ,788379663285,55.00,12.00,27.50,14.50,"E,W",,
Whole Good,Pumps,011515,PMP WFE-8 208-230V 2HP FULLRATED ENGY EFFICIENT, 579.54 ,788379663292,57.00,12.00,27.50,14.50,"E,W",,
Whole Good,Pumps,011516,PMP WFE-12 208-230V 3HP FULLRATED ENGY EFFICIENT, 708.90 ,788379663308,55.00,13.00,28.00,14.50,"E,W",,
Whole Good,Pumps,011517,PMP WFE-24 115/208-230V 1HP UPRATE ENGY EFFICIEN, 425.23 ,788379663315,44.24,27.50,12.25,15.25,"E,W",,
Whole Good,Pumps,011518,PMP WFE-26 115/208-230V 1 1/2HP UPRATE ENGY EFFI, 459.53 ,788379663322,46.00,12.00,27.50,14.50,"E,W",,
Whole Good,Pumps,011519,PMP WFE-28 208-230V 2HP UPRATE ENGY EFFICIENT, 504.75 ,788379663339,53.00,12.00,27.50,15.00,"E,W",,
Whole Good,Pumps,011520,PMP WFE-30 208-230V 2 1/2HP UPRATE ENGY EFF, 593.54 ,788379663346,55.00,12.50,28.00,15.00,"E,W",,
Whole Good,Pumps,011522,PMP W/SWTCH WFDS-6 230V 11/2HP FULLRATED 60HZ, 599.94 ,788379663353,55.00,12.00,27.50,15.00,"E,W",,
Whole Good,Pumps,011523,PMP W/SWTCH WFDS-8 230V 2HP 2SP FULLRATED 60HZ, 698.03 ,788379663360,57.00,12.00,28.00,15.00,"E,W",,
Whole Good,Pumps,011524,PMP W/SWTCH WFDS-28 230V 2HP 2SP UPRATED 60HZ, 599.91 ,788379663377,56.00,12.00,27.50,15.00,"E,W",,
Whole Good,Pumps,011525,PMP W/SWTCH WFDS-30 230V 21/2HP 2SP UPRATED 60HZ, 698.03 ,788379663384,55.10,27.50,12.50,15.00,E,,
Whole Good,Filters,011555,FLT SMBW 4048 , 676.75 ,788379682828,85.00,22.00,22.00,39.00,w,,
Whole Good,Pumps,011568,PMP WFK-4 208/230/460V 1HP 3PH 60HZ, 473.05 ,788379663391,41.55,27.50,12.50,14.75,"E,W",,
Whole Good,Pumps,011569,PMP WFK-6 208/230/460V 1 1/2HP 3PH 60HZ, 519.60 ,788379663407,41.30,27.75,12.25,15.00,"E,W",,
Whole Good,Pumps,011570,PMP WFK-8 208/230/460V 2HP 3PH 60HZ, 610.99 ,788379663414,56.00,12.00,27.50,15.00,"E,W",,
