category,type,part_number,title,price,upc,weight,length,width,height,primary_site,manufacturer
Whole Good,Automation,263043,VLV ACTUATOR 90 ,111.47,788379644376,3,1.5,1.08,0.91,w,Pentair
Whole Good,Automation,263044,VLV ACTUATOR 120 ,111.47,788379644383,4,1.5,0.91,1.08,w,Pentair
Whole Good,Automation,263045,VLV ACTUATOR 180 ,108.68,788379644390,3,18,11,13,w,Pentair
Whole Good,Automation,475214Z,"KIT, RECTIFICATION FIELD FIX",5.46,788379865443,2,6,6,6,W,Pentair
Whole Good,Automation,520138,CONTROLLER IND INTLTCH ,447.28,788379644628,1.82,11,9.5,5,w,Pentair
Whole Good,Automation,520149,IS10 FOR IT OR ET ,401.61,788379685430,2.89,13.25,6.87,4.31,w,Pentair
Whole Good,Automation,520265,PCB I5 PERSONALITY ,172.09,788379712440,1,N/A,N/A,N/A,w,Pentair
Whole Good,Automation,520266,PCB I7+3 PERSONALITY ,592.76,788379712457,1,N/A,N/A,N/A,w,Pentair
Whole Good,Automation,520267,PCB I9+3 PERSONALIY ,994.3,788379712464,1,N/A,N/A,N/A,w,Pentair
Whole Good,Automation,520345,IS10 FOR CP3800 FMLY ,388.8,788379685454,2,N/A,N/A,N/A,w,Pentair
Whole Good,Automation,520352,DEMO UNIT INTLTCH ,461.86,788379686390,4,N/A,N/A,N/A,w,Pentair
Whole Good,Automation,520442,INTERFACE HOME AUTO ,449.17,788379690250,1,N/A,N/A,N/A,W,Pentair
Whole Good,Automation,520497,PDA ACC ITC25 ,849.19,788379712624,0.01,22.5,20.5,5.75,W,Pentair
Whole Good,Automation,520500,INTFC PC ITC15 INTLTCH ,333.25,788379691479,3.5,11.12,9.12,4.5,W,Pentair
Whole Good,Automation,520502,INTFC WIRE ITC35 INTLTCH ,"2,215.98",788379691493,5,22.5,20.5,5.75,W,Pentair
Whole Good,Automation,520538,LDCNTR 4 AUX EZTCH ,821.64,788379704391,51.5,39,20.75,9.5,W,Pentair
Whole Good,Automation,520540,LDCNTR 8 AUX EZTCH ,"1,085.68",788379704407,53.5,39,20.75,9.5,W,Pentair
Whole Good,Automation,520542,LDCNTR 4SC IC20 EZTCH ,"1,401.94",788379704438,67,39,20.75,9.5,W,Pentair
Whole Good,Automation,520543,LDCNTR 4SC IC40 EZTCH ,"1,447.21",788379704445,65,39,20.75,9.5,W,Pentair
Whole Good,Automation,520544,LDCNTR 8SC IC20 EZTCH ,"1,537.76",788379704452,64,17,6.5,6.5,W,Pentair
Whole Good,Automation,520545,LDCNTR 8SC IC40 EZTCH ,"1,607.17",788379704469,69,39,20.75,9.5,W,Pentair
Whole Good,Automation,520546,WIRELESS 4 AUX EASYTCH ,448.88,788379704490,5,22.5,20.5,5.75,W,Pentair
