Active Epicor Part,part_number,title,manufacturer,type,category,subcategory,short_description,long_description,features,upc,height,width,length,weight,instructions,warranty,Image,Data Sheet,Brochure,"If individual part, price available?",NOTES: CS DEPT
Yes,04-605-RG,606 FULCRUM ASSEMBLED STAINLESS STEEL HARDWARE-RG,S.R. Smith,Deck Accessories,Diving,Parts,04-605-RG -  - 606 FULCRUM ASSEMBLED STAINLESS STEEL HARDWARE-RG,Assembled fulcrum for the 606 Cantilever stand. Powder coated in Rock Gray.,,8.40671E+11,,,,3 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,,,,,
Yes,04-605-SS,606 FULCRUM ASSEMBLED STAINLESS STEEL HARDWARE,S.R. Smith,Deck Accessories,Diving,Parts,04-605-SS -  - 606 FULCRUM ASSEMBLED STAINLESS STEEL HARDWARE,Assembled fulcrum for the 606 Cantilever stand.,,8.40671E+11,,,,3 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,,,,,
Yes,04-605-TP,606 FULCRUM ASSEMBLED STAINLESS STEEL HARDWARE-TP,S.R. Smith,Deck Accessories,Diving,Parts,04-605-TP -  - 606 FULCRUM ASSEMBLED STAINLESS STEEL HARDWARE-TP,"Assembled fulcrum, hardware is Taupe.",,8.40671E+11,,,,3 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,,,,,
Yes,04-629,3/4M STEEL METER STEP ASSEMBLY,S.R. Smith,Deck Accessories,Diving,Parts,04-629 -  - 3/4M STEEL METER STEP ASSEMBLY,Replacement step for a 3/4 M steel stand.,,8.40671E+11,"9""","16""","18""",11 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,,,,,
Yes,04-630,1M STEEL METER STEP ASSEMBLY,S.R. Smith,Deck Accessories,Diving,Parts,04-630 -  - 1M STEEL METER STEP ASSEMBLY,Replacement step for a 1 M steel stand.,,8.40671E+11,"8.5""","18""","21""",12.6 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,,,,,
Yes,05-620-L,TAB NYLON LEFT 606/608 BASE,S.R. Smith,Deck Accessories,Diving,Parts,05-620-L -  - TAB NYLON LEFT 606/608 BASE,Replacement left tab for 606/608 Cantilever base.,,8.40671E+11,"1""","2""","3""",.1 lb.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,,,,,
Yes,05-620-R,TAB NYLON RIGHT 606/608 BASE,S.R. Smith,Deck Accessories,Diving,Parts,05-620-R -  - TAB NYLON RIGHT 606/608 BASE,Replacement right tab for 606/608 Cantilever base.,,8.40671E+11,"1""","2""","3""",.1 lb.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,,,,,
Yes,08-501,"18"" RUBBER MOUNTING PAD",S.R. Smith,Deck Accessories,Diving,Parts,"08-501 -  - 18"" RUBBER MOUNTING PAD",,,8.40671E+11,".25""","2.25""","18""",.2 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,,,,,
Yes,08-506,"20"" RUBBER MOUNTING PAD",S.R. Smith,Deck Accessories,Diving,Parts,"08-506 -  - 20"" RUBBER MOUNTING PAD",,,8.40671E+11,".25""","2.25""","20""",.5 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,,,,,
Yes,12-102,1/3 M TOWER TIE DOWN ASSEMBLY,S.R. Smith,Deck Accessories,Diving,Parts,12-102 -  - 1/3 M TOWER TIE DOWN ASSEMBLY,Tie down assembly for 1 & 2 Meter Deluxe Towers,,8.40671E+11,"4""","5""","27""",22 lbs.,,3 Year Limited Warranty. Read more at:http://www.srsmith.com/en/customer-service/warranty-information/,,,,,
