part_number,title,upc,price,og_oem,main_man,department,product_line,manufacturer
V38-112,"Marine Pump Clear Lid - 6 3/4"" dia.",811636022522,29.21,393002,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-113,"Marine Pump Clamp - 6 3/4""",811636024588,34.58,393005,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-118,Marine Pump Clamp Knob,811636022560,4.59,39302700,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-119,"Pump Clamp T-Bolt 1/4 x 20""",811636022577,4.77,,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-120,"Pump Clamp T-Bolt 1/4 x 28""",811636022584,4.77,,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-179,Americana 1/2 HP Impeller ,811636024595,36.96,39500600,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-180,Americana 3/4 HP Impeller,811636022966,36.96,39500700,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-181,Americana 1 HP Impeller,811636022973,36.96,39500800,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-182,Americana 1 1/2 HP Impeller,811636022980,36.96,39500900,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-183,Americana 2 HP Impeller,811636022997,36.96,39501000,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-122,Ultra-Flow I/2 HP Impeller ,811636022607,34.27,39005610,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-123,Ultra-Flow 3/4 HP Impeller ,811636022614,34.27,39005010,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-124,Ultra-Flow 1 HP Impeller,811636022621,34.27,39005110,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-126,Ultra-Flow 1-1/2 HP Impeller,811636022645,34.27,39005210,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-127,Ultra-Flow 2 HP Impeller,811636022652,34.27,39005310,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-128,Ultra-Flow 3 HP Impeller,811636022669,34.27,39005410,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-129S,Ultra-Flow Diffuser O-ring ,811636022676,1.63,39006600,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-129,Ultra-Flow Diffuser O-ring (12/Bag),811636022676,1.09,39006600,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-130,"Ultra-Flow Volute 2"" ",811636022683,58.8,39007000/357140,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-131,Ultra-Flow Seal Plate ,811636022690,48.3,39004900/357143,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V26-354S,Ultra-Flow Seal Plate O-Ring,811636021242,2.75,39006000,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V26-354,Ulltra-Flow Seal Plate O-Ring (12/bag),811636021242,1.83,39006000,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-132,Ultra-Flow Diffuser 1/2 to 1-1/2 HP,811636022706,12.51,39005500,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-133,Ultra-Flow Diffuser 2 & 3 HP,811636022713,12.51,39015500,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-134,Ultra-Flow Wear ring,811636022720,5.39,39006900,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-160,"Ultra-Flow Pump Lid, Americana 1 & 2 - 7 3/4"" dia. (pre-94)",811636022904,19.47,39301600,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-161S,"Ultra-Flow Pump Lid 0-Ring, Americana 1 & 2 (pre-94)",811636022911,2.39,39300300,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-161,"Ultra-Flow Pump Lid O-Ring, Americana 1 & 2 (pre-94) (12/Bag)",811636022911,1.59,39300300,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-162,Ultra-Flow Pump Lid (94-Present),811636022928,18.91,39301700,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-164S,Ultra-Flow Pump Lid O-Ring (94-Present),811636022942,2.39,39300600,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
V38-164,Ultra-Flow Pump Lid O-Ring (94-Present) (12/Bag),811636022942,1.59,39300600,American Products/Pentair,Pump Parts,American Products/Pentair>Pump Parts,Val-Pak
